language,sex,age,words,n,measure,prop
Arabic (Saudi),All,8,قليل,19,produces,0
Arabic (Saudi),All,8,قليل,19,understands,0
Arabic (Saudi),All,9,قليل,18,produces,0
Arabic (Saudi),All,9,قليل,18,understands,0
Arabic (Saudi),All,10,قليل,25,produces,0
Arabic (Saudi),All,10,قليل,25,understands,0
Arabic (Saudi),All,11,قليل,21,produces,0.0476
Arabic (Saudi),All,11,قليل,21,understands,0
Arabic (Saudi),All,12,قليل,19,produces,0.0526
Arabic (Saudi),All,12,قليل,19,understands,0
Arabic (Saudi),All,13,قليل,36,produces,0
Arabic (Saudi),All,13,قليل,36,understands,0
Arabic (Saudi),All,14,قليل,20,produces,0
Arabic (Saudi),All,14,قليل,20,understands,0
Arabic (Saudi),All,15,قليل,19,produces,0
Arabic (Saudi),All,15,قليل,19,understands,0
Arabic (Saudi),All,16,قليل,18,produces,0
Arabic (Saudi),All,16,قليل,18,understands,0
Catalan,All,16,gens,24,produces,0
Catalan,All,16,gens,24,understands,0
Catalan,All,17,gens,36,produces,0
Catalan,All,17,gens,36,understands,0
Catalan,All,18,gens,51,produces,0
Catalan,All,18,gens,51,understands,0
Catalan,All,19,gens,45,produces,0
Catalan,All,19,gens,45,understands,0
Catalan,All,20,gens,56,produces,0
Catalan,All,20,gens,56,understands,0
Catalan,All,21,gens,58,produces,0
Catalan,All,21,gens,58,understands,0
Catalan,All,22,gens,50,produces,0
Catalan,All,22,gens,50,understands,0
Catalan,All,23,gens,66,produces,0.0152
Catalan,All,23,gens,66,understands,0
Catalan,All,24,gens,79,produces,0.0633
Catalan,All,24,gens,79,understands,0
Catalan,All,25,gens,60,produces,0.1
Catalan,All,25,gens,60,understands,0
Catalan,All,26,gens,65,produces,0.0462
Catalan,All,26,gens,65,understands,0
Catalan,All,27,gens,63,produces,0.1429
Catalan,All,27,gens,63,understands,0
Catalan,All,28,gens,81,produces,0.1481
Catalan,All,28,gens,81,understands,0
Catalan,All,29,gens,50,produces,0.22
Catalan,All,29,gens,50,understands,0
Catalan,All,30,gens,75,produces,0.3067
Catalan,All,30,gens,75,understands,0
Finnish,All,12,vähän,35,produces,0
Finnish,All,12,vähän,35,understands,0
Finnish,All,15,vähän,35,produces,0
Finnish,All,15,vähän,35,understands,0
Finnish,All,18,vähän,119,produces,0.0084
Finnish,All,18,vähän,119,understands,0
Finnish,All,24,vähän,119,produces,0.3361
Finnish,All,24,vähän,119,understands,0
Hungarian,All,16,kevés,21,produces,0
Hungarian,All,16,kevés,21,understands,0
Hungarian,All,17,kevés,18,produces,0.1111
Hungarian,All,17,kevés,18,understands,0
Hungarian,All,18,kevés,18,produces,0.0556
Hungarian,All,18,kevés,18,understands,0
Hungarian,All,19,kevés,26,produces,0.1538
Hungarian,All,19,kevés,26,understands,0
Hungarian,All,20,kevés,18,produces,0.1111
Hungarian,All,20,kevés,18,understands,0
Hungarian,All,21,kevés,36,produces,0.1667
Hungarian,All,21,kevés,36,understands,0
Hungarian,All,22,kevés,27,produces,0.0741
Hungarian,All,22,kevés,27,understands,0
Hungarian,All,23,kevés,18,produces,0.2222
Hungarian,All,23,kevés,18,understands,0
Hungarian,All,24,kevés,38,produces,0.2368
Hungarian,All,24,kevés,38,understands,0
Hungarian,All,25,kevés,43,produces,0.4186
Hungarian,All,25,kevés,43,understands,0
Hungarian,All,26,kevés,23,produces,0.3913
Hungarian,All,26,kevés,23,understands,0
Hungarian,All,27,kevés,26,produces,0.6154
Hungarian,All,27,kevés,26,understands,0
Hungarian,All,28,kevés,30,produces,0.3333
Hungarian,All,28,kevés,30,understands,0
Hungarian,All,29,kevés,12,produces,0.5833
Hungarian,All,29,kevés,12,understands,0
Hungarian,All,30,kevés,18,produces,0.6111
Hungarian,All,30,kevés,18,understands,0
Turkish,All,16,Az,109,produces,0.1193
Turkish,All,16,Az,109,understands,0
Turkish,All,17,Az,107,produces,0.1121
Turkish,All,17,Az,107,understands,0
Turkish,All,18,Az,128,produces,0.1406
Turkish,All,18,Az,128,understands,0
Turkish,All,19,Az,121,produces,0.1405
Turkish,All,19,Az,121,understands,0
Turkish,All,20,Az,119,produces,0.2521
Turkish,All,20,Az,119,understands,0
Turkish,All,21,Az,124,produces,0.2581
Turkish,All,21,Az,124,understands,0
Turkish,All,22,Az,126,produces,0.254
Turkish,All,22,Az,126,understands,0
Turkish,All,23,Az,131,produces,0.3588
Turkish,All,23,Az,131,understands,0
Turkish,All,24,Az,106,produces,0.4057
Turkish,All,24,Az,106,understands,0
Turkish,All,25,Az,123,produces,0.4715
Turkish,All,25,Az,123,understands,0
Turkish,All,26,Az,123,produces,0.5528
Turkish,All,26,Az,123,understands,0
Turkish,All,27,Az,108,produces,0.6481
Turkish,All,27,Az,108,understands,0
Turkish,All,28,Az,112,produces,0.6518
Turkish,All,28,Az,112,understands,0
Turkish,All,29,Az,119,produces,0.7059
Turkish,All,29,Az,119,understands,0
Turkish,All,30,Az,104,produces,0.7596
Turkish,All,30,Az,104,understands,0
Turkish,All,31,Az,101,produces,0.7624
Turkish,All,31,Az,101,understands,0
Turkish,All,32,Az,132,produces,0.7879
Turkish,All,32,Az,132,understands,0
Turkish,All,33,Az,114,produces,0.8684
Turkish,All,33,Az,114,understands,0
Turkish,All,34,Az,107,produces,0.7944
Turkish,All,34,Az,107,understands,0
Turkish,All,35,Az,131,produces,0.8702
Turkish,All,35,Az,131,understands,0
Turkish,All,36,Az,77,produces,0.8961
Turkish,All,36,Az,77,understands,0
Arabic (Saudi),Female,8,قليل,9,produces,0
Arabic (Saudi),Female,8,قليل,9,understands,0
Arabic (Saudi),Male,8,قليل,10,produces,0
Arabic (Saudi),Male,8,قليل,10,understands,0
Arabic (Saudi),Female,9,قليل,10,produces,0
Arabic (Saudi),Female,9,قليل,10,understands,0
Arabic (Saudi),Male,9,قليل,8,produces,0
Arabic (Saudi),Male,9,قليل,8,understands,0
Arabic (Saudi),Female,10,قليل,11,produces,0
Arabic (Saudi),Female,10,قليل,11,understands,0
Arabic (Saudi),Male,10,قليل,14,produces,0
Arabic (Saudi),Male,10,قليل,14,understands,0
Arabic (Saudi),Female,11,قليل,9,produces,0.1111
Arabic (Saudi),Female,11,قليل,9,understands,0
Arabic (Saudi),Male,11,قليل,12,produces,0
Arabic (Saudi),Male,11,قليل,12,understands,0
Arabic (Saudi),Female,12,قليل,8,produces,0.125
Arabic (Saudi),Female,12,قليل,8,understands,0
Arabic (Saudi),Male,12,قليل,11,produces,0
Arabic (Saudi),Male,12,قليل,11,understands,0
Arabic (Saudi),Female,13,قليل,16,produces,0
Arabic (Saudi),Female,13,قليل,16,understands,0
Arabic (Saudi),Male,13,قليل,20,produces,0
Arabic (Saudi),Male,13,قليل,20,understands,0
Arabic (Saudi),Female,14,قليل,10,produces,0
Arabic (Saudi),Female,14,قليل,10,understands,0
Arabic (Saudi),Male,14,قليل,10,produces,0
Arabic (Saudi),Male,14,قليل,10,understands,0
Arabic (Saudi),Female,15,قليل,7,produces,0
Arabic (Saudi),Female,15,قليل,7,understands,0
Arabic (Saudi),Male,15,قليل,12,produces,0
Arabic (Saudi),Male,15,قليل,12,understands,0
Arabic (Saudi),Female,16,قليل,9,produces,0
Arabic (Saudi),Female,16,قليل,9,understands,0
Arabic (Saudi),Male,16,قليل,9,produces,0
Arabic (Saudi),Male,16,قليل,9,understands,0
Catalan,Female,16,gens,8,produces,0
Catalan,Female,16,gens,8,understands,0
Catalan,Male,16,gens,16,produces,0
Catalan,Male,16,gens,16,understands,0
Catalan,Female,17,gens,22,produces,0
Catalan,Female,17,gens,22,understands,0
Catalan,Male,17,gens,14,produces,0
Catalan,Male,17,gens,14,understands,0
Catalan,Female,18,gens,22,produces,0
Catalan,Female,18,gens,22,understands,0
Catalan,Male,18,gens,29,produces,0
Catalan,Male,18,gens,29,understands,0
Catalan,Female,19,gens,25,produces,0
Catalan,Female,19,gens,25,understands,0
Catalan,Male,19,gens,20,produces,0
Catalan,Male,19,gens,20,understands,0
Catalan,Female,20,gens,28,produces,0
Catalan,Female,20,gens,28,understands,0
Catalan,Male,20,gens,28,produces,0
Catalan,Male,20,gens,28,understands,0
Catalan,Female,21,gens,32,produces,0
Catalan,Female,21,gens,32,understands,0
Catalan,Male,21,gens,26,produces,0
Catalan,Male,21,gens,26,understands,0
Catalan,Female,22,gens,26,produces,0
Catalan,Female,22,gens,26,understands,0
Catalan,Male,22,gens,24,produces,0
Catalan,Male,22,gens,24,understands,0
Catalan,Female,23,gens,35,produces,0.0286
Catalan,Female,23,gens,35,understands,0
Catalan,Male,23,gens,31,produces,0
Catalan,Male,23,gens,31,understands,0
Catalan,Female,24,gens,41,produces,0.0732
Catalan,Female,24,gens,41,understands,0
Catalan,Male,24,gens,38,produces,0.0526
Catalan,Male,24,gens,38,understands,0
