language,sex,age,words,n,measure,prop
Norwegian,All,16,frem,98,produces,0
Norwegian,All,16,frem,98,understands,0
Norwegian,All,17,frem,218,produces,0.0046
Norwegian,All,17,frem,218,understands,0
Norwegian,All,18,frem,271,produces,0.0037
Norwegian,All,18,frem,271,understands,0
Norwegian,All,19,frem,281,produces,0.0071
Norwegian,All,19,frem,281,understands,0
Norwegian,All,20,frem,342,produces,0.0117
Norwegian,All,20,frem,342,understands,0
Norwegian,All,21,frem,418,produces,0.0096
Norwegian,All,21,frem,418,understands,0
Norwegian,All,22,frem,596,produces,0.0302
Norwegian,All,22,frem,596,understands,0
Norwegian,All,23,frem,566,produces,0.0654
Norwegian,All,23,frem,566,understands,0
Norwegian,All,24,frem,538,produces,0.0762
Norwegian,All,24,frem,538,understands,0
Norwegian,All,25,frem,656,produces,0.1067
Norwegian,All,25,frem,656,understands,0
Norwegian,All,26,frem,644,produces,0.163
Norwegian,All,26,frem,644,understands,0
Norwegian,All,27,frem,525,produces,0.219
Norwegian,All,27,frem,525,understands,0
Norwegian,All,28,frem,544,produces,0.25
Norwegian,All,28,frem,544,understands,0
Norwegian,All,29,frem,536,produces,0.3116
Norwegian,All,29,frem,536,understands,0
Norwegian,All,30,frem,457,produces,0.326
Norwegian,All,30,frem,457,understands,0
Norwegian,All,31,frem,479,produces,0.3695
Norwegian,All,31,frem,479,understands,0
Norwegian,All,32,frem,451,produces,0.4257
Norwegian,All,32,frem,451,understands,0
Norwegian,All,33,frem,430,produces,0.5093
Norwegian,All,33,frem,430,understands,0
Norwegian,All,34,frem,424,produces,0.5377
Norwegian,All,34,frem,424,understands,0
Norwegian,All,35,frem,422,produces,0.5948
Norwegian,All,35,frem,422,understands,0
Norwegian,All,36,frem,329,produces,0.6292
Norwegian,All,36,frem,329,understands,0
Russian,All,18,вперед/впереди,42,produces,0
Russian,All,18,вперед/впереди,42,understands,0
Russian,All,19,вперед/впереди,41,produces,0
Russian,All,19,вперед/впереди,41,understands,0
Russian,All,20,вперед/впереди,45,produces,0.0444
Russian,All,20,вперед/впереди,45,understands,0
Russian,All,21,вперед/впереди,43,produces,0.093
Russian,All,21,вперед/впереди,43,understands,0
Russian,All,22,вперед/впереди,51,produces,0.0588
Russian,All,22,вперед/впереди,51,understands,0
Russian,All,23,вперед/впереди,56,produces,0.0893
Russian,All,23,вперед/впереди,56,understands,0
Russian,All,24,вперед/впереди,61,produces,0.0984
Russian,All,24,вперед/впереди,61,understands,0
Russian,All,25,вперед/впереди,66,produces,0.1364
Russian,All,25,вперед/впереди,66,understands,0
Russian,All,26,вперед/впереди,52,produces,0.2115
Russian,All,26,вперед/впереди,52,understands,0
Russian,All,27,вперед/впереди,60,produces,0.2
Russian,All,27,вперед/впереди,60,understands,0
Russian,All,28,вперед/впереди,60,produces,0.2667
Russian,All,28,вперед/впереди,60,understands,0
Russian,All,29,вперед/впереди,58,produces,0.3276
Russian,All,29,вперед/впереди,58,understands,0
Russian,All,30,вперед/впереди,77,produces,0.3506
Russian,All,30,вперед/впереди,77,understands,0
Russian,All,31,вперед/впереди,61,produces,0.5082
Russian,All,31,вперед/впереди,61,understands,0
Russian,All,32,вперед/впереди,55,produces,0.4545
Russian,All,32,вперед/впереди,55,understands,0
Russian,All,33,вперед/впереди,55,produces,0.4545
Russian,All,33,вперед/впереди,55,understands,0
Russian,All,34,вперед/впереди,58,produces,0.4828
Russian,All,34,вперед/впереди,58,understands,0
Russian,All,35,вперед/впереди,47,produces,0.5106
Russian,All,35,вперед/впереди,47,understands,0
Russian,All,36,вперед/впереди,49,produces,0.6327
Russian,All,36,вперед/впереди,49,understands,0
Spanish (Argentinian),All,16,adelante,47,produces,0.0213
Spanish (Argentinian),All,16,adelante,47,understands,0
Spanish (Argentinian),All,17,adelante,49,produces,0.0204
Spanish (Argentinian),All,17,adelante,49,understands,0
Spanish (Argentinian),All,18,adelante,62,produces,0.0323
Spanish (Argentinian),All,18,adelante,62,understands,0
Spanish (Argentinian),All,19,adelante,44,produces,0.0455
Spanish (Argentinian),All,19,adelante,44,understands,0
Spanish (Argentinian),All,20,adelante,46,produces,0.0217
Spanish (Argentinian),All,20,adelante,46,understands,0
Spanish (Argentinian),All,21,adelante,41,produces,0.0732
Spanish (Argentinian),All,21,adelante,41,understands,0
Spanish (Argentinian),All,22,adelante,57,produces,0.0351
Spanish (Argentinian),All,22,adelante,57,understands,0
Spanish (Argentinian),All,23,adelante,49,produces,0.0816
Spanish (Argentinian),All,23,adelante,49,understands,0
Spanish (Argentinian),All,24,adelante,75,produces,0.08
Spanish (Argentinian),All,24,adelante,75,understands,0
Spanish (Argentinian),All,25,adelante,43,produces,0.1163
Spanish (Argentinian),All,25,adelante,43,understands,0
Spanish (Argentinian),All,26,adelante,45,produces,0.0889
Spanish (Argentinian),All,26,adelante,45,understands,0
Spanish (Argentinian),All,27,adelante,44,produces,0.0682
Spanish (Argentinian),All,27,adelante,44,understands,0
Spanish (Argentinian),All,28,adelante,42,produces,0.0952
Spanish (Argentinian),All,28,adelante,42,understands,0
Spanish (Argentinian),All,29,adelante,65,produces,0.2
Spanish (Argentinian),All,29,adelante,65,understands,0
Spanish (Argentinian),All,30,adelante,69,produces,0.2464
Spanish (Argentinian),All,30,adelante,69,understands,0
Spanish (Argentinian),All,31,adelante,2,produces,0
Spanish (Argentinian),All,31,adelante,2,understands,0
Spanish (Argentinian),All,32,adelante,1,produces,1
Spanish (Argentinian),All,32,adelante,1,understands,0
Spanish (Argentinian),All,33,adelante,2,produces,0
Spanish (Argentinian),All,33,adelante,2,understands,0
Norwegian,Female,16,frem,39,produces,0
Norwegian,Female,16,frem,39,understands,0
Norwegian,Male,16,frem,59,produces,0
Norwegian,Male,16,frem,59,understands,0
Norwegian,Female,17,frem,125,produces,0
Norwegian,Female,17,frem,125,understands,0
Norwegian,Male,17,frem,93,produces,0.0108
Norwegian,Male,17,frem,93,understands,0
Norwegian,Female,18,frem,146,produces,0.0068
Norwegian,Female,18,frem,146,understands,0
Norwegian,Male,18,frem,125,produces,0
Norwegian,Male,18,frem,125,understands,0
Norwegian,Female,19,frem,135,produces,0.0074
Norwegian,Female,19,frem,135,understands,0
Norwegian,Male,19,frem,146,produces,0.0068
Norwegian,Male,19,frem,146,understands,0
Norwegian,Female,20,frem,183,produces,0.0055
Norwegian,Female,20,frem,183,understands,0
Norwegian,Male,20,frem,159,produces,0.0189
Norwegian,Male,20,frem,159,understands,0
Norwegian,Female,21,frem,218,produces,0.0138
Norwegian,Female,21,frem,218,understands,0
Norwegian,Male,21,frem,200,produces,0.005
Norwegian,Male,21,frem,200,understands,0
Norwegian,Female,22,frem,304,produces,0.0362
Norwegian,Female,22,frem,304,understands,0
Norwegian,Male,22,frem,292,produces,0.024
Norwegian,Male,22,frem,292,understands,0
Norwegian,Female,23,frem,285,produces,0.0982
Norwegian,Female,23,frem,285,understands,0
Norwegian,Male,23,frem,281,produces,0.032
Norwegian,Male,23,frem,281,understands,0
Norwegian,Female,24,frem,266,produces,0.0902
Norwegian,Female,24,frem,266,understands,0
Norwegian,Male,24,frem,272,produces,0.0625
Norwegian,Male,24,frem,272,understands,0
Norwegian,Female,25,frem,325,produces,0.1292
Norwegian,Female,25,frem,325,understands,0
Norwegian,Male,25,frem,331,produces,0.0846
Norwegian,Male,25,frem,331,understands,0
Norwegian,Female,26,frem,301,produces,0.2359
Norwegian,Female,26,frem,301,understands,0
Norwegian,Male,26,frem,343,produces,0.0991
Norwegian,Male,26,frem,343,understands,0
Norwegian,Female,27,frem,267,produces,0.2509
Norwegian,Female,27,frem,267,understands,0
Norwegian,Male,27,frem,258,produces,0.186
Norwegian,Male,27,frem,258,understands,0
Norwegian,Female,28,frem,281,produces,0.2989
Norwegian,Female,28,frem,281,understands,0
Norwegian,Male,28,frem,263,produces,0.1977
Norwegian,Male,28,frem,263,understands,0
Norwegian,Female,29,frem,252,produces,0.3611
Norwegian,Female,29,frem,252,understands,0
Norwegian,Male,29,frem,284,produces,0.2676
Norwegian,Male,29,frem,284,understands,0
Norwegian,Female,30,frem,213,produces,0.3146
Norwegian,Female,30,frem,213,understands,0
Norwegian,Male,30,frem,244,produces,0.3361
Norwegian,Male,30,frem,244,understands,0
Norwegian,Female,31,frem,229,produces,0.4367
Norwegian,Female,31,frem,229,understands,0
Norwegian,Male,31,frem,250,produces,0.308
Norwegian,Male,31,frem,250,understands,0
Norwegian,Female,32,frem,224,produces,0.4911
Norwegian,Female,32,frem,224,understands,0
Norwegian,Male,32,frem,227,produces,0.3612
Norwegian,Male,32,frem,227,understands,0
Norwegian,Female,33,frem,213,produces,0.5587
Norwegian,Female,33,frem,213,understands,0
Norwegian,Male,33,frem,217,produces,0.4608
Norwegian,Male,33,frem,217,understands,0
Norwegian,Female,34,frem,194,produces,0.6237
Norwegian,Female,34,frem,194,understands,0
Norwegian,Male,34,frem,230,produces,0.4652
Norwegian,Male,34,frem,230,understands,0
Norwegian,Female,35,frem,230,produces,0.6435
Norwegian,Female,35,frem,230,understands,0
Norwegian,Male,35,frem,192,produces,0.5365
Norwegian,Male,35,frem,192,understands,0
Norwegian,Female,36,frem,170,produces,0.7176
Norwegian,Female,36,frem,170,understands,0
Norwegian,Male,36,frem,159,produces,0.5346
Norwegian,Male,36,frem,159,understands,0
Russian,Female,18,вперед/впереди,24,produces,0
Russian,Female,18,вперед/впереди,24,understands,0
Russian,Male,18,вперед/впереди,18,produces,0
Russian,Male,18,вперед/впереди,18,understands,0
Russian,Female,19,вперед/впереди,22,produces,0
Russian,Female,19,вперед/впереди,22,understands,0
Russian,Male,19,вперед/впереди,19,produces,0
Russian,Male,19,вперед/впереди,19,understands,0
Russian,Female,20,вперед/впереди,18,produces,0
Russian,Female,20,вперед/впереди,18,understands,0
Russian,Male,20,вперед/впереди,27,produces,0.0741
Russian,Male,20,вперед/впереди,27,understands,0
Russian,Female,21,вперед/впереди,22,produces,0.0455
Russian,Female,21,вперед/впереди,22,understands,0
Russian,Male,21,вперед/впереди,21,produces,0.1429
Russian,Male,21,вперед/впереди,21,understands,0
Russian,Female,22,вперед/впереди,29,produces,0.069
Russian,Female,22,вперед/впереди,29,understands,0
Russian,Male,22,вперед/впереди,22,produces,0.0455
Russian,Male,22,вперед/впереди,22,understands,0
Russian,Female,23,вперед/впереди,37,produces,0.0811
Russian,Female,23,вперед/впереди,37,understands,0
Russian,Male,23,вперед/впереди,19,produces,0.1053
Russian,Male,23,вперед/впереди,19,understands,0
Russian,Female,24,вперед/впереди,28,produces,0.1429
Russian,Female,24,вперед/впереди,28,understands,0
Russian,Male,24,вперед/впереди,33,produces,0.0606
Russian,Male,24,вперед/впереди,33,understands,0
Russian,Female,25,вперед/впереди,39,produces,0.2051
Russian,Female,25,вперед/впереди,39,understands,0
Russian,Male,25,вперед/впереди,27,produces,0.037
Russian,Male,25,вперед/впереди,27,understands,0
Russian,Female,26,вперед/впереди,26,produces,0.1923
Russian,Female,26,вперед/впереди,26,understands,0
Russian,Male,26,вперед/впереди,26,produces,0.2308
Russian,Male,26,вперед/впереди,26,understands,0
Russian,Female,27,вперед/впереди,37,produces,0.2162
Russian,Female,27,вперед/впереди,37,understands,0
Russian,Male,27,вперед/впереди,23,produces,0.1739
Russian,Male,27,вперед/впереди,23,understands,0
Russian,Female,28,вперед/впереди,28,produces,0.3929
Russian,Female,28,вперед/впереди,28,understands,0
Russian,Male,28,вперед/впереди,32,produces,0.1562
Russian,Male,28,вперед/впереди,32,understands,0
Russian,Female,29,вперед/впереди,30,produces,0.3333
Russian,Female,29,вперед/впереди,30,understands,0
Russian,Male,29,вперед/впереди,27,produces,0.3333
Russian,Male,29,вперед/впереди,27,understands,0
Russian,Female,30,вперед/впереди,42,produces,0.4524
Russian,Female,30,вперед/впереди,42,understands,0
Russian,Male,30,вперед/впереди,35,produces,0.2286
Russian,Male,30,вперед/впереди,35,understands,0
Russian,Female,31,вперед/впереди,32,produces,0.5625
Russian,Female,31,вперед/впереди,32,understands,0
Russian,Male,31,вперед/впереди,29,produces,0.4483
Russian,Male,31,вперед/впереди,29,understands,0
