language,sex,age,words,n,measure,prop
Catalan,All,16,escombraries,24,produces,0
Catalan,All,16,escombraries,24,understands,0
Catalan,All,17,escombraries,36,produces,0.0278
Catalan,All,17,escombraries,36,understands,0
Catalan,All,18,escombraries,51,produces,0.0196
Catalan,All,18,escombraries,51,understands,0
Catalan,All,19,escombraries,45,produces,0.0444
Catalan,All,19,escombraries,45,understands,0
Catalan,All,20,escombraries,56,produces,0.1071
Catalan,All,20,escombraries,56,understands,0
Catalan,All,21,escombraries,58,produces,0.0862
Catalan,All,21,escombraries,58,understands,0
Catalan,All,22,escombraries,50,produces,0.24
Catalan,All,22,escombraries,50,understands,0
Catalan,All,23,escombraries,66,produces,0.2121
Catalan,All,23,escombraries,66,understands,0
Catalan,All,24,escombraries,79,produces,0.3924
Catalan,All,24,escombraries,79,understands,0
Catalan,All,25,escombraries,60,produces,0.4667
Catalan,All,25,escombraries,60,understands,0
Catalan,All,26,escombraries,65,produces,0.3231
Catalan,All,26,escombraries,65,understands,0
Catalan,All,27,escombraries,63,produces,0.4444
Catalan,All,27,escombraries,63,understands,0
Catalan,All,28,escombraries,81,produces,0.5309
Catalan,All,28,escombraries,81,understands,0
Catalan,All,29,escombraries,50,produces,0.66
Catalan,All,29,escombraries,50,understands,0
Catalan,All,30,escombraries,75,produces,0.6667
Catalan,All,30,escombraries,75,understands,0
Mandarin (Taiwanese),All,8,垃圾,86,produces,0
Mandarin (Taiwanese),All,8,垃圾,86,understands,0.2093
Mandarin (Taiwanese),All,9,垃圾,79,produces,0
Mandarin (Taiwanese),All,9,垃圾,79,understands,0.3291
Mandarin (Taiwanese),All,10,垃圾,78,produces,0
Mandarin (Taiwanese),All,10,垃圾,78,understands,0.0769
Mandarin (Taiwanese),All,11,垃圾,79,produces,0.0127
Mandarin (Taiwanese),All,11,垃圾,79,understands,0.1013
Mandarin (Taiwanese),All,12,垃圾,80,produces,0
Mandarin (Taiwanese),All,12,垃圾,80,understands,0.1
Mandarin (Taiwanese),All,13,垃圾,78,produces,0.0128
Mandarin (Taiwanese),All,13,垃圾,78,understands,0.1026
Mandarin (Taiwanese),All,14,垃圾,81,produces,0.037
Mandarin (Taiwanese),All,14,垃圾,81,understands,0.1235
Mandarin (Taiwanese),All,15,垃圾,106,produces,0.0472
Mandarin (Taiwanese),All,15,垃圾,106,understands,0.2642
Mandarin (Taiwanese),All,16,垃圾,170,produces,0.0529
