language,age,words,n,measure,prop
Arabic (Saudi),8,صمغ/ غراء (غرا),24,produces,0
Arabic (Saudi),8,صمغ/ غراء (غرا),24,understands,0.0833
Arabic (Saudi),9,صمغ/ غراء (غرا),27,produces,0
Arabic (Saudi),9,صمغ/ غراء (غرا),27,understands,0.037
Arabic (Saudi),10,صمغ/ غراء (غرا),35,produces,0.0286
Arabic (Saudi),10,صمغ/ غراء (غرا),35,understands,0.0857
Arabic (Saudi),11,صمغ/ غراء (غرا),30,produces,0
Arabic (Saudi),11,صمغ/ غراء (غرا),30,understands,0.0333
Arabic (Saudi),12,صمغ/ غراء (غرا),30,produces,0
Arabic (Saudi),12,صمغ/ غراء (غرا),30,understands,0
Arabic (Saudi),13,صمغ/ غراء (غرا),39,produces,0
Arabic (Saudi),13,صمغ/ غراء (غرا),39,understands,0
Arabic (Saudi),14,صمغ/ غراء (غرا),25,produces,0
Arabic (Saudi),14,صمغ/ غراء (غرا),25,understands,0
Arabic (Saudi),15,صمغ/ غراء (غرا),27,produces,0.037
Arabic (Saudi),15,صمغ/ غراء (غرا),27,understands,0.1111
Arabic (Saudi),16,صمغ/ غراء (غرا),21,produces,0
Arabic (Saudi),16,صمغ/ غراء (غرا),21,understands,0.0476
Estonian,16,liim,36,produces,0
Estonian,16,liim,36,understands,0
Estonian,17,liim,89,produces,0.0112
Estonian,17,liim,89,understands,0
Estonian,18,liim,103,produces,0.0388
Estonian,18,liim,103,understands,0
Estonian,19,liim,85,produces,0.0353
Estonian,19,liim,85,understands,0
Estonian,20,liim,60,produces,0.1167
Estonian,20,liim,60,understands,0
Estonian,21,liim,66,produces,0.0606
Estonian,21,liim,66,understands,0
Estonian,22,liim,76,produces,0.0658
Estonian,22,liim,76,understands,0
Estonian,23,liim,95,produces,0.2
Estonian,23,liim,95,understands,0
Estonian,24,liim,116,produces,0.2328
Estonian,24,liim,116,understands,0
Estonian,25,liim,82,produces,0.3293
Estonian,25,liim,82,understands,0
Estonian,26,liim,84,produces,0.2976
Estonian,26,liim,84,understands,0
Estonian,27,liim,80,produces,0.3625
Estonian,27,liim,80,understands,0
Estonian,28,liim,92,produces,0.4565
Estonian,28,liim,92,understands,0
Estonian,29,liim,100,produces,0.44
Estonian,29,liim,100,understands,0
Estonian,30,liim,71,produces,0.493
Estonian,30,liim,71,understands,0
