language,sex,age,words,n,measure,prop
Arabic (Saudi),All,8,"انزل/ ينزل, أنزل/ ينزل",19,produces,0
Arabic (Saudi),All,8,"انزل/ ينزل, أنزل/ ينزل",19,understands,0
Arabic (Saudi),All,9,"انزل/ ينزل, أنزل/ ينزل",18,produces,0
Arabic (Saudi),All,9,"انزل/ ينزل, أنزل/ ينزل",18,understands,0
Arabic (Saudi),All,10,"انزل/ ينزل, أنزل/ ينزل",25,produces,0
Arabic (Saudi),All,10,"انزل/ ينزل, أنزل/ ينزل",25,understands,0
Arabic (Saudi),All,11,"انزل/ ينزل, أنزل/ ينزل",21,produces,0
Arabic (Saudi),All,11,"انزل/ ينزل, أنزل/ ينزل",21,understands,0
Arabic (Saudi),All,12,"انزل/ ينزل, أنزل/ ينزل",19,produces,0
Arabic (Saudi),All,12,"انزل/ ينزل, أنزل/ ينزل",19,understands,0
Arabic (Saudi),All,13,"انزل/ ينزل, أنزل/ ينزل",36,produces,0
Arabic (Saudi),All,13,"انزل/ ينزل, أنزل/ ينزل",36,understands,0
Arabic (Saudi),All,14,"انزل/ ينزل, أنزل/ ينزل",20,produces,0
Arabic (Saudi),All,14,"انزل/ ينزل, أنزل/ ينزل",20,understands,0
Arabic (Saudi),All,15,"انزل/ ينزل, أنزل/ ينزل",19,produces,0.0526
Arabic (Saudi),All,15,"انزل/ ينزل, أنزل/ ينزل",19,understands,0
Arabic (Saudi),All,16,"انزل/ ينزل, أنزل/ ينزل",18,produces,0.0833
Arabic (Saudi),All,16,"انزل/ ينزل, أنزل/ ينزل",18,understands,0
Cantonese,All,16,落(去),46,produces,0
Cantonese,All,16,落(去),46,understands,0
Cantonese,All,17,落(去),61,produces,0.082
Cantonese,All,17,落(去),61,understands,0
Cantonese,All,18,落(去),68,produces,0.1324
Cantonese,All,18,落(去),68,understands,0
Cantonese,All,19,落(去),66,produces,0.0455
Cantonese,All,19,落(去),66,understands,0
Cantonese,All,20,落(去),140,produces,0.2786
Cantonese,All,20,落(去),140,understands,0
Cantonese,All,21,落(去),120,produces,0.2667
Cantonese,All,21,落(去),120,understands,0
Cantonese,All,22,落(去),68,produces,0.3088
Cantonese,All,22,落(去),68,understands,0
Cantonese,All,23,落(去),74,produces,0.3919
Cantonese,All,23,落(去),74,understands,0
Cantonese,All,24,落(去),68,produces,0.5441
Cantonese,All,24,落(去),68,understands,0
Cantonese,All,25,落(去),65,produces,0.5538
Cantonese,All,25,落(去),65,understands,0
Cantonese,All,26,落(去),68,produces,0.6618
Cantonese,All,26,落(去),68,understands,0
Cantonese,All,27,落(去),62,produces,0.7097
Cantonese,All,27,落(去),62,understands,0
Cantonese,All,28,落(去),66,produces,0.7424
Cantonese,All,28,落(去),66,understands,0
Cantonese,All,29,落(去),72,produces,0.8333
Cantonese,All,29,落(去),72,understands,0
Cantonese,All,30,落(去),164,produces,0.8537
Cantonese,All,30,落(去),164,understands,0
Catalan,All,8,baixar,39,produces,0
Catalan,All,8,baixar,39,understands,0
Catalan,All,9,baixar,46,produces,0
Catalan,All,9,baixar,46,understands,0
Catalan,All,10,baixar,43,produces,0
Catalan,All,10,baixar,43,understands,0.093
Catalan,All,11,baixar,43,produces,0
Catalan,All,11,baixar,43,understands,0.0465
Catalan,All,12,baixar,59,produces,0
Catalan,All,12,baixar,59,understands,0.1525
Catalan,All,13,baixar,44,produces,0
Catalan,All,13,baixar,44,understands,0.1591
Catalan,All,14,baixar,60,produces,0.0167
Catalan,All,14,baixar,60,understands,0.35
Catalan,All,15,baixar,70,produces,0
Catalan,All,15,baixar,70,understands,0.5
Catalan,All,16,baixar,73,produces,0.0411
Catalan,All,16,baixar,73,understands,0.4658
Catalan,All,17,baixar,110,produces,0.1
Catalan,All,17,baixar,110,understands,0.4182
Catalan,All,18,baixar,102,produces,0.1765
Catalan,All,18,baixar,102,understands,0.3922
Catalan,All,19,baixar,45,produces,0.2667
Catalan,All,19,baixar,45,understands,0
Catalan,All,20,baixar,56,produces,0.3036
Catalan,All,20,baixar,56,understands,0
Catalan,All,21,baixar,58,produces,0.5172
