language,sex,age,words,n,measure,prop
American Sign Language,All,8,GRANDMA,1,produces,0
American Sign Language,All,8,GRANDMA,1,understands,0
American Sign Language,All,9,GRANDMOTHER,4,produces,0
American Sign Language,All,9,GRANDMOTHER,4,understands,0.25
American Sign Language,All,10,"GRANDMOTHER, GRANDMA",5,produces,0
American Sign Language,All,10,"GRANDMOTHER, GRANDMA",5,understands,0.2
American Sign Language,All,11,"GRANDMOTHER, GRANDMA",3,produces,0.25
American Sign Language,All,11,"GRANDMOTHER, GRANDMA",3,understands,0.25
American Sign Language,All,12,"GRANDMOTHER, GRANDMA",4,produces,0
American Sign Language,All,12,"GRANDMOTHER, GRANDMA",4,understands,0
American Sign Language,All,13,GRANDMA,4,produces,0.4
American Sign Language,All,13,GRANDMA,4,understands,0
American Sign Language,All,14,GRANDMA,1,produces,0
American Sign Language,All,14,GRANDMA,1,understands,0
American Sign Language,All,15,"GRANDMA, GRANDMOTHER",3,produces,0.5
American Sign Language,All,15,"GRANDMA, GRANDMOTHER",3,understands,0.25
American Sign Language,All,16,GRANDMOTHER,2,produces,0
American Sign Language,All,16,GRANDMOTHER,2,understands,0.5
American Sign Language,All,17,"GRANDMOTHER, GRANDMA",5,produces,0.2
American Sign Language,All,17,"GRANDMOTHER, GRANDMA",5,understands,0.4
American Sign Language,All,18,"GRANDMOTHER, GRANDMA",11,produces,0.4545
American Sign Language,All,18,"GRANDMOTHER, GRANDMA",11,understands,0.6364
American Sign Language,All,19,"GRANDMOTHER, GRANDMA",6,produces,0.5714
American Sign Language,All,19,"GRANDMOTHER, GRANDMA",6,understands,0.4286
American Sign Language,All,20,"GRANDMOTHER, GRANDMA",3,produces,0.25
American Sign Language,All,20,"GRANDMOTHER, GRANDMA",3,understands,0.5
American Sign Language,All,21,"GRANDMOTHER, GRANDMA",4,produces,0.4
American Sign Language,All,21,"GRANDMOTHER, GRANDMA",4,understands,0.6
American Sign Language,All,22,"GRANDMOTHER, GRANDMA",10,produces,0.5
American Sign Language,All,22,"GRANDMOTHER, GRANDMA",10,understands,0.4167
American Sign Language,All,23,"GRANDMOTHER, GRANDMA",5,produces,0.6667
American Sign Language,All,23,"GRANDMOTHER, GRANDMA",5,understands,0.1667
American Sign Language,All,24,"GRANDMOTHER, GRANDMA",9,produces,0.3333
American Sign Language,All,24,"GRANDMOTHER, GRANDMA",9,understands,0.1667
American Sign Language,All,25,"GRANDMOTHER, GRANDMA",13,produces,0.4615
American Sign Language,All,25,"GRANDMOTHER, GRANDMA",13,understands,0.6923
American Sign Language,All,26,GRANDMOTHER,4,produces,0.5
American Sign Language,All,26,GRANDMOTHER,4,understands,1
American Sign Language,All,27,"GRANDMOTHER, GRANDMA",7,produces,0.5
American Sign Language,All,27,"GRANDMOTHER, GRANDMA",7,understands,0.375
American Sign Language,All,28,"GRANDMOTHER, GRANDMA",7,produces,0.875
American Sign Language,All,28,"GRANDMOTHER, GRANDMA",7,understands,0.5
American Sign Language,All,29,GRANDMOTHER,6,produces,0.8333
American Sign Language,All,29,GRANDMOTHER,6,understands,1
American Sign Language,All,30,"GRANDMOTHER, GRANDMA",7,produces,0.625
American Sign Language,All,30,"GRANDMOTHER, GRANDMA",7,understands,0.5
American Sign Language,All,31,"GRANDMOTHER, GRANDMA",9,produces,0.6
American Sign Language,All,31,"GRANDMOTHER, GRANDMA",9,understands,0.4
American Sign Language,All,32,"GRANDMOTHER, GRANDMA",15,produces,0.7059
American Sign Language,All,32,"GRANDMOTHER, GRANDMA",15,understands,0.4706
American Sign Language,All,33,"GRANDMOTHER, GRANDMA",6,produces,0.8333
American Sign Language,All,33,"GRANDMOTHER, GRANDMA",6,understands,0.8333
American Sign Language,All,34,"GRANDMOTHER, GRANDMA",7,produces,0.75
American Sign Language,All,34,"GRANDMOTHER, GRANDMA",7,understands,0.625
American Sign Language,All,35,"GRANDMOTHER, GRANDMA",7,produces,1
American Sign Language,All,35,"GRANDMOTHER, GRANDMA",7,understands,0.5714
American Sign Language,All,36,GRANDMOTHER,3,produces,0
American Sign Language,All,36,GRANDMOTHER,3,understands,0.6667
Arabic (Saudi),All,8,"جدة (سيتي/ حبابه/تيته/ستو), جدة (سيتي/ حبابة/تيتة/ستو)",24,produces,0.125
Arabic (Saudi),All,8,"جدة (سيتي/ حبابه/تيته/ستو), جدة (سيتي/ حبابة/تيتة/ستو)",24,understands,0.125
Arabic (Saudi),All,9,"جدة (سيتي/ حبابه/تيته/ستو), جدة (سيتي/ حبابة/تيتة/ستو)",27,produces,0.1852
Arabic (Saudi),All,9,"جدة (سيتي/ حبابه/تيته/ستو), جدة (سيتي/ حبابة/تيتة/ستو)",27,understands,0.0741
Arabic (Saudi),All,10,"جدة (سيتي/ حبابه/تيته/ستو), جدة (سيتي/ حبابة/تيتة/ستو)",35,produces,0.1143
Arabic (Saudi),All,10,"جدة (سيتي/ حبابه/تيته/ستو), جدة (سيتي/ حبابة/تيتة/ستو)",35,understands,0.1714
Arabic (Saudi),All,11,"جدة (سيتي/ حبابه/تيته/ستو), جدة (سيتي/ حبابة/تيتة/ستو)",30,produces,0.0667
Arabic (Saudi),All,11,"جدة (سيتي/ حبابه/تيته/ستو), جدة (سيتي/ حبابة/تيتة/ستو)",30,understands,0.0667
Arabic (Saudi),All,12,"جدة (سيتي/ حبابه/تيته/ستو), جدة (سيتي/ حبابة/تيتة/ستو)",30,produces,0.1667
Arabic (Saudi),All,12,"جدة (سيتي/ حبابه/تيته/ستو), جدة (سيتي/ حبابة/تيتة/ستو)",30,understands,0.2333
Arabic (Saudi),All,13,"جدة (سيتي/ حبابه/تيته/ستو), جدة (سيتي/ حبابة/تيتة/ستو)",39,produces,0.2051
Arabic (Saudi),All,13,"جدة (سيتي/ حبابه/تيته/ستو), جدة (سيتي/ حبابة/تيتة/ستو)",39,understands,0.0256
Arabic (Saudi),All,14,"جدة (سيتي/ حبابة/تيتة/ستو), جدة (سيتي/ حبابه/تيته/ستو)",25,produces,0.32
Arabic (Saudi),All,14,"جدة (سيتي/ حبابة/تيتة/ستو), جدة (سيتي/ حبابه/تيته/ستو)",25,understands,0.08
Arabic (Saudi),All,15,"جدة (سيتي/ حبابه/تيته/ستو), جدة (سيتي/ حبابة/تيتة/ستو)",27,produces,0.4444
Arabic (Saudi),All,15,"جدة (سيتي/ حبابه/تيته/ستو), جدة (سيتي/ حبابة/تيتة/ستو)",27,understands,0.1111
Arabic (Saudi),All,16,"جدة (سيتي/ حبابه/تيته/ستو), جدة (سيتي/ حبابة/تيتة/ستو)",21,produces,0.3333
Arabic (Saudi),All,16,"جدة (سيتي/ حبابه/تيته/ستو), جدة (سيتي/ حبابة/تيتة/ستو)",21,understands,0.0952
British Sign Language,All,8,grandma,4,produces,0
British Sign Language,All,8,grandma,4,understands,0
British Sign Language,All,9,grandma,4,produces,0
British Sign Language,All,9,grandma,4,understands,0
British Sign Language,All,10,grandma,4,produces,0
British Sign Language,All,10,grandma,4,understands,0
British Sign Language,All,11,grandma,6,produces,0
British Sign Language,All,11,grandma,6,understands,0.3333
British Sign Language,All,12,grandma,6,produces,0
British Sign Language,All,12,grandma,6,understands,0.1667
British Sign Language,All,13,grandma,6,produces,0.1667
British Sign Language,All,13,grandma,6,understands,0.1667
British Sign Language,All,14,grandma,7,produces,0.1429
British Sign Language,All,14,grandma,7,understands,0.2857
British Sign Language,All,15,grandma,6,produces,0
British Sign Language,All,15,grandma,6,understands,0.3333
British Sign Language,All,16,grandma,7,produces,0.1429
British Sign Language,All,16,grandma,7,understands,0.4286
British Sign Language,All,17,grandma,7,produces,0.1429
British Sign Language,All,17,grandma,7,understands,0.1429
British Sign Language,All,18,grandma,8,produces,0.125
British Sign Language,All,18,grandma,8,understands,0.75
British Sign Language,All,19,grandma,8,produces,0.25
British Sign Language,All,19,grandma,8,understands,0.375
British Sign Language,All,20,grandma,11,produces,0.4545
British Sign Language,All,20,grandma,11,understands,0.8182
British Sign Language,All,21,grandma,5,produces,0.4
British Sign Language,All,21,grandma,5,understands,0.8
British Sign Language,All,22,grandma,6,produces,0.3333
British Sign Language,All,22,grandma,6,understands,0.5
British Sign Language,All,23,grandma,7,produces,0.2857
British Sign Language,All,23,grandma,7,understands,0.4286
British Sign Language,All,24,grandma,5,produces,1
British Sign Language,All,24,grandma,5,understands,1
British Sign Language,All,25,grandma,7,produces,0.4286
British Sign Language,All,25,grandma,7,understands,0.5714
British Sign Language,All,26,grandma,6,produces,0.8333
British Sign Language,All,26,grandma,6,understands,0.8333
British Sign Language,All,27,grandma,6,produces,0.6667
