language,sex,age,words,n,measure,prop
American Sign Language,All,8,GRAPES,1,produces,0
American Sign Language,All,8,GRAPES,1,understands,0
American Sign Language,All,9,GRAPES,4,produces,0
American Sign Language,All,9,GRAPES,4,understands,0
American Sign Language,All,10,GRAPES,5,produces,0
American Sign Language,All,10,GRAPES,5,understands,0
American Sign Language,All,11,GRAPES,3,produces,0
American Sign Language,All,11,GRAPES,3,understands,0
American Sign Language,All,12,GRAPES,4,produces,0
American Sign Language,All,12,GRAPES,4,understands,0
American Sign Language,All,13,GRAPES,4,produces,0.25
American Sign Language,All,13,GRAPES,4,understands,0
American Sign Language,All,14,GRAPES,1,produces,0
American Sign Language,All,14,GRAPES,1,understands,0
American Sign Language,All,15,GRAPES,3,produces,0.3333
American Sign Language,All,15,GRAPES,3,understands,0.3333
American Sign Language,All,16,GRAPES,2,produces,0
American Sign Language,All,16,GRAPES,2,understands,0.5
American Sign Language,All,17,GRAPES,5,produces,0
American Sign Language,All,17,GRAPES,5,understands,0.2
American Sign Language,All,18,GRAPES,11,produces,0.4545
American Sign Language,All,18,GRAPES,11,understands,0.4545
American Sign Language,All,19,GRAPES,6,produces,0.1667
American Sign Language,All,19,GRAPES,6,understands,0.5
American Sign Language,All,20,GRAPES,3,produces,0.3333
American Sign Language,All,20,GRAPES,3,understands,0.3333
American Sign Language,All,21,GRAPES,4,produces,0.5
American Sign Language,All,21,GRAPES,4,understands,0.75
American Sign Language,All,22,GRAPES,10,produces,0.4
American Sign Language,All,22,GRAPES,10,understands,0.4
American Sign Language,All,23,GRAPES,5,produces,0.6
American Sign Language,All,23,GRAPES,5,understands,0.4
American Sign Language,All,24,GRAPES,9,produces,0.1111
American Sign Language,All,24,GRAPES,9,understands,0.1111
American Sign Language,All,25,GRAPES,13,produces,0.3846
American Sign Language,All,25,GRAPES,13,understands,0.4615
American Sign Language,All,26,GRAPES,4,produces,0.5
American Sign Language,All,26,GRAPES,4,understands,1
American Sign Language,All,27,GRAPES,7,produces,0.1429
American Sign Language,All,27,GRAPES,7,understands,0.4286
American Sign Language,All,28,GRAPES,7,produces,0.7143
American Sign Language,All,28,GRAPES,7,understands,0.5714
American Sign Language,All,29,GRAPES,6,produces,0.8333
American Sign Language,All,29,GRAPES,6,understands,1
American Sign Language,All,30,GRAPES,7,produces,0.5714
American Sign Language,All,30,GRAPES,7,understands,0.5714
American Sign Language,All,31,GRAPES,9,produces,0.5556
