language,sex,age,words,n,measure,prop
Arabic (Saudi),All,8,بقالة/ دكان,19,produces,0
Arabic (Saudi),All,8,بقالة/ دكان,19,understands,0
Arabic (Saudi),All,9,بقالة/ دكان,18,produces,0
Arabic (Saudi),All,9,بقالة/ دكان,18,understands,0
Arabic (Saudi),All,10,بقالة/ دكان,25,produces,0
Arabic (Saudi),All,10,بقالة/ دكان,25,understands,0
Arabic (Saudi),All,11,بقالة/ دكان,21,produces,0.0952
Arabic (Saudi),All,11,بقالة/ دكان,21,understands,0
Arabic (Saudi),All,12,بقالة/ دكان,19,produces,0.0526
Arabic (Saudi),All,12,بقالة/ دكان,19,understands,0
Arabic (Saudi),All,13,بقالة/ دكان,36,produces,0.0278
Arabic (Saudi),All,13,بقالة/ دكان,36,understands,0
Arabic (Saudi),All,14,بقالة/ دكان,20,produces,0
Arabic (Saudi),All,14,بقالة/ دكان,20,understands,0
Arabic (Saudi),All,15,بقالة/ دكان,19,produces,0.0526
Arabic (Saudi),All,15,بقالة/ دكان,19,understands,0
Arabic (Saudi),All,16,بقالة/ دكان,18,produces,0.1111
Arabic (Saudi),All,16,بقالة/ دكان,18,understands,0
German,All,18,Supermarkt,85,produces,0
German,All,18,Supermarkt,85,understands,0
German,All,19,Supermarkt,79,produces,0.0127
German,All,19,Supermarkt,79,understands,0
German,All,20,Supermarkt,96,produces,0.0208
German,All,20,Supermarkt,96,understands,0
German,All,21,Supermarkt,77,produces,0.1169
German,All,21,Supermarkt,77,understands,0
German,All,22,Supermarkt,95,produces,0.0842
German,All,22,Supermarkt,95,understands,0
German,All,23,Supermarkt,95,produces,0.1474
German,All,23,Supermarkt,95,understands,0
German,All,24,Supermarkt,103,produces,0.1553
German,All,24,Supermarkt,103,understands,0
German,All,25,Supermarkt,95,produces,0.2526
German,All,25,Supermarkt,95,understands,0
German,All,26,Supermarkt,92,produces,0.3152
German,All,26,Supermarkt,92,understands,0
German,All,27,Supermarkt,89,produces,0.2697
German,All,27,Supermarkt,89,understands,0
German,All,28,Supermarkt,93,produces,0.3548
German,All,28,Supermarkt,93,understands,0
German,All,29,Supermarkt,89,produces,0.5169
German,All,29,Supermarkt,89,understands,0
German,All,30,Supermarkt,93,produces,0.5161
German,All,30,Supermarkt,93,understands,0
Hungarian,All,16,áruház,21,produces,0
Hungarian,All,16,áruház,21,understands,0
Hungarian,All,17,áruház,18,produces,0
Hungarian,All,17,áruház,18,understands,0
Hungarian,All,18,áruház,18,produces,0
Hungarian,All,18,áruház,18,understands,0
Hungarian,All,19,áruház,26,produces,0.0769
Hungarian,All,19,áruház,26,understands,0
Hungarian,All,20,áruház,18,produces,0.0556
Hungarian,All,20,áruház,18,understands,0
Hungarian,All,21,áruház,36,produces,0.0278
Hungarian,All,21,áruház,36,understands,0
Hungarian,All,22,áruház,27,produces,0.037
Hungarian,All,22,áruház,27,understands,0
Hungarian,All,23,áruház,18,produces,0.0556
Hungarian,All,23,áruház,18,understands,0
Hungarian,All,24,áruház,38,produces,0.0789
Hungarian,All,24,áruház,38,understands,0
Hungarian,All,25,áruház,43,produces,0.2326
Hungarian,All,25,áruház,43,understands,0
Hungarian,All,26,áruház,23,produces,0.3043
Hungarian,All,26,áruház,23,understands,0
Hungarian,All,27,áruház,26,produces,0.1923
Hungarian,All,27,áruház,26,understands,0
Hungarian,All,28,áruház,30,produces,0.1
Hungarian,All,28,áruház,30,understands,0
Hungarian,All,29,áruház,12,produces,0.5
Hungarian,All,29,áruház,12,understands,0
Hungarian,All,30,áruház,18,produces,0.2778
Hungarian,All,30,áruház,18,understands,0
Italian,All,18,supermercato,31,produces,0.0323
Italian,All,18,supermercato,31,understands,0
Italian,All,19,supermercato,39,produces,0.0513
Italian,All,19,supermercato,39,understands,0
Italian,All,20,supermercato,64,produces,0.0625
Italian,All,20,supermercato,64,understands,0
Italian,All,21,supermercato,55,produces,0.0727
Italian,All,21,supermercato,55,understands,0
Italian,All,22,supermercato,55,produces,0.2364
Italian,All,22,supermercato,55,understands,0
Italian,All,23,supermercato,53,produces,0.1509
Italian,All,23,supermercato,53,understands,0
Italian,All,24,supermercato,71,produces,0.2254
Italian,All,24,supermercato,71,understands,0
Italian,All,25,supermercato,39,produces,0.3077
Italian,All,25,supermercato,39,understands,0
Italian,All,26,supermercato,41,produces,0.3415
Italian,All,26,supermercato,41,understands,0
Italian,All,27,supermercato,43,produces,0.3023
Italian,All,27,supermercato,43,understands,0
Italian,All,28,supermercato,44,produces,0.4773
Italian,All,28,supermercato,44,understands,0
Italian,All,29,supermercato,37,produces,0.4595
Italian,All,29,supermercato,37,understands,0
Italian,All,30,supermercato,67,produces,0.5224
Italian,All,30,supermercato,67,understands,0
Italian,All,31,supermercato,19,produces,0.5263
Italian,All,31,supermercato,19,understands,0
Italian,All,32,supermercato,23,produces,0.3478
Italian,All,32,supermercato,23,understands,0
Italian,All,33,supermercato,16,produces,0.8125
Italian,All,33,supermercato,16,understands,0
Italian,All,34,supermercato,19,produces,0.8421
Italian,All,34,supermercato,19,understands,0
Italian,All,35,supermercato,15,produces,0.7333
Italian,All,35,supermercato,15,understands,0
Italian,All,36,supermercato,21,produces,0.619
Italian,All,36,supermercato,21,understands,0
Korean,All,18,슈퍼마켓,88,produces,0.0682
Korean,All,18,슈퍼마켓,88,understands,0
Korean,All,19,슈퍼마켓,77,produces,0.013
Korean,All,19,슈퍼마켓,77,understands,0
Korean,All,20,슈퍼마켓,88,produces,0.0568
Korean,All,20,슈퍼마켓,88,understands,0
Korean,All,21,슈퍼마켓,79,produces,0.0253
Korean,All,21,슈퍼마켓,79,understands,0
Korean,All,22,슈퍼마켓,87,produces,0.1609
