language,sex,age,words,n,measure,prop
Danish,All,16,havde,184,produces,0
Danish,All,16,havde,184,understands,0
Danish,All,17,havde,176,produces,0.0057
Danish,All,17,havde,176,understands,0
Danish,All,18,havde,160,produces,0.0063
Danish,All,18,havde,160,understands,0
Danish,All,19,havde,205,produces,0
Danish,All,19,havde,205,understands,0
Danish,All,20,havde,196,produces,0
Danish,All,20,havde,196,understands,0
Danish,All,21,havde,236,produces,0.0042
Danish,All,21,havde,236,understands,0
Danish,All,22,havde,235,produces,0.0085
Danish,All,22,havde,235,understands,0
Danish,All,23,havde,190,produces,0.0105
Danish,All,23,havde,190,understands,0
Danish,All,24,havde,216,produces,0.037
Danish,All,24,havde,216,understands,0
Danish,All,25,havde,138,produces,0.0725
Danish,All,25,havde,138,understands,0
Danish,All,26,havde,206,produces,0.0874
Danish,All,26,havde,206,understands,0
Danish,All,27,havde,176,produces,0.0568
Danish,All,27,havde,176,understands,0
Danish,All,28,havde,190,produces,0.1105
Danish,All,28,havde,190,understands,0
Danish,All,29,havde,182,produces,0.1099
Danish,All,29,havde,182,understands,0
Danish,All,30,havde,173,produces,0.185
Danish,All,30,havde,173,understands,0
Danish,All,31,havde,175,produces,0.2514
Danish,All,31,havde,175,understands,0
Danish,All,32,havde,143,produces,0.3497
Danish,All,32,havde,143,understands,0
Danish,All,33,havde,151,produces,0.4172
Danish,All,33,havde,151,understands,0
Danish,All,34,havde,143,produces,0.3916
Danish,All,34,havde,143,understands,0
Danish,All,35,havde,113,produces,0.4867
Danish,All,35,havde,113,understands,0
Danish,All,36,havde,126,produces,0.4921
Danish,All,36,havde,126,understands,0
Norwegian,All,16,hadde,98,produces,0
Norwegian,All,16,hadde,98,understands,0
Norwegian,All,17,hadde,218,produces,0.0046
Norwegian,All,17,hadde,218,understands,0
Norwegian,All,18,hadde,271,produces,0
Norwegian,All,18,hadde,271,understands,0
Norwegian,All,19,hadde,281,produces,0.0107
Norwegian,All,19,hadde,281,understands,0
Norwegian,All,20,hadde,342,produces,0.0175
Norwegian,All,20,hadde,342,understands,0
Norwegian,All,21,hadde,418,produces,0.0239
Norwegian,All,21,hadde,418,understands,0
Norwegian,All,22,hadde,596,produces,0.0403
Norwegian,All,22,hadde,596,understands,0
Norwegian,All,23,hadde,566,produces,0.1042
Norwegian,All,23,hadde,566,understands,0
Norwegian,All,24,hadde,538,produces,0.1115
Norwegian,All,24,hadde,538,understands,0
Norwegian,All,25,hadde,656,produces,0.1402
Norwegian,All,25,hadde,656,understands,0
Norwegian,All,26,hadde,644,produces,0.2748
Norwegian,All,26,hadde,644,understands,0
Norwegian,All,27,hadde,525,produces,0.3143
Norwegian,All,27,hadde,525,understands,0
Norwegian,All,28,hadde,544,produces,0.3842
Norwegian,All,28,hadde,544,understands,0
Norwegian,All,29,hadde,536,produces,0.4254
Norwegian,All,29,hadde,536,understands,0
Norwegian,All,30,hadde,457,produces,0.5142
Norwegian,All,30,hadde,457,understands,0
Norwegian,All,31,hadde,479,produces,0.5365
Norwegian,All,31,hadde,479,understands,0
Norwegian,All,32,hadde,451,produces,0.6098
Norwegian,All,32,hadde,451,understands,0
Norwegian,All,33,hadde,430,produces,0.6791
Norwegian,All,33,hadde,430,understands,0
Norwegian,All,34,hadde,424,produces,0.6816
Norwegian,All,34,hadde,424,understands,0
Norwegian,All,35,hadde,422,produces,0.7725
Norwegian,All,35,hadde,422,understands,0
Norwegian,All,36,hadde,329,produces,0.7599
Norwegian,All,36,hadde,329,understands,0
Danish,Female,16,havde,101,produces,0
Danish,Female,16,havde,101,understands,0
Danish,Male,16,havde,83,produces,0
Danish,Male,16,havde,83,understands,0
Danish,Female,17,havde,91,produces,0
Danish,Female,17,havde,91,understands,0
Danish,Male,17,havde,85,produces,0.0118
Danish,Male,17,havde,85,understands,0
Danish,Female,18,havde,87,produces,0
Danish,Female,18,havde,87,understands,0
Danish,Male,18,havde,73,produces,0.0137
Danish,Male,18,havde,73,understands,0
Danish,Female,19,havde,104,produces,0
Danish,Female,19,havde,104,understands,0
Danish,Male,19,havde,101,produces,0
Danish,Male,19,havde,101,understands,0
Danish,Female,20,havde,100,produces,0
Danish,Female,20,havde,100,understands,0
Danish,Male,20,havde,96,produces,0
Danish,Male,20,havde,96,understands,0
Danish,Female,21,havde,112,produces,0.0089
Danish,Female,21,havde,112,understands,0
Danish,Male,21,havde,124,produces,0
Danish,Male,21,havde,124,understands,0
Danish,Female,22,havde,125,produces,0.008
Danish,Female,22,havde,125,understands,0
Danish,Male,22,havde,110,produces,0.0091
Danish,Male,22,havde,110,understands,0
Danish,Female,23,havde,95,produces,0.0211
Danish,Female,23,havde,95,understands,0
Danish,Male,23,havde,95,produces,0
Danish,Male,23,havde,95,understands,0
Danish,Female,24,havde,112,produces,0.0446
Danish,Female,24,havde,112,understands,0
Danish,Male,24,havde,104,produces,0.0288
Danish,Male,24,havde,104,understands,0
Danish,Female,25,havde,71,produces,0.0986
Danish,Female,25,havde,71,understands,0
Danish,Male,25,havde,67,produces,0.0448
Danish,Male,25,havde,67,understands,0
Danish,Female,26,havde,108,produces,0.1019
Danish,Female,26,havde,108,understands,0
Danish,Male,26,havde,98,produces,0.0714
Danish,Male,26,havde,98,understands,0
Danish,Female,27,havde,100,produces,0.06
Danish,Female,27,havde,100,understands,0
Danish,Male,27,havde,76,produces,0.0526
Danish,Male,27,havde,76,understands,0
Danish,Female,28,havde,94,produces,0.1383
Danish,Female,28,havde,94,understands,0
Danish,Male,28,havde,96,produces,0.0833
Danish,Male,28,havde,96,understands,0
Danish,Female,29,havde,102,produces,0.1275
Danish,Female,29,havde,102,understands,0
Danish,Male,29,havde,80,produces,0.0875
Danish,Male,29,havde,80,understands,0
Danish,Female,30,havde,75,produces,0.2
Danish,Female,30,havde,75,understands,0
Danish,Male,30,havde,98,produces,0.1735
Danish,Male,30,havde,98,understands,0
Danish,Female,31,havde,82,produces,0.3049
Danish,Female,31,havde,82,understands,0
Danish,Male,31,havde,93,produces,0.2043
Danish,Male,31,havde,93,understands,0
Danish,Female,32,havde,74,produces,0.3378
Danish,Female,32,havde,74,understands,0
Danish,Male,32,havde,69,produces,0.3623
Danish,Male,32,havde,69,understands,0
Danish,Female,33,havde,82,produces,0.4878
Danish,Female,33,havde,82,understands,0
Danish,Male,33,havde,69,produces,0.3333
Danish,Male,33,havde,69,understands,0
Danish,Female,34,havde,68,produces,0.4265
Danish,Female,34,havde,68,understands,0
Danish,Male,34,havde,75,produces,0.36
Danish,Male,34,havde,75,understands,0
Danish,Female,35,havde,56,produces,0.5357
Danish,Female,35,havde,56,understands,0
Danish,Male,35,havde,57,produces,0.4386
Danish,Male,35,havde,57,understands,0
Danish,Female,36,havde,61,produces,0.541
Danish,Female,36,havde,61,understands,0
Danish,Male,36,havde,65,produces,0.4462
Danish,Male,36,havde,65,understands,0
Norwegian,Female,16,hadde,39,produces,0
Norwegian,Female,16,hadde,39,understands,0
Norwegian,Male,16,hadde,59,produces,0
Norwegian,Male,16,hadde,59,understands,0
Norwegian,Female,17,hadde,125,produces,0
Norwegian,Female,17,hadde,125,understands,0
Norwegian,Male,17,hadde,93,produces,0.0108
Norwegian,Male,17,hadde,93,understands,0
Norwegian,Female,18,hadde,146,produces,0
Norwegian,Female,18,hadde,146,understands,0
Norwegian,Male,18,hadde,125,produces,0
Norwegian,Male,18,hadde,125,understands,0
Norwegian,Female,19,hadde,135,produces,0.0074
Norwegian,Female,19,hadde,135,understands,0
Norwegian,Male,19,hadde,146,produces,0.0137
Norwegian,Male,19,hadde,146,understands,0
Norwegian,Female,20,hadde,183,produces,0.0164
Norwegian,Female,20,hadde,183,understands,0
Norwegian,Male,20,hadde,159,produces,0.0189
Norwegian,Male,20,hadde,159,understands,0
Norwegian,Female,21,hadde,218,produces,0.0229
Norwegian,Female,21,hadde,218,understands,0
Norwegian,Male,21,hadde,200,produces,0.025
Norwegian,Male,21,hadde,200,understands,0
Norwegian,Female,22,hadde,304,produces,0.0461
Norwegian,Female,22,hadde,304,understands,0
Norwegian,Male,22,hadde,292,produces,0.0342
Norwegian,Male,22,hadde,292,understands,0
Norwegian,Female,23,hadde,285,produces,0.1509
Norwegian,Female,23,hadde,285,understands,0
Norwegian,Male,23,hadde,281,produces,0.0569
Norwegian,Male,23,hadde,281,understands,0
Norwegian,Female,24,hadde,266,produces,0.1278
Norwegian,Female,24,hadde,266,understands,0
Norwegian,Male,24,hadde,272,produces,0.0956
Norwegian,Male,24,hadde,272,understands,0
Norwegian,Female,25,hadde,325,produces,0.1754
Norwegian,Female,25,hadde,325,understands,0
Norwegian,Male,25,hadde,331,produces,0.1057
Norwegian,Male,25,hadde,331,understands,0
Norwegian,Female,26,hadde,301,produces,0.3688
Norwegian,Female,26,hadde,301,understands,0
Norwegian,Male,26,hadde,343,produces,0.1924
Norwegian,Male,26,hadde,343,understands,0
Norwegian,Female,27,hadde,267,produces,0.3895
Norwegian,Female,27,hadde,267,understands,0
Norwegian,Male,27,hadde,258,produces,0.2364
Norwegian,Male,27,hadde,258,understands,0
Norwegian,Female,28,hadde,281,produces,0.4484
Norwegian,Female,28,hadde,281,understands,0
Norwegian,Male,28,hadde,263,produces,0.3156
Norwegian,Male,28,hadde,263,understands,0
Norwegian,Female,29,hadde,252,produces,0.5159
Norwegian,Female,29,hadde,252,understands,0
Norwegian,Male,29,hadde,284,produces,0.3451
Norwegian,Male,29,hadde,284,understands,0
Norwegian,Female,30,hadde,213,produces,0.5587
Norwegian,Female,30,hadde,213,understands,0
Norwegian,Male,30,hadde,244,produces,0.4754
Norwegian,Male,30,hadde,244,understands,0
