language,age,words,n,measure,prop
Japanese,16,ハム,11,produces,0
Japanese,16,ハム,11,understands,0
Japanese,17,ハム,17,produces,0
Japanese,17,ハム,17,understands,0
Japanese,18,ハム,56,produces,0.0357
Japanese,18,ハム,56,understands,0
Japanese,19,ハム,35,produces,0.0571
Japanese,19,ハム,35,understands,0
Japanese,20,ハム,59,produces,0.0678
Japanese,20,ハム,59,understands,0
Japanese,21,ハム,62,produces,0.1613
Japanese,21,ハム,62,understands,0
Japanese,22,ハム,31,produces,0.1935
Japanese,22,ハム,31,understands,0
Japanese,23,ハム,67,produces,0.194
Japanese,23,ハム,67,understands,0
Japanese,24,ハム,33,produces,0.1818
Japanese,24,ハム,33,understands,0
Japanese,25,ハム,34,produces,0.4412
Japanese,25,ハム,34,understands,0
Japanese,26,ハム,33,produces,0.5152
Japanese,26,ハム,33,understands,0
Japanese,27,ハム,15,produces,0.4667
Japanese,27,ハム,15,understands,0
Japanese,28,ハム,18,produces,0.3889
Japanese,28,ハム,18,understands,0
Japanese,29,ハム,17,produces,0.6471
Japanese,29,ハム,17,understands,0
Japanese,30,ハム,18,produces,0.5
Japanese,30,ハム,18,understands,0
Japanese,31,ハム,18,produces,0.7222
Japanese,31,ハム,18,understands,0
Japanese,32,ハム,13,produces,0.6154
Japanese,32,ハム,13,understands,0
Japanese,33,ハム,16,produces,0.625
Japanese,33,ハム,16,understands,0
Japanese,34,ハム,13,produces,0.6923
Japanese,34,ハム,13,understands,0
Japanese,35,ハム,31,produces,0.8065
Japanese,35,ハム,31,understands,0
Japanese,36,ハム,18,produces,0.8333
Japanese,36,ハム,18,understands,0
Mandarin (Taiwanese),16,火腿,80,produces,0
Mandarin (Taiwanese),16,火腿,80,understands,0
Mandarin (Taiwanese),17,火腿,87,produces,0
Mandarin (Taiwanese),17,火腿,87,understands,0
Mandarin (Taiwanese),18,火腿,84,produces,0
Mandarin (Taiwanese),18,火腿,84,understands,0
Mandarin (Taiwanese),19,火腿,84,produces,0.0119
Mandarin (Taiwanese),19,火腿,84,understands,0
Mandarin (Taiwanese),20,火腿,84,produces,0
Mandarin (Taiwanese),20,火腿,84,understands,0
Mandarin (Taiwanese),21,火腿,88,produces,0.0114
Mandarin (Taiwanese),21,火腿,88,understands,0
Mandarin (Taiwanese),22,火腿,96,produces,0.0521
Mandarin (Taiwanese),22,火腿,96,understands,0
Mandarin (Taiwanese),23,火腿,105,produces,0.1048
Mandarin (Taiwanese),23,火腿,105,understands,0
Mandarin (Taiwanese),24,火腿,124,produces,0.1048
Mandarin (Taiwanese),24,火腿,124,understands,0
Mandarin (Taiwanese),25,火腿,110,produces,0.1182
Mandarin (Taiwanese),25,火腿,110,understands,0
Mandarin (Taiwanese),26,火腿,87,produces,0.1264
Mandarin (Taiwanese),26,火腿,87,understands,0
Mandarin (Taiwanese),27,火腿,92,produces,0.1522
Mandarin (Taiwanese),27,火腿,92,understands,0
Mandarin (Taiwanese),28,火腿,100,produces,0.2
Mandarin (Taiwanese),28,火腿,100,understands,0
Mandarin (Taiwanese),29,火腿,88,produces,0.25
Mandarin (Taiwanese),29,火腿,88,understands,0
Mandarin (Taiwanese),30,火腿,94,produces,0.2979
Mandarin (Taiwanese),30,火腿,94,understands,0
Mandarin (Taiwanese),31,火腿,88,produces,0.375
Mandarin (Taiwanese),31,火腿,88,understands,0
