language,sex,age,words,n,measure,prop
Estonian,All,16,taskurätt,36,produces,0
Estonian,All,16,taskurätt,36,understands,0
Estonian,All,17,taskurätt,89,produces,0.0449
Estonian,All,17,taskurätt,89,understands,0
Estonian,All,18,taskurätt,103,produces,0.0194
Estonian,All,18,taskurätt,103,understands,0
Estonian,All,19,taskurätt,85,produces,0.0706
Estonian,All,19,taskurätt,85,understands,0
Estonian,All,20,taskurätt,60,produces,0.0667
Estonian,All,20,taskurätt,60,understands,0
Estonian,All,21,taskurätt,66,produces,0.0758
Estonian,All,21,taskurätt,66,understands,0
Estonian,All,22,taskurätt,76,produces,0.0658
Estonian,All,22,taskurätt,76,understands,0
Estonian,All,23,taskurätt,95,produces,0.1895
Estonian,All,23,taskurätt,95,understands,0
Estonian,All,24,taskurätt,116,produces,0.2155
Estonian,All,24,taskurätt,116,understands,0
Estonian,All,25,taskurätt,82,produces,0.3171
Estonian,All,25,taskurätt,82,understands,0
Estonian,All,26,taskurätt,84,produces,0.3333
Estonian,All,26,taskurätt,84,understands,0
Estonian,All,27,taskurätt,80,produces,0.3625
Estonian,All,27,taskurätt,80,understands,0
Estonian,All,28,taskurätt,92,produces,0.4565
Estonian,All,28,taskurätt,92,understands,0
Estonian,All,29,taskurätt,100,produces,0.49
Estonian,All,29,taskurätt,100,understands,0
Estonian,All,30,taskurätt,71,produces,0.5211
Estonian,All,30,taskurätt,71,understands,0
Japanese,All,8,ハンカチ,6,produces,0
Japanese,All,8,ハンカチ,6,understands,0
Japanese,All,9,ハンカチ,10,produces,0
Japanese,All,9,ハンカチ,10,understands,0.1
Japanese,All,10,ハンカチ,8,produces,0
Japanese,All,10,ハンカチ,8,understands,0
Japanese,All,11,ハンカチ,87,produces,0
Japanese,All,11,ハンカチ,87,understands,0
Japanese,All,12,ハンカチ,118,produces,0
Japanese,All,12,ハンカチ,118,understands,0.0085
Japanese,All,13,ハンカチ,23,produces,0
Japanese,All,13,ハンカチ,23,understands,0
Japanese,All,14,ハンカチ,26,produces,0
Japanese,All,14,ハンカチ,26,understands,0.0385
Japanese,All,15,ハンカチ,72,produces,0
Japanese,All,15,ハンカチ,72,understands,0.0694
Japanese,All,16,ハンカチ,46,produces,0
Japanese,All,16,ハンカチ,46,understands,0.0435
Japanese,All,17,ハンカチ,77,produces,0
Japanese,All,17,ハンカチ,77,understands,0.0649
Japanese,All,18,ハンカチ,94,produces,0.0106
Japanese,All,18,ハンカチ,94,understands,0.0957
Japanese,All,19,ハンカチ,35,produces,0
Japanese,All,19,ハンカチ,35,understands,0
Japanese,All,20,ハンカチ,59,produces,0.0339
Japanese,All,20,ハンカチ,59,understands,0
Japanese,All,21,ハンカチ,62,produces,0
Japanese,All,21,ハンカチ,62,understands,0
Japanese,All,22,ハンカチ,31,produces,0
Japanese,All,22,ハンカチ,31,understands,0
Japanese,All,23,ハンカチ,67,produces,0.0299
Japanese,All,23,ハンカチ,67,understands,0
Japanese,All,24,ハンカチ,33,produces,0.1212
Japanese,All,24,ハンカチ,33,understands,0
Japanese,All,25,ハンカチ,34,produces,0.2353
Japanese,All,25,ハンカチ,34,understands,0
Japanese,All,26,ハンカチ,33,produces,0.2424
Japanese,All,26,ハンカチ,33,understands,0
Japanese,All,27,ハンカチ,15,produces,0.1333
Japanese,All,27,ハンカチ,15,understands,0
Japanese,All,28,ハンカチ,18,produces,0.2222
Japanese,All,28,ハンカチ,18,understands,0
Japanese,All,29,ハンカチ,17,produces,0.3529
Japanese,All,29,ハンカチ,17,understands,0
Japanese,All,30,ハンカチ,18,produces,0.3889
Japanese,All,30,ハンカチ,18,understands,0
Japanese,All,31,ハンカチ,18,produces,0.3889
Japanese,All,31,ハンカチ,18,understands,0
Japanese,All,32,ハンカチ,13,produces,0.3846
Japanese,All,32,ハンカチ,13,understands,0
Japanese,All,33,ハンカチ,16,produces,0.4375
Japanese,All,33,ハンカチ,16,understands,0
Japanese,All,34,ハンカチ,13,produces,0.3077
Japanese,All,34,ハンカチ,13,understands,0
Japanese,All,35,ハンカチ,31,produces,0.6452
Japanese,All,35,ハンカチ,31,understands,0
Japanese,All,36,ハンカチ,18,produces,0.6111
Japanese,All,36,ハンカチ,18,understands,0
Mandarin (Beijing),All,16,手绢,70,produces,0.0286
Mandarin (Beijing),All,16,手绢,70,understands,0
Mandarin (Beijing),All,17,手绢,72,produces,0.1389
Mandarin (Beijing),All,17,手绢,72,understands,0
Mandarin (Beijing),All,18,手绢,71,produces,0.1831
Mandarin (Beijing),All,18,手绢,71,understands,0
Mandarin (Beijing),All,19,手绢,70,produces,0.3
Mandarin (Beijing),All,19,手绢,70,understands,0
Mandarin (Beijing),All,20,手绢,71,produces,0.4789
Mandarin (Beijing),All,20,手绢,71,understands,0
Mandarin (Beijing),All,21,手绢,70,produces,0.5429
Mandarin (Beijing),All,21,手绢,70,understands,0
Mandarin (Beijing),All,22,手绢,71,produces,0.6761
Mandarin (Beijing),All,22,手绢,71,understands,0
Mandarin (Beijing),All,23,手绢,70,produces,0.7429
Mandarin (Beijing),All,23,手绢,70,understands,0
Mandarin (Beijing),All,24,手绢,70,produces,0.7857
Mandarin (Beijing),All,24,手绢,70,understands,0
Mandarin (Beijing),All,25,手绢,70,produces,0.8429
Mandarin (Beijing),All,25,手绢,70,understands,0
Mandarin (Beijing),All,26,手绢,71,produces,0.8873
Mandarin (Beijing),All,26,手绢,71,understands,0
Mandarin (Beijing),All,27,手绢,70,produces,0.9429
Mandarin (Beijing),All,27,手绢,70,understands,0
Mandarin (Beijing),All,28,手绢,70,produces,0.9429
Mandarin (Beijing),All,28,手绢,70,understands,0
Mandarin (Beijing),All,29,手绢,70,produces,0.9714
Mandarin (Beijing),All,29,手绢,70,understands,0
Mandarin (Beijing),All,30,手绢,70,produces,0.9429
Mandarin (Beijing),All,30,手绢,70,understands,0
Russian,All,18,платок,42,produces,0
Russian,All,18,платок,42,understands,0
Russian,All,19,платок,41,produces,0.0488
Russian,All,19,платок,41,understands,0
Russian,All,20,платок,45,produces,0.0889
Russian,All,20,платок,45,understands,0
Russian,All,21,платок,43,produces,0.3256
Russian,All,21,платок,43,understands,0
Russian,All,22,платок,51,produces,0.3529
Russian,All,22,платок,51,understands,0
Russian,All,23,платок,56,produces,0.375
Russian,All,23,платок,56,understands,0
Russian,All,24,платок,61,produces,0.4426
Russian,All,24,платок,61,understands,0
Russian,All,25,платок,66,produces,0.4545
Russian,All,25,платок,66,understands,0
Russian,All,26,платок,52,produces,0.5385
Russian,All,26,платок,52,understands,0
Russian,All,27,платок,60,produces,0.6333
Russian,All,27,платок,60,understands,0
Russian,All,28,платок,60,produces,0.7
Russian,All,28,платок,60,understands,0
Russian,All,29,платок,58,produces,0.7586
Russian,All,29,платок,58,understands,0
Russian,All,30,платок,77,produces,0.7273
Russian,All,30,платок,77,understands,0
Russian,All,31,платок,61,produces,0.8197
Russian,All,31,платок,61,understands,0
Russian,All,32,платок,55,produces,0.8
Russian,All,32,платок,55,understands,0
Russian,All,33,платок,55,produces,0.8364
Russian,All,33,платок,55,understands,0
Russian,All,34,платок,58,produces,0.9138
Russian,All,34,платок,58,understands,0
Russian,All,35,платок,47,produces,0.8723
Russian,All,35,платок,47,understands,0
Russian,All,36,платок,49,produces,0.9184
Russian,All,36,платок,49,understands,0
Estonian,Female,16,taskurätt,19,produces,0
Estonian,Female,16,taskurätt,19,understands,0
Estonian,Male,16,taskurätt,17,produces,0
Estonian,Male,16,taskurätt,17,understands,0
Estonian,Female,17,taskurätt,42,produces,0.0476
Estonian,Female,17,taskurätt,42,understands,0
Estonian,Male,17,taskurätt,47,produces,0.0426
Estonian,Male,17,taskurätt,47,understands,0
Estonian,Female,18,taskurätt,52,produces,0.0385
Estonian,Female,18,taskurätt,52,understands,0
Estonian,Male,18,taskurätt,51,produces,0
Estonian,Male,18,taskurätt,51,understands,0
Estonian,Female,19,taskurätt,44,produces,0.0682
Estonian,Female,19,taskurätt,44,understands,0
Estonian,Male,19,taskurätt,41,produces,0.0732
Estonian,Male,19,taskurätt,41,understands,0
Estonian,Female,20,taskurätt,36,produces,0.0556
Estonian,Female,20,taskurätt,36,understands,0
Estonian,Male,20,taskurätt,24,produces,0.0833
Estonian,Male,20,taskurätt,24,understands,0
Estonian,Female,21,taskurätt,28,produces,0.1429
Estonian,Female,21,taskurätt,28,understands,0
Estonian,Male,21,taskurätt,38,produces,0.0263
Estonian,Male,21,taskurätt,38,understands,0
Estonian,Female,22,taskurätt,45,produces,0.0889
