language,age,words,n,measure,prop
Italian,18,deve,31,produces,0
Italian,18,deve,31,understands,0
Italian,19,deve,39,produces,0
Italian,19,deve,39,understands,0
Italian,20,deve,64,produces,0
Italian,20,deve,64,understands,0
Italian,21,deve,55,produces,0.0182
Italian,21,deve,55,understands,0
Italian,22,deve,55,produces,0.0545
Italian,22,deve,55,understands,0
Italian,23,deve,53,produces,0.0566
Italian,23,deve,53,understands,0
Italian,24,deve,71,produces,0.0986
Italian,24,deve,71,understands,0
Italian,25,deve,39,produces,0.0513
Italian,25,deve,39,understands,0
Italian,26,deve,41,produces,0.2439
Italian,26,deve,41,understands,0
Italian,27,deve,43,produces,0.1395
Italian,27,deve,43,understands,0
Italian,28,deve,44,produces,0.2045
Italian,28,deve,44,understands,0
Italian,29,deve,37,produces,0.2973
Italian,29,deve,37,understands,0
Italian,30,deve,67,produces,0.3284
Italian,30,deve,67,understands,0
Italian,31,deve,19,produces,0.5789
Italian,31,deve,19,understands,0
Italian,32,deve,23,produces,0.3478
Italian,32,deve,23,understands,0
Italian,33,deve,16,produces,0.3125
Italian,33,deve,16,understands,0
Italian,34,deve,19,produces,0.5263
Italian,34,deve,19,understands,0
Italian,35,deve,15,produces,0.6
Italian,35,deve,15,understands,0
Italian,36,deve,21,produces,0.4286
Italian,36,deve,21,understands,0
Norwegian,16,måtte,98,produces,0
Norwegian,16,måtte,98,understands,0
Norwegian,17,måtte,218,produces,0.0046
Norwegian,17,måtte,218,understands,0
Norwegian,18,måtte,271,produces,0
Norwegian,18,måtte,271,understands,0
Norwegian,19,måtte,281,produces,0.0036
Norwegian,19,måtte,281,understands,0
Norwegian,20,måtte,342,produces,0.0088
Norwegian,20,måtte,342,understands,0
Norwegian,21,måtte,418,produces,0.0048
Norwegian,21,måtte,418,understands,0
Norwegian,22,måtte,596,produces,0.0084
Norwegian,22,måtte,596,understands,0
Norwegian,23,måtte,566,produces,0.0141
Norwegian,23,måtte,566,understands,0
Norwegian,24,måtte,538,produces,0.039
Norwegian,24,måtte,538,understands,0
Norwegian,25,måtte,656,produces,0.061
Norwegian,25,måtte,656,understands,0
Norwegian,26,måtte,644,produces,0.1134
Norwegian,26,måtte,644,understands,0
Norwegian,27,måtte,525,produces,0.1771
Norwegian,27,måtte,525,understands,0
Norwegian,28,måtte,544,produces,0.2132
Norwegian,28,måtte,544,understands,0
Norwegian,29,måtte,536,produces,0.2724
Norwegian,29,måtte,536,understands,0
Norwegian,30,måtte,457,produces,0.2801
Norwegian,30,måtte,457,understands,0
Norwegian,31,måtte,479,produces,0.3904
Norwegian,31,måtte,479,understands,0
Norwegian,32,måtte,451,produces,0.4346
Norwegian,32,måtte,451,understands,0
Norwegian,33,måtte,430,produces,0.5023
Norwegian,33,måtte,430,understands,0
Norwegian,34,måtte,424,produces,0.5566
Norwegian,34,måtte,424,understands,0
Norwegian,35,måtte,422,produces,0.6066
Norwegian,35,måtte,422,understands,0
Norwegian,36,måtte,329,produces,0.6322
Norwegian,36,måtte,329,understands,0
Irish,17,caithfidh,2,produces,0
Irish,17,caithfidh,2,understands,0
Irish,18,caithfidh,1,produces,0
Irish,18,caithfidh,1,understands,0
Irish,19,caithfidh,2,produces,0
Irish,19,caithfidh,2,understands,0
Irish,20,caithfidh,1,produces,0
Irish,20,caithfidh,1,understands,0
Irish,21,caithfidh,3,produces,0
Irish,21,caithfidh,3,understands,0
Irish,22,caithfidh,4,produces,0
Irish,22,caithfidh,4,understands,0
Irish,23,caithfidh,4,produces,0
Irish,23,caithfidh,4,understands,0
Irish,24,caithfidh,4,produces,0.25
Irish,24,caithfidh,4,understands,0
Irish,25,caithfidh,6,produces,0.1667
Irish,25,caithfidh,6,understands,0
Irish,26,caithfidh,10,produces,0
Irish,26,caithfidh,10,understands,0
Irish,27,caithfidh,5,produces,0.4
Irish,27,caithfidh,5,understands,0
Irish,28,caithfidh,7,produces,0
Irish,28,caithfidh,7,understands,0
Irish,29,caithfidh,4,produces,0
Irish,29,caithfidh,4,understands,0
Irish,30,caithfidh,9,produces,0.3333
Irish,30,caithfidh,9,understands,0
Irish,31,caithfidh,8,produces,0.125
Irish,31,caithfidh,8,understands,0
Irish,32,caithfidh,4,produces,0.75
Irish,32,caithfidh,4,understands,0
Irish,33,caithfidh,5,produces,0.4
Irish,33,caithfidh,5,understands,0
Irish,34,caithfidh,4,produces,0.5
Irish,34,caithfidh,4,understands,0
Irish,35,caithfidh,11,produces,0.7273
Irish,35,caithfidh,11,understands,0
Irish,36,caithfidh,5,produces,0.4
Irish,36,caithfidh,5,understands,0
