language,age,words,n,measure,prop
Italian,18,"devo, devi",31,produces,0
Italian,18,"devo, devi",31,understands,0
Italian,19,"devo, devi",39,produces,0
Italian,19,"devo, devi",39,understands,0
Italian,20,"devo, devi",64,produces,0
Italian,20,"devo, devi",64,understands,0
Italian,21,"devo, devi",55,produces,0.0091
Italian,21,"devo, devi",55,understands,0
Italian,22,"devo, devi",55,produces,0.0273
Italian,22,"devo, devi",55,understands,0
Italian,23,"devo, devi",53,produces,0.0472
Italian,23,"devo, devi",53,understands,0
Italian,24,"devo, devi",71,produces,0.0986
Italian,24,"devo, devi",71,understands,0
Italian,25,"devo, devi",39,produces,0.0513
Italian,25,"devo, devi",39,understands,0
Italian,26,"devo, devi",41,produces,0.3049
Italian,26,"devo, devi",41,understands,0
Italian,27,"devo, devi",43,produces,0.1628
Italian,27,"devo, devi",43,understands,0
Italian,28,"devo, devi",44,produces,0.2955
Italian,28,"devo, devi",44,understands,0
Italian,29,"devo, devi",37,produces,0.4189
Italian,29,"devo, devi",37,understands,0
Italian,30,"devo, devi",67,produces,0.4478
Italian,30,"devo, devi",67,understands,0
Italian,31,"devo, devi",19,produces,0.5263
Italian,31,"devo, devi",19,understands,0
Italian,32,"devo, devi",23,produces,0.4348
Italian,32,"devo, devi",23,understands,0
Italian,33,"devo, devi",16,produces,0.5312
Italian,33,"devo, devi",16,understands,0
Italian,34,"devo, devi",19,produces,0.6053
Italian,34,"devo, devi",19,understands,0
Italian,35,"devo, devi",15,produces,0.7
Italian,35,"devo, devi",15,understands,0
Italian,36,"devo, devi",21,produces,0.619
Italian,36,"devo, devi",21,understands,0
Dutch,9,moet(bvbikmoet),3,produces,0
Dutch,9,moet(bvbikmoet),3,understands,0
Dutch,12,moet(bvbikmoet),1,produces,0
Dutch,12,moet(bvbikmoet),1,understands,0
Dutch,15,moet(bvbikmoet),69,produces,0
Dutch,15,moet(bvbikmoet),69,understands,0.087
Dutch,16,moet(bvbikmoet),80,produces,0.0125
Dutch,16,moet(bvbikmoet),80,understands,0.1125
Dutch,17,moet(bvbikmoet),84,produces,0
Dutch,17,moet(bvbikmoet),84,understands,0.0238
Dutch,18,moet(bvbikmoet),117,produces,0.0171
Dutch,18,moet(bvbikmoet),117,understands,0.0513
Dutch,19,moet(bvbikmoet),9,produces,0
Dutch,19,moet(bvbikmoet),9,understands,0
Dutch,20,moet(bvbikmoet),29,produces,0
Dutch,20,moet(bvbikmoet),29,understands,0.2069
Dutch,21,moet(bvbikmoet),8,produces,0
Dutch,21,moet(bvbikmoet),8,understands,0
Dutch,22,moet(bvbikmoet),7,produces,0.1429
Dutch,22,moet(bvbikmoet),7,understands,0
Dutch,23,moet(bvbikmoet),51,produces,0.1961
Dutch,23,moet(bvbikmoet),51,understands,0
Dutch,24,moet(bvbikmoet),42,produces,0.2143
Dutch,24,moet(bvbikmoet),42,understands,0.1905
Dutch,25,moet(bvbikmoet),21,produces,0.3333
Dutch,25,moet(bvbikmoet),21,understands,0.4286
Dutch,26,moet(bvbikmoet),7,produces,0.2857
Dutch,26,moet(bvbikmoet),7,understands,0.1429
Dutch,27,moet(bvbikmoet),5,produces,0.4
Dutch,27,moet(bvbikmoet),5,understands,0
Dutch,28,moet(bvbikmoet),15,produces,0.7333
Dutch,28,moet(bvbikmoet),15,understands,0.4667
Dutch,29,moet(bvbikmoet),52,produces,0.7885
Dutch,29,moet(bvbikmoet),52,understands,0.5192
Dutch,30,moet(bvbikmoet),28,produces,0.6429
Dutch,30,moet(bvbikmoet),28,understands,0.0714
Dutch,31,moet(bvbikmoet),7,produces,0.5714
Dutch,31,moet(bvbikmoet),7,understands,0.5714
English (American),16,hafta/have to,930,produces,0.0054
English (American),16,hafta/have to,930,understands,0
English (American),17,hafta/have to,458,produces,0.0197
English (American),17,hafta/have to,458,understands,0
English (American),18,hafta/have to,641,produces,0.0187
English (American),18,hafta/have to,641,understands,0
English (American),19,hafta/have to,570,produces,0.0351
English (American),19,hafta/have to,570,understands,0
English (American),20,hafta/have to,537,produces,0.0298
English (American),20,hafta/have to,537,understands,0
English (American),21,hafta/have to,366,produces,0.0328
English (American),21,hafta/have to,366,understands,0
English (American),22,hafta/have to,454,produces,0.0595
English (American),22,hafta/have to,454,understands,0
English (American),23,hafta/have to,470,produces,0.1255
English (American),23,hafta/have to,470,understands,0
English (American),24,hafta/have to,985,produces,0.1482
English (American),24,hafta/have to,985,understands,0
English (American),25,hafta/have to,757,produces,0.1744
English (American),25,hafta/have to,757,understands,0
English (American),26,hafta/have to,435,produces,0.2529
English (American),26,hafta/have to,435,understands,0
English (American),27,hafta/have to,361,produces,0.3269
English (American),27,hafta/have to,361,understands,0
English (American),28,hafta/have to,954,produces,0.4518
English (American),28,hafta/have to,954,understands,0
English (American),29,hafta/have to,390,produces,0.4359
English (American),29,hafta/have to,390,understands,0
English (American),30,hafta/have to,785,produces,0.4637
English (American),30,hafta/have to,785,understands,0
