language,age,words,n,measure,prop
Italian,7,gallina,5,produces,0
Italian,7,gallina,5,understands,0
Italian,8,gallina,34,produces,0
Italian,8,gallina,34,understands,0
Italian,9,gallina,38,produces,0.0263
Italian,9,gallina,38,understands,0.1053
Italian,10,gallina,53,produces,0
Italian,10,gallina,53,understands,0.0755
Italian,11,gallina,42,produces,0
Italian,11,gallina,42,understands,0.1667
Italian,12,gallina,69,produces,0
Italian,12,gallina,69,understands,0.3188
Italian,13,gallina,48,produces,0.0208
Italian,13,gallina,48,understands,0.3542
Italian,14,gallina,40,produces,0.025
Italian,14,gallina,40,understands,0.55
Italian,15,gallina,68,produces,0.0294
Italian,15,gallina,68,understands,0.5294
Italian,16,gallina,56,produces,0.0714
Italian,16,gallina,56,understands,0.5893
Italian,17,gallina,48,produces,0.0833
Italian,17,gallina,48,understands,0.5833
Italian,18,gallina,75,produces,0.1467
Italian,18,gallina,75,understands,0.4133
Italian,19,gallina,58,produces,0.1552
Italian,19,gallina,58,understands,0.2069
Italian,20,gallina,83,produces,0.1566
Italian,20,gallina,83,understands,0.1807
Italian,21,gallina,67,produces,0.3284
Italian,21,gallina,67,understands,0.1493
Italian,22,gallina,77,produces,0.3506
Italian,22,gallina,77,understands,0.2338
Italian,23,gallina,70,produces,0.5429
Italian,23,gallina,70,understands,0.2286
Italian,24,gallina,85,produces,0.5647
Italian,24,gallina,85,understands,0.1529
Italian,25,gallina,39,produces,0.7179
Italian,25,gallina,39,understands,0
Italian,26,gallina,41,produces,0.8293
Italian,26,gallina,41,understands,0
Italian,27,gallina,43,produces,0.7442
Italian,27,gallina,43,understands,0
Italian,28,gallina,44,produces,0.7727
Italian,28,gallina,44,understands,0
Italian,29,gallina,37,produces,0.8108
Italian,29,gallina,37,understands,0
Italian,30,gallina,67,produces,0.806
Italian,30,gallina,67,understands,0
Italian,31,gallina,19,produces,0.7895
Italian,31,gallina,19,understands,0
Italian,32,gallina,23,produces,0.7826
Italian,32,gallina,23,understands,0
Italian,33,gallina,16,produces,1
Italian,33,gallina,16,understands,0
Italian,34,gallina,19,produces,0.9474
Italian,34,gallina,19,understands,0
Italian,35,gallina,15,produces,0.9333
Italian,35,gallina,15,understands,0
Italian,36,gallina,21,produces,0.9048
Italian,36,gallina,21,understands,0
Kigiriama,8,Kolo,5,produces,0
Kigiriama,8,Kolo,5,understands,0
Kigiriama,9,Kolo,22,produces,0
Kigiriama,9,Kolo,22,understands,0.0455
Kigiriama,10,Kolo,5,produces,0
Kigiriama,10,Kolo,5,understands,0
Kigiriama,11,Kolo,7,produces,0
Kigiriama,11,Kolo,7,understands,0.1429
Kigiriama,12,Kolo,30,produces,0
Kigiriama,12,Kolo,30,understands,0
Kigiriama,13,Kolo,18,produces,0
Kigiriama,13,Kolo,18,understands,0.0556
Kigiriama,14,Kolo,16,produces,0
Kigiriama,14,Kolo,16,understands,0
Kigiriama,15,Kolo,16,produces,0
Kigiriama,15,Kolo,16,understands,0.0625
Kigiriama,16,Kolo,1,produces,0
Kigiriama,16,Kolo,1,understands,0
Kigiriama,17,Kolo,6,produces,0
Kigiriama,17,Kolo,6,understands,0
Kigiriama,18,Kolo,13,produces,0
Kigiriama,18,Kolo,13,understands,0
Kigiriama,19,Kolo,8,produces,0
Kigiriama,19,Kolo,8,understands,0
Kigiriama,20,Kolo,14,produces,0.0714
Kigiriama,20,Kolo,14,understands,0
Kigiriama,21,Kolo,6,produces,0
Kigiriama,21,Kolo,6,understands,0
Kigiriama,22,Kolo,9,produces,0.1111
Kigiriama,22,Kolo,9,understands,0
Kigiriama,23,Kolo,4,produces,0
Kigiriama,23,Kolo,4,understands,0
Kigiriama,24,Kolo,7,produces,0.1429
Kigiriama,24,Kolo,7,understands,0
Kigiriama,25,Kolo,3,produces,0.3333
Kigiriama,25,Kolo,3,understands,0
Kigiriama,26,Kolo,6,produces,0.3333
Kigiriama,26,Kolo,6,understands,0
Kigiriama,27,Kolo,4,produces,0.75
Kigiriama,27,Kolo,4,understands,0
Kigiriama,28,Kolo,1,produces,0
Kigiriama,28,Kolo,1,understands,0
Kigiriama,29,Kolo,5,produces,0.8
Kigiriama,29,Kolo,5,understands,0
Kigiriama,30,Kolo,1,produces,0
Kigiriama,30,Kolo,1,understands,0
Kiswahili,8,Koo,1,produces,0
Kiswahili,8,Koo,1,understands,0
Kiswahili,9,Koo,5,produces,0
Kiswahili,9,Koo,5,understands,0
Kiswahili,10,Koo,5,produces,0
Kiswahili,10,Koo,5,understands,0
Kiswahili,11,Koo,9,produces,0
Kiswahili,11,Koo,9,understands,0
Kiswahili,12,Koo,6,produces,0
Kiswahili,12,Koo,6,understands,0
Kiswahili,13,Koo,6,produces,0
Kiswahili,13,Koo,6,understands,0.1667
Kiswahili,14,Koo,4,produces,0
Kiswahili,14,Koo,4,understands,0
Kiswahili,15,Koo,5,produces,0
Kiswahili,15,Koo,5,understands,0
Kiswahili,23,Koo,2,produces,0
Kiswahili,23,Koo,2,understands,0
Kiswahili,24,Koo,12,produces,0
Kiswahili,24,Koo,12,understands,0
Kiswahili,25,Koo,10,produces,0
Kiswahili,25,Koo,10,understands,0
Kiswahili,26,Koo,13,produces,0.0769
Kiswahili,26,Koo,13,understands,0
Kiswahili,27,Koo,8,produces,0
Kiswahili,27,Koo,8,understands,0
Kiswahili,28,Koo,6,produces,0.3333
Kiswahili,28,Koo,6,understands,0
Kiswahili,29,Koo,6,produces,0
Kiswahili,29,Koo,6,understands,0
Kiswahili,30,Koo,5,produces,0.4
Kiswahili,30,Koo,5,understands,0
Mandarin (Beijing),17,母鸡,40,produces,0.15
Mandarin (Beijing),17,母鸡,40,understands,0
Mandarin (Beijing),18,母鸡,50,produces,0.1
Mandarin (Beijing),18,母鸡,50,understands,0
Mandarin (Beijing),19,母鸡,50,produces,0.18
Mandarin (Beijing),19,母鸡,50,understands,0
Mandarin (Beijing),20,母鸡,50,produces,0.14
Mandarin (Beijing),20,母鸡,50,understands,0
Mandarin (Beijing),21,母鸡,49,produces,0.2449
Mandarin (Beijing),21,母鸡,49,understands,0
Mandarin (Beijing),22,母鸡,46,produces,0.1957
Mandarin (Beijing),22,母鸡,46,understands,0
Mandarin (Beijing),23,母鸡,50,produces,0.44
Mandarin (Beijing),23,母鸡,50,understands,0
Mandarin (Beijing),24,母鸡,50,produces,0.38
