language,age,words,n,measure,prop
Spanish (Mexican),16,cerro,68,produces,0.0294
Spanish (Mexican),16,cerro,68,understands,0
Spanish (Mexican),17,cerro,59,produces,0.0339
Spanish (Mexican),17,cerro,59,understands,0
Spanish (Mexican),18,cerro,75,produces,0.0267
Spanish (Mexican),18,cerro,75,understands,0
Spanish (Mexican),19,cerro,100,produces,0.14
Spanish (Mexican),19,cerro,100,understands,0
Spanish (Mexican),20,cerro,107,produces,0.1028
Spanish (Mexican),20,cerro,107,understands,0
Spanish (Mexican),21,cerro,84,produces,0.0952
Spanish (Mexican),21,cerro,84,understands,0
Spanish (Mexican),22,cerro,141,produces,0.0638
Spanish (Mexican),22,cerro,141,understands,0
Spanish (Mexican),23,cerro,91,produces,0.0879
Spanish (Mexican),23,cerro,91,understands,0
Spanish (Mexican),24,cerro,126,produces,0.1587
Spanish (Mexican),24,cerro,126,understands,0
Spanish (Mexican),25,cerro,177,produces,0.1356
Spanish (Mexican),25,cerro,177,understands,0
Spanish (Mexican),26,cerro,83,produces,0.241
Spanish (Mexican),26,cerro,83,understands,0
Spanish (Mexican),27,cerro,85,produces,0.2
Spanish (Mexican),27,cerro,85,understands,0
Spanish (Mexican),28,cerro,89,produces,0.2135
Spanish (Mexican),28,cerro,89,understands,0
Spanish (Mexican),29,cerro,89,produces,0.2472
Spanish (Mexican),29,cerro,89,understands,0
Spanish (Mexican),30,cerro,308,produces,0.1201
Spanish (Mexican),30,cerro,308,understands,0
Spanish (Peruvian),16,cerro,13,produces,0
Spanish (Peruvian),16,cerro,13,understands,0
Spanish (Peruvian),17,cerro,9,produces,0
Spanish (Peruvian),17,cerro,9,understands,0
Spanish (Peruvian),18,cerro,4,produces,0
Spanish (Peruvian),18,cerro,4,understands,0
Spanish (Peruvian),19,cerro,12,produces,0.0833
Spanish (Peruvian),19,cerro,12,understands,0
Spanish (Peruvian),20,cerro,1,produces,0
Spanish (Peruvian),20,cerro,1,understands,0
Spanish (Peruvian),21,cerro,5,produces,0
Spanish (Peruvian),21,cerro,5,understands,0
Spanish (Peruvian),22,cerro,9,produces,0
Spanish (Peruvian),22,cerro,9,understands,0
Spanish (Peruvian),23,cerro,1,produces,1
Spanish (Peruvian),23,cerro,1,understands,0
Spanish (Peruvian),24,cerro,15,produces,0.1333
Spanish (Peruvian),24,cerro,15,understands,0
Spanish (Peruvian),25,cerro,5,produces,0
Spanish (Peruvian),25,cerro,5,understands,0
Spanish (Peruvian),26,cerro,8,produces,0
Spanish (Peruvian),26,cerro,8,understands,0
Spanish (Peruvian),27,cerro,7,produces,0
Spanish (Peruvian),27,cerro,7,understands,0
Spanish (Peruvian),28,cerro,8,produces,0
Spanish (Peruvian),28,cerro,8,understands,0
Spanish (Peruvian),29,cerro,6,produces,0.3333
Spanish (Peruvian),29,cerro,6,understands,0
Spanish (Peruvian),30,cerro,2,produces,0
Spanish (Peruvian),30,cerro,2,understands,0
