language,age,words,n,measure,prop
Latvian,17,kakao,27,produces,0
Latvian,17,kakao,27,understands,0
Latvian,18,kakao,21,produces,0.0952
Latvian,18,kakao,21,understands,0
Latvian,19,kakao,28,produces,0.0357
Latvian,19,kakao,28,understands,0
Latvian,20,kakao,34,produces,0.1176
Latvian,20,kakao,34,understands,0
Latvian,21,kakao,26,produces,0.0769
Latvian,21,kakao,26,understands,0
Latvian,22,kakao,32,produces,0.2812
Latvian,22,kakao,32,understands,0
Latvian,23,kakao,25,produces,0.16
Latvian,23,kakao,25,understands,0
Latvian,24,kakao,30,produces,0.3667
Latvian,24,kakao,30,understands,0
Latvian,25,kakao,29,produces,0.2759
Latvian,25,kakao,29,understands,0
Latvian,26,kakao,22,produces,0.4545
Latvian,26,kakao,22,understands,0
Latvian,27,kakao,18,produces,0.3889
Latvian,27,kakao,18,understands,0
Latvian,28,kakao,23,produces,0.5217
Latvian,28,kakao,23,understands,0
Latvian,29,kakao,24,produces,0.7083
Latvian,29,kakao,24,understands,0
Latvian,30,kakao,26,produces,0.4615
Latvian,30,kakao,26,understands,0
Latvian,31,kakao,19,produces,0.5789
Latvian,31,kakao,19,understands,0
Latvian,32,kakao,25,produces,0.44
Latvian,32,kakao,25,understands,0
Latvian,33,kakao,31,produces,0.5161
Latvian,33,kakao,31,understands,0
Latvian,34,kakao,17,produces,0.7059
Latvian,34,kakao,17,understands,0
Latvian,35,kakao,21,produces,0.7143
Latvian,35,kakao,21,understands,0
Latvian,36,kakao,22,produces,0.5909
Latvian,36,kakao,22,understands,0
Spanish (Argentinian),16,chocolatada,47,produces,0.0213
Spanish (Argentinian),16,chocolatada,47,understands,0
Spanish (Argentinian),17,chocolatada,49,produces,0.0204
Spanish (Argentinian),17,chocolatada,49,understands,0
Spanish (Argentinian),18,chocolatada,62,produces,0.0323
Spanish (Argentinian),18,chocolatada,62,understands,0
Spanish (Argentinian),19,chocolatada,44,produces,0
Spanish (Argentinian),19,chocolatada,44,understands,0
Spanish (Argentinian),20,chocolatada,46,produces,0
Spanish (Argentinian),20,chocolatada,46,understands,0
Spanish (Argentinian),21,chocolatada,41,produces,0.122
Spanish (Argentinian),21,chocolatada,41,understands,0
Spanish (Argentinian),22,chocolatada,57,produces,0.1579
Spanish (Argentinian),22,chocolatada,57,understands,0
Spanish (Argentinian),23,chocolatada,49,produces,0.102
Spanish (Argentinian),23,chocolatada,49,understands,0
Spanish (Argentinian),24,chocolatada,75,produces,0.1467
Spanish (Argentinian),24,chocolatada,75,understands,0
Spanish (Argentinian),25,chocolatada,43,produces,0.2326
Spanish (Argentinian),25,chocolatada,43,understands,0
Spanish (Argentinian),26,chocolatada,45,produces,0.1111
Spanish (Argentinian),26,chocolatada,45,understands,0
Spanish (Argentinian),27,chocolatada,44,produces,0.2727
Spanish (Argentinian),27,chocolatada,44,understands,0
Spanish (Argentinian),28,chocolatada,42,produces,0.1905
Spanish (Argentinian),28,chocolatada,42,understands,0
Spanish (Argentinian),29,chocolatada,65,produces,0.3231
Spanish (Argentinian),29,chocolatada,65,understands,0
Spanish (Argentinian),30,chocolatada,69,produces,0.3188
Spanish (Argentinian),30,chocolatada,69,understands,0
Spanish (Argentinian),31,chocolatada,2,produces,0
Spanish (Argentinian),31,chocolatada,2,understands,0
Spanish (Argentinian),32,chocolatada,1,produces,1
Spanish (Argentinian),32,chocolatada,1,understands,0
Spanish (Argentinian),33,chocolatada,2,produces,0.5
Spanish (Argentinian),33,chocolatada,2,understands,0
Spanish (Peruvian),16,Milo/Nesquick,13,produces,0
Spanish (Peruvian),16,Milo/Nesquick,13,understands,0
Spanish (Peruvian),17,Milo/Nesquick,9,produces,0.1111
Spanish (Peruvian),17,Milo/Nesquick,9,understands,0
Spanish (Peruvian),18,Milo/Nesquick,4,produces,0
Spanish (Peruvian),18,Milo/Nesquick,4,understands,0
Spanish (Peruvian),19,Milo/Nesquick,12,produces,0.0833
Spanish (Peruvian),19,Milo/Nesquick,12,understands,0
Spanish (Peruvian),20,Milo/Nesquick,1,produces,0
Spanish (Peruvian),20,Milo/Nesquick,1,understands,0
Spanish (Peruvian),21,Milo/Nesquick,5,produces,0.2
Spanish (Peruvian),21,Milo/Nesquick,5,understands,0
Spanish (Peruvian),22,Milo/Nesquick,9,produces,0
Spanish (Peruvian),22,Milo/Nesquick,9,understands,0
Spanish (Peruvian),23,Milo/Nesquick,1,produces,0
Spanish (Peruvian),23,Milo/Nesquick,1,understands,0
Spanish (Peruvian),24,Milo/Nesquick,15,produces,0.1333
Spanish (Peruvian),24,Milo/Nesquick,15,understands,0
Spanish (Peruvian),25,Milo/Nesquick,5,produces,0
Spanish (Peruvian),25,Milo/Nesquick,5,understands,0
Spanish (Peruvian),26,Milo/Nesquick,8,produces,0
Spanish (Peruvian),26,Milo/Nesquick,8,understands,0
Spanish (Peruvian),27,Milo/Nesquick,7,produces,0
Spanish (Peruvian),27,Milo/Nesquick,7,understands,0
Spanish (Peruvian),28,Milo/Nesquick,8,produces,0
Spanish (Peruvian),28,Milo/Nesquick,8,understands,0
Spanish (Peruvian),29,Milo/Nesquick,6,produces,0.1667
Spanish (Peruvian),29,Milo/Nesquick,6,understands,0
Spanish (Peruvian),30,Milo/Nesquick,2,produces,0.5
Spanish (Peruvian),30,Milo/Nesquick,2,understands,0
Finnish,18,kaakao,35,produces,0.0857
Finnish,18,kaakao,35,understands,0
Finnish,24,kaakao,35,produces,0.4571
Finnish,24,kaakao,35,understands,0
Hebrew,25,שוקו,82,produces,0.4634
Hebrew,25,שוקו,82,understands,0
Hebrew,26,שוקו,80,produces,0.65
Hebrew,26,שוקו,80,understands,0
Hebrew,27,שוקו,68,produces,0.7059
Hebrew,27,שוקו,68,understands,0
Hebrew,28,שוקו,57,produces,0.7018
Hebrew,28,שוקו,57,understands,0
Hebrew,29,שוקו,47,produces,0.7021
Hebrew,29,שוקו,47,understands,0
Hebrew,30,שוקו,28,produces,0.75
Hebrew,30,שוקו,28,understands,0
Hebrew,31,שוקו,35,produces,0.8286
Hebrew,31,שוקו,35,understands,0
Hebrew,32,שוקו,36,produces,0.9167
Hebrew,32,שוקו,36,understands,0
Hebrew,33,שוקו,21,produces,0.7619
Hebrew,33,שוקו,21,understands,0
Hebrew,34,שוקו,27,produces,0.9259
Hebrew,34,שוקו,27,understands,0
Hebrew,35,שוקו,18,produces,0.7778
Hebrew,35,שוקו,18,understands,0
Hebrew,36,שוקו,5,produces,1
Hebrew,36,שוקו,5,understands,0
