language,age,words,n,measure,prop
Japanese,16,だけど,11,produces,0
Japanese,16,だけど,11,understands,0
Japanese,17,だけど,17,produces,0
Japanese,17,だけど,17,understands,0
Japanese,18,だけど,56,produces,0
Japanese,18,だけど,56,understands,0
Japanese,19,だけど,35,produces,0
Japanese,19,だけど,35,understands,0
Japanese,20,だけど,59,produces,0
Japanese,20,だけど,59,understands,0
Japanese,21,だけど,62,produces,0
Japanese,21,だけど,62,understands,0
Japanese,22,だけど,31,produces,0.0323
Japanese,22,だけど,31,understands,0
Japanese,23,だけど,67,produces,0.0149
Japanese,23,だけど,67,understands,0
Japanese,24,だけど,33,produces,0.0303
Japanese,24,だけど,33,understands,0
Japanese,25,だけど,34,produces,0.0294
Japanese,25,だけど,34,understands,0
Japanese,26,だけど,33,produces,0.1212
Japanese,26,だけど,33,understands,0
Japanese,27,だけど,15,produces,0
Japanese,27,だけど,15,understands,0
Japanese,28,だけど,18,produces,0.1667
Japanese,28,だけど,18,understands,0
Japanese,29,だけど,17,produces,0.1176
Japanese,29,だけど,17,understands,0
Japanese,30,だけど,18,produces,0.1667
Japanese,30,だけど,18,understands,0
Japanese,31,だけど,18,produces,0.1667
Japanese,31,だけど,18,understands,0
Japanese,32,だけど,13,produces,0.2308
Japanese,32,だけど,13,understands,0
Japanese,33,だけど,16,produces,0.125
Japanese,33,だけど,16,understands,0
Japanese,34,だけど,13,produces,0.3077
Japanese,34,だけど,13,understands,0
Japanese,35,だけど,31,produces,0.2581
Japanese,35,だけど,31,understands,0
Japanese,36,だけど,18,produces,0.3333
Japanese,36,だけど,18,understands,0
Latvian,17,taču,27,produces,0
Latvian,17,taču,27,understands,0
Latvian,18,taču,21,produces,0
Latvian,18,taču,21,understands,0
Latvian,19,taču,28,produces,0
Latvian,19,taču,28,understands,0
Latvian,20,taču,34,produces,0.0294
Latvian,20,taču,34,understands,0
Latvian,21,taču,26,produces,0
Latvian,21,taču,26,understands,0
Latvian,22,taču,32,produces,0
Latvian,22,taču,32,understands,0
Latvian,23,taču,25,produces,0
Latvian,23,taču,25,understands,0
Latvian,24,taču,30,produces,0.2
Latvian,24,taču,30,understands,0
Latvian,25,taču,29,produces,0.069
Latvian,25,taču,29,understands,0
Latvian,26,taču,22,produces,0.0455
Latvian,26,taču,22,understands,0
Latvian,27,taču,18,produces,0.1111
Latvian,27,taču,18,understands,0
Latvian,28,taču,23,produces,0.087
Latvian,28,taču,23,understands,0
Latvian,29,taču,24,produces,0.0417
Latvian,29,taču,24,understands,0
Latvian,30,taču,26,produces,0.2308
Latvian,30,taču,26,understands,0
Latvian,31,taču,19,produces,0.2105
Latvian,31,taču,19,understands,0
Latvian,32,taču,25,produces,0.32
Latvian,32,taču,25,understands,0
Latvian,33,taču,31,produces,0.2258
Latvian,33,taču,31,understands,0
Latvian,34,taču,17,produces,0.3529
Latvian,34,taču,17,understands,0
Latvian,35,taču,21,produces,0.4286
Latvian,35,taču,21,understands,0
Latvian,36,taču,22,produces,0.4091
Latvian,36,taču,22,understands,0
English (British),34,however,443,produces,0.1738
English (British),34,however,443,understands,0
English (British),35,however,3693,produces,0.1508
English (British),35,however,3693,understands,0
English (British),36,however,5244,produces,0.1285
English (British),36,however,5244,understands,0
English (British),37,however,906,produces,0.1424
English (British),37,however,906,understands,0
English (British),38,however,264,produces,0.1705
English (British),38,however,264,understands,0
English (British),39,however,99,produces,0.2525
English (British),39,however,99,understands,0
English (British),40,however,48,produces,0.1042
English (British),40,however,48,understands,0
English (British),41,however,24,produces,0.3333
English (British),41,however,24,understands,0
English (British),42,however,23,produces,0.3913
English (British),42,however,23,understands,0
English (British),43,however,12,produces,0
English (British),43,however,12,understands,0
English (British),44,however,9,produces,0.4444
English (British),44,however,9,understands,0
English (British),45,however,12,produces,0.4167
English (British),45,however,12,understands,0
English (British),46,however,5,produces,0
English (British),46,however,5,understands,0
English (British),47,however,8,produces,0.125
English (British),47,however,8,understands,0
