language,sex,age,words,n,measure,prop
Arabic (Saudi),All,8,يعور/ أح,5,produces,0.2
Arabic (Saudi),All,8,يعور/ أح,5,understands,0.4
Arabic (Saudi),All,9,يعور/ أح,9,produces,0
Arabic (Saudi),All,9,يعور/ أح,9,understands,0.2222
Arabic (Saudi),All,10,يعور/ أح,10,produces,0.3
Arabic (Saudi),All,10,يعور/ أح,10,understands,0.7
Arabic (Saudi),All,11,يعور/ أح,9,produces,0.2222
Arabic (Saudi),All,11,يعور/ أح,9,understands,0.4444
Arabic (Saudi),All,12,يعور/ أح,11,produces,0.1818
Arabic (Saudi),All,12,يعور/ أح,11,understands,0.5455
Arabic (Saudi),All,13,يعور/ أح,3,produces,0.3333
Arabic (Saudi),All,13,يعور/ أح,3,understands,0.6667
Arabic (Saudi),All,14,يعور/ أح,5,produces,0.4
Arabic (Saudi),All,14,يعور/ أح,5,understands,0.8
Arabic (Saudi),All,15,يعور/ أح,8,produces,0.375
Arabic (Saudi),All,15,يعور/ أح,8,understands,0.5
Arabic (Saudi),All,16,يعور/ أح,3,produces,0
Arabic (Saudi),All,16,يعور/ أح,3,understands,1
Persian,All,8,درد گرفتن,7,produces,0
Persian,All,8,درد گرفتن,7,understands,0.1429
Persian,All,9,درد گرفتن,21,produces,0.0476
Persian,All,9,درد گرفتن,21,understands,0.1905
Persian,All,10,درد گرفتن,16,produces,0.0625
Persian,All,10,درد گرفتن,16,understands,0.4375
Persian,All,11,درد گرفتن,13,produces,0.1538
Persian,All,11,درد گرفتن,13,understands,0.3077
Persian,All,12,درد گرفتن,11,produces,0
Persian,All,12,درد گرفتن,11,understands,0.4545
Persian,All,13,درد گرفتن,14,produces,0.1429
Persian,All,13,درد گرفتن,14,understands,0.3571
Persian,All,14,درد گرفتن,15,produces,0.1333
Persian,All,14,درد گرفتن,15,understands,0.7333
Persian,All,15,درد گرفتن,12,produces,0.1667
Persian,All,15,درد گرفتن,12,understands,0.75
Persian,All,16,درد گرفتن,4,produces,0.25
Persian,All,16,درد گرفتن,4,understands,1
Arabic (Saudi),Female,8,يعور/ أح,4,produces,0.25
Arabic (Saudi),Female,8,يعور/ أح,4,understands,0.5
Arabic (Saudi),Male,8,يعور/ أح,1,produces,0
Arabic (Saudi),Male,8,يعور/ أح,1,understands,0
Arabic (Saudi),Female,9,يعور/ أح,4,produces,0
Arabic (Saudi),Female,9,يعور/ أح,4,understands,0.25
Arabic (Saudi),Male,9,يعور/ أح,5,produces,0
Arabic (Saudi),Male,9,يعور/ أح,5,understands,0.2
Arabic (Saudi),Female,10,يعور/ أح,4,produces,0.5
Arabic (Saudi),Female,10,يعور/ أح,4,understands,0.75
Arabic (Saudi),Male,10,يعور/ أح,6,produces,0.1667
Arabic (Saudi),Male,10,يعور/ أح,6,understands,0.6667
Arabic (Saudi),Female,11,يعور/ أح,5,produces,0.2
Arabic (Saudi),Female,11,يعور/ أح,5,understands,0.2
Arabic (Saudi),Male,11,يعور/ أح,4,produces,0.25
Arabic (Saudi),Male,11,يعور/ أح,4,understands,0.75
Arabic (Saudi),Female,12,يعور/ أح,6,produces,0.1667
Arabic (Saudi),Female,12,يعور/ أح,6,understands,0.6667
Arabic (Saudi),Male,12,يعور/ أح,5,produces,0.2
Arabic (Saudi),Male,12,يعور/ أح,5,understands,0.4
Arabic (Saudi),Female,13,يعور/ أح,1,produces,0
Arabic (Saudi),Female,13,يعور/ أح,1,understands,1
Arabic (Saudi),Male,13,يعور/ أح,2,produces,0.5
Arabic (Saudi),Male,13,يعور/ أح,2,understands,0.5
Arabic (Saudi),Male,14,يعور/ أح,5,produces,0.4
Arabic (Saudi),Male,14,يعور/ أح,5,understands,0.8
Arabic (Saudi),Female,15,يعور/ أح,5,produces,0.2
Arabic (Saudi),Female,15,يعور/ أح,5,understands,0.4
Arabic (Saudi),Male,15,يعور/ أح,3,produces,0.6667
Arabic (Saudi),Male,15,يعور/ أح,3,understands,0.6667
Arabic (Saudi),Female,16,يعور/ أح,1,produces,0
Arabic (Saudi),Female,16,يعور/ أح,1,understands,1
Arabic (Saudi),Male,16,يعور/ أح,2,produces,0
Arabic (Saudi),Male,16,يعور/ أح,2,understands,1
