language,age,words,n,measure,prop
Italian,18,ferro da stiro,31,produces,0.0645
Italian,18,ferro da stiro,31,understands,0
Italian,19,ferro da stiro,39,produces,0.0769
Italian,19,ferro da stiro,39,understands,0
Italian,20,ferro da stiro,64,produces,0.0156
Italian,20,ferro da stiro,64,understands,0
Italian,21,ferro da stiro,55,produces,0.2
Italian,21,ferro da stiro,55,understands,0
Italian,22,ferro da stiro,55,produces,0.2364
Italian,22,ferro da stiro,55,understands,0
Italian,23,ferro da stiro,53,produces,0.2453
Italian,23,ferro da stiro,53,understands,0
Italian,24,ferro da stiro,71,produces,0.2676
Italian,24,ferro da stiro,71,understands,0
Italian,25,ferro da stiro,39,produces,0.5128
Italian,25,ferro da stiro,39,understands,0
Italian,26,ferro da stiro,41,produces,0.3659
Italian,26,ferro da stiro,41,understands,0
Italian,27,ferro da stiro,43,produces,0.3953
Italian,27,ferro da stiro,43,understands,0
Italian,28,ferro da stiro,44,produces,0.4773
Italian,28,ferro da stiro,44,understands,0
Italian,29,ferro da stiro,37,produces,0.4865
Italian,29,ferro da stiro,37,understands,0
Italian,30,ferro da stiro,67,produces,0.597
Italian,30,ferro da stiro,67,understands,0
Italian,31,ferro da stiro,19,produces,0.6842
Italian,31,ferro da stiro,19,understands,0
Italian,32,ferro da stiro,23,produces,0.6522
Italian,32,ferro da stiro,23,understands,0
Italian,33,ferro da stiro,16,produces,0.75
Italian,33,ferro da stiro,16,understands,0
Italian,34,ferro da stiro,19,produces,0.7895
Italian,34,ferro da stiro,19,understands,0
Italian,35,ferro da stiro,15,produces,0.8667
Italian,35,ferro da stiro,15,understands,0
Italian,36,ferro da stiro,21,produces,0.5714
Italian,36,ferro da stiro,21,understands,0
Japanese,16,アイロン,11,produces,0
Japanese,16,アイロン,11,understands,0
Japanese,17,アイロン,17,produces,0
Japanese,17,アイロン,17,understands,0
Japanese,18,アイロン,56,produces,0
Japanese,18,アイロン,56,understands,0
Japanese,19,アイロン,35,produces,0
Japanese,19,アイロン,35,understands,0
Japanese,20,アイロン,59,produces,0.0169
Japanese,20,アイロン,59,understands,0
Japanese,21,アイロン,62,produces,0
Japanese,21,アイロン,62,understands,0
Japanese,22,アイロン,31,produces,0.0323
Japanese,22,アイロン,31,understands,0
Japanese,23,アイロン,67,produces,0.0299
Japanese,23,アイロン,67,understands,0
Japanese,24,アイロン,33,produces,0.0606
Japanese,24,アイロン,33,understands,0
Japanese,25,アイロン,34,produces,0.0588
Japanese,25,アイロン,34,understands,0
Japanese,26,アイロン,33,produces,0.0909
Japanese,26,アイロン,33,understands,0
Japanese,27,アイロン,15,produces,0.0667
Japanese,27,アイロン,15,understands,0
Japanese,28,アイロン,18,produces,0.1111
Japanese,28,アイロン,18,understands,0
Japanese,29,アイロン,17,produces,0.1176
Japanese,29,アイロン,17,understands,0
Japanese,30,アイロン,18,produces,0.0556
Japanese,30,アイロン,18,understands,0
Japanese,31,アイロン,18,produces,0.2778
Japanese,31,アイロン,18,understands,0
Japanese,32,アイロン,13,produces,0.3846
Japanese,32,アイロン,13,understands,0
Japanese,33,アイロン,16,produces,0.25
Japanese,33,アイロン,16,understands,0
Japanese,34,アイロン,13,produces,0.2308
Japanese,34,アイロン,13,understands,0
Japanese,35,アイロン,31,produces,0.2903
Japanese,35,アイロン,31,understands,0
Japanese,36,アイロン,18,produces,0.2778
Japanese,36,アイロン,18,understands,0
Latvian,17,gludeklis,27,produces,0.0741
Latvian,17,gludeklis,27,understands,0
Latvian,18,gludeklis,21,produces,0.0476
Latvian,18,gludeklis,21,understands,0
Latvian,19,gludeklis,28,produces,0.0357
Latvian,19,gludeklis,28,understands,0
Latvian,20,gludeklis,34,produces,0.0294
Latvian,20,gludeklis,34,understands,0
Latvian,21,gludeklis,26,produces,0.1923
Latvian,21,gludeklis,26,understands,0
Latvian,22,gludeklis,32,produces,0.125
Latvian,22,gludeklis,32,understands,0
Latvian,23,gludeklis,25,produces,0.16
Latvian,23,gludeklis,25,understands,0
Latvian,24,gludeklis,30,produces,0.4333
Latvian,24,gludeklis,30,understands,0
Latvian,25,gludeklis,29,produces,0.2414
Latvian,25,gludeklis,29,understands,0
Latvian,26,gludeklis,22,produces,0.4091
Latvian,26,gludeklis,22,understands,0
Latvian,27,gludeklis,18,produces,0.3333
Latvian,27,gludeklis,18,understands,0
Latvian,28,gludeklis,23,produces,0.3043
Latvian,28,gludeklis,23,understands,0
Latvian,29,gludeklis,24,produces,0.4583
Latvian,29,gludeklis,24,understands,0
Latvian,30,gludeklis,26,produces,0.4231
Latvian,30,gludeklis,26,understands,0
Latvian,31,gludeklis,19,produces,0.4737
Latvian,31,gludeklis,19,understands,0
Latvian,32,gludeklis,25,produces,0.44
Latvian,32,gludeklis,25,understands,0
Latvian,33,gludeklis,31,produces,0.5806
Latvian,33,gludeklis,31,understands,0
Latvian,34,gludeklis,17,produces,0.7059
Latvian,34,gludeklis,17,understands,0
Latvian,35,gludeklis,21,produces,0.7143
Latvian,35,gludeklis,21,understands,0
Latvian,36,gludeklis,22,produces,0.5909
Latvian,36,gludeklis,22,understands,0
Russian,18,утюг,42,produces,0.0714
Russian,18,утюг,42,understands,0
Russian,19,утюг,41,produces,0.1707
Russian,19,утюг,41,understands,0
Russian,20,утюг,45,produces,0.3111
Russian,20,утюг,45,understands,0
Russian,21,утюг,43,produces,0.3256
Russian,21,утюг,43,understands,0
Russian,22,утюг,51,produces,0.3922
Russian,22,утюг,51,understands,0
Russian,23,утюг,56,produces,0.4821
Russian,23,утюг,56,understands,0
Russian,24,утюг,61,produces,0.5082
Russian,24,утюг,61,understands,0
Russian,25,утюг,66,produces,0.4394
Russian,25,утюг,66,understands,0
Russian,26,утюг,52,produces,0.6154
Russian,26,утюг,52,understands,0
Russian,27,утюг,60,produces,0.6167
Russian,27,утюг,60,understands,0
Russian,28,утюг,60,produces,0.6333
Russian,28,утюг,60,understands,0
Russian,29,утюг,58,produces,0.7241
Russian,29,утюг,58,understands,0
Russian,30,утюг,77,produces,0.6753
Russian,30,утюг,77,understands,0
Russian,31,утюг,61,produces,0.7869
Russian,31,утюг,61,understands,0
Russian,32,утюг,55,produces,0.7273
Russian,32,утюг,55,understands,0
Russian,33,утюг,55,produces,0.8
Russian,33,утюг,55,understands,0
Russian,34,утюг,58,produces,0.9138
Russian,34,утюг,58,understands,0
Russian,35,утюг,47,produces,0.8298
Russian,35,утюг,47,understands,0
Russian,36,утюг,49,produces,0.8776
Russian,36,утюг,49,understands,0
Spanish (Argentinian),16,plancha,47,produces,0
Spanish (Argentinian),16,plancha,47,understands,0
Spanish (Argentinian),17,plancha,49,produces,0.0612
Spanish (Argentinian),17,plancha,49,understands,0
Spanish (Argentinian),18,plancha,62,produces,0
Spanish (Argentinian),18,plancha,62,understands,0
Spanish (Argentinian),19,plancha,44,produces,0.0682
Spanish (Argentinian),19,plancha,44,understands,0
Spanish (Argentinian),20,plancha,46,produces,0.087
Spanish (Argentinian),20,plancha,46,understands,0
Spanish (Argentinian),21,plancha,41,produces,0.0488
Spanish (Argentinian),21,plancha,41,understands,0
Spanish (Argentinian),22,plancha,57,produces,0.0526
Spanish (Argentinian),22,plancha,57,understands,0
Spanish (Argentinian),23,plancha,49,produces,0.0612
Spanish (Argentinian),23,plancha,49,understands,0
Spanish (Argentinian),24,plancha,75,produces,0.08
Spanish (Argentinian),24,plancha,75,understands,0
Spanish (Argentinian),25,plancha,43,produces,0.1163
Spanish (Argentinian),25,plancha,43,understands,0
Spanish (Argentinian),26,plancha,45,produces,0.1333
Spanish (Argentinian),26,plancha,45,understands,0
Spanish (Argentinian),27,plancha,44,produces,0.1591
