language,sex,age,words,n,measure,prop
Irish,All,17,magadh,2,produces,0
Irish,All,17,magadh,2,understands,0
Irish,All,18,magadh,1,produces,0
Irish,All,18,magadh,1,understands,0
Irish,All,19,magadh,2,produces,0
Irish,All,19,magadh,2,understands,0
Irish,All,20,magadh,1,produces,0
Irish,All,20,magadh,1,understands,0
Irish,All,21,magadh,3,produces,0
Irish,All,21,magadh,3,understands,0
Irish,All,22,magadh,4,produces,0
Irish,All,22,magadh,4,understands,0
Irish,All,23,magadh,4,produces,0.25
Irish,All,23,magadh,4,understands,0
Irish,All,24,magadh,4,produces,0.25
Irish,All,24,magadh,4,understands,0
Irish,All,25,magadh,6,produces,0.1667
Irish,All,25,magadh,6,understands,0
Irish,All,26,magadh,10,produces,0
Irish,All,26,magadh,10,understands,0
Irish,All,27,magadh,5,produces,0.2
Irish,All,27,magadh,5,understands,0
Irish,All,28,magadh,7,produces,0.2857
Irish,All,28,magadh,7,understands,0
Irish,All,29,magadh,4,produces,0.25
Irish,All,29,magadh,4,understands,0
Irish,All,30,magadh,9,produces,0.7778
Irish,All,30,magadh,9,understands,0
Irish,All,31,magadh,8,produces,0.125
Irish,All,31,magadh,8,understands,0
Irish,All,32,magadh,4,produces,0.75
Irish,All,32,magadh,4,understands,0
Irish,All,33,magadh,5,produces,0.6
Irish,All,33,magadh,5,understands,0
Irish,All,34,magadh,4,produces,0.5
Irish,All,34,magadh,4,understands,0
Irish,All,35,magadh,11,produces,0.7273
Irish,All,35,magadh,11,understands,0
Irish,All,36,magadh,5,produces,0.2
Irish,All,36,magadh,5,understands,0
Swedish,All,16,skoja,159,produces,0
Swedish,All,16,skoja,159,understands,0
Swedish,All,19,skoja,152,produces,0.0066
Swedish,All,19,skoja,152,understands,0
Swedish,All,22,skoja,307,produces,0.0782
Swedish,All,22,skoja,307,understands,0
Swedish,All,25,skoja,143,produces,0.2308
Swedish,All,25,skoja,143,understands,0
Swedish,All,28,skoja,139,produces,0.4029
Swedish,All,28,skoja,139,understands,0
Turkish,All,16,Şaka,109,produces,0.0459
Turkish,All,16,Şaka,109,understands,0
Turkish,All,17,Şaka,107,produces,0.0561
Turkish,All,17,Şaka,107,understands,0
Turkish,All,18,Şaka,128,produces,0.0547
Turkish,All,18,Şaka,128,understands,0
Turkish,All,19,Şaka,121,produces,0.0909
Turkish,All,19,Şaka,121,understands,0
Turkish,All,20,Şaka,119,produces,0.1092
Turkish,All,20,Şaka,119,understands,0
Turkish,All,21,Şaka,124,produces,0.1452
Turkish,All,21,Şaka,124,understands,0
Turkish,All,22,Şaka,126,produces,0.1825
Turkish,All,22,Şaka,126,understands,0
Turkish,All,23,Şaka,131,produces,0.1985
Turkish,All,23,Şaka,131,understands,0
Turkish,All,24,Şaka,106,produces,0.3113
Turkish,All,24,Şaka,106,understands,0
Turkish,All,25,Şaka,123,produces,0.3821
Turkish,All,25,Şaka,123,understands,0
Turkish,All,26,Şaka,123,produces,0.4309
Turkish,All,26,Şaka,123,understands,0
Turkish,All,27,Şaka,108,produces,0.537
Turkish,All,27,Şaka,108,understands,0
Turkish,All,28,Şaka,112,produces,0.5625
Turkish,All,28,Şaka,112,understands,0
Turkish,All,29,Şaka,119,produces,0.6387
Turkish,All,29,Şaka,119,understands,0
Turkish,All,30,Şaka,104,produces,0.6731
Turkish,All,30,Şaka,104,understands,0
Turkish,All,31,Şaka,101,produces,0.6238
Turkish,All,31,Şaka,101,understands,0
Turkish,All,32,Şaka,132,produces,0.7348
Turkish,All,32,Şaka,132,understands,0
Turkish,All,33,Şaka,114,produces,0.7719
Turkish,All,33,Şaka,114,understands,0
Turkish,All,34,Şaka,107,produces,0.8037
Turkish,All,34,Şaka,107,understands,0
Turkish,All,35,Şaka,131,produces,0.8321
Turkish,All,35,Şaka,131,understands,0
Turkish,All,36,Şaka,77,produces,0.8571
Turkish,All,36,Şaka,77,understands,0
Irish,Female,17,magadh,1,produces,0
Irish,Female,17,magadh,1,understands,0
Irish,Male,17,magadh,1,produces,0
Irish,Male,17,magadh,1,understands,0
Irish,Female,18,magadh,1,produces,0
Irish,Female,18,magadh,1,understands,0
Irish,Female,19,magadh,1,produces,0
Irish,Female,19,magadh,1,understands,0
Irish,Male,19,magadh,1,produces,0
Irish,Male,19,magadh,1,understands,0
Irish,Female,20,magadh,1,produces,0
Irish,Female,20,magadh,1,understands,0
Irish,Female,21,magadh,2,produces,0
