language,age,words,n,measure,prop
Japanese,16,王様,11,produces,0
Japanese,16,王様,11,understands,0
Japanese,17,王様,17,produces,0
Japanese,17,王様,17,understands,0
Japanese,18,王様,56,produces,0
Japanese,18,王様,56,understands,0
Japanese,19,王様,35,produces,0
Japanese,19,王様,35,understands,0
Japanese,20,王様,59,produces,0
Japanese,20,王様,59,understands,0
Japanese,21,王様,62,produces,0
Japanese,21,王様,62,understands,0
Japanese,22,王様,31,produces,0
Japanese,22,王様,31,understands,0
Japanese,23,王様,67,produces,0.0149
Japanese,23,王様,67,understands,0
Japanese,24,王様,33,produces,0.0606
Japanese,24,王様,33,understands,0
Japanese,25,王様,34,produces,0.0882
Japanese,25,王様,34,understands,0
Japanese,26,王様,33,produces,0.0909
Japanese,26,王様,33,understands,0
Japanese,27,王様,15,produces,0
Japanese,27,王様,15,understands,0
Japanese,28,王様,18,produces,0
Japanese,28,王様,18,understands,0
Japanese,29,王様,17,produces,0.3529
Japanese,29,王様,17,understands,0
Japanese,30,王様,18,produces,0
Japanese,30,王様,18,understands,0
Japanese,31,王様,18,produces,0.1667
Japanese,31,王様,18,understands,0
Japanese,32,王様,13,produces,0.2308
Japanese,32,王様,13,understands,0
Japanese,33,王様,16,produces,0.1875
Japanese,33,王様,16,understands,0
Japanese,34,王様,13,produces,0.2308
Japanese,34,王様,13,understands,0
Japanese,35,王様,31,produces,0.3871
Japanese,35,王様,31,understands,0
Japanese,36,王様,18,produces,0.3333
Japanese,36,王様,18,understands,0
Slovak,17,kráľ,70,produces,0.0286
Slovak,17,kráľ,70,understands,0
Slovak,18,kráľ,65,produces,0.0154
Slovak,18,kráľ,65,understands,0
Slovak,19,kráľ,56,produces,0.0536
Slovak,19,kráľ,56,understands,0
Slovak,20,kráľ,62,produces,0.0968
Slovak,20,kráľ,62,understands,0
Slovak,21,kráľ,81,produces,0.1235
Slovak,21,kráľ,81,understands,0
Slovak,22,kráľ,53,produces,0.1132
Slovak,22,kráľ,53,understands,0
Slovak,23,kráľ,59,produces,0.2373
Slovak,23,kráľ,59,understands,0
Slovak,24,kráľ,59,produces,0.2881
Slovak,24,kráľ,59,understands,0
Slovak,25,kráľ,69,produces,0.2464
Slovak,25,kráľ,69,understands,0
Slovak,26,kráľ,78,produces,0.3974
Slovak,26,kráľ,78,understands,0
Slovak,27,kráľ,62,produces,0.3065
Slovak,27,kráľ,62,understands,0
Slovak,28,kráľ,86,produces,0.3256
Slovak,28,kráľ,86,understands,0
Slovak,29,kráľ,75,produces,0.48
Slovak,29,kráľ,75,understands,0
Slovak,30,kráľ,49,produces,0.4694
Slovak,30,kráľ,49,understands,0
Slovak,31,kráľ,29,produces,0.2759
Slovak,31,kráľ,29,understands,0
Slovak,32,kráľ,25,produces,0.56
Slovak,32,kráľ,25,understands,0
Slovak,33,kráľ,22,produces,0.7273
Slovak,33,kráľ,22,understands,0
Slovak,34,kráľ,27,produces,0.5185
Slovak,34,kráľ,27,understands,0
Slovak,35,kráľ,27,produces,0.6296
Slovak,35,kráľ,27,understands,0
Slovak,36,kráľ,8,produces,0.625
Slovak,36,kráľ,8,understands,0
Turkish,16,Kral,109,produces,0
Turkish,16,Kral,109,understands,0
Turkish,17,Kral,107,produces,0.0187
Turkish,17,Kral,107,understands,0
Turkish,18,Kral,128,produces,0.0156
Turkish,18,Kral,128,understands,0
Turkish,19,Kral,121,produces,0.0413
Turkish,19,Kral,121,understands,0
Turkish,20,Kral,119,produces,0.0336
Turkish,20,Kral,119,understands,0
Turkish,21,Kral,124,produces,0.0887
Turkish,21,Kral,124,understands,0
Turkish,22,Kral,126,produces,0.0556
Turkish,22,Kral,126,understands,0
Turkish,23,Kral,131,produces,0.0763
Turkish,23,Kral,131,understands,0
Turkish,24,Kral,106,produces,0.1226
Turkish,24,Kral,106,understands,0
Turkish,25,Kral,123,produces,0.187
Turkish,25,Kral,123,understands,0
Turkish,26,Kral,123,produces,0.1789
Turkish,26,Kral,123,understands,0
Turkish,27,Kral,108,produces,0.2593
Turkish,27,Kral,108,understands,0
Turkish,28,Kral,112,produces,0.2589
Turkish,28,Kral,112,understands,0
Turkish,29,Kral,119,produces,0.3529
Turkish,29,Kral,119,understands,0
Turkish,30,Kral,104,produces,0.4327
Turkish,30,Kral,104,understands,0
Turkish,31,Kral,101,produces,0.4158
Turkish,31,Kral,101,understands,0
Turkish,32,Kral,132,produces,0.4545
Turkish,32,Kral,132,understands,0
Turkish,33,Kral,114,produces,0.5175
Turkish,33,Kral,114,understands,0
Turkish,34,Kral,107,produces,0.4953
Turkish,34,Kral,107,understands,0
Turkish,35,Kral,131,produces,0.5573
Turkish,35,Kral,131,understands,0
Turkish,36,Kral,77,produces,0.6104
Turkish,36,Kral,77,understands,0
