language,age,words,n,measure,prop
Italian,18,kiwi,31,produces,0.0323
Italian,18,kiwi,31,understands,0
Italian,19,kiwi,39,produces,0
Italian,19,kiwi,39,understands,0
Italian,20,kiwi,64,produces,0.0469
Italian,20,kiwi,64,understands,0
Italian,21,kiwi,55,produces,0.0364
Italian,21,kiwi,55,understands,0
Italian,22,kiwi,55,produces,0.0909
Italian,22,kiwi,55,understands,0
Italian,23,kiwi,53,produces,0.0189
Italian,23,kiwi,53,understands,0
Italian,24,kiwi,71,produces,0.0845
Italian,24,kiwi,71,understands,0
Italian,25,kiwi,39,produces,0.1282
Italian,25,kiwi,39,understands,0
Italian,26,kiwi,41,produces,0.3171
Italian,26,kiwi,41,understands,0
Italian,27,kiwi,43,produces,0.1628
Italian,27,kiwi,43,understands,0
Italian,28,kiwi,44,produces,0.1818
Italian,28,kiwi,44,understands,0
Italian,29,kiwi,37,produces,0.3514
Italian,29,kiwi,37,understands,0
Italian,30,kiwi,67,produces,0.4776
Italian,30,kiwi,67,understands,0
Italian,31,kiwi,19,produces,0.4211
Italian,31,kiwi,19,understands,0
Italian,32,kiwi,23,produces,0.5652
Italian,32,kiwi,23,understands,0
Italian,33,kiwi,16,produces,0.5625
Italian,33,kiwi,16,understands,0
Italian,34,kiwi,19,produces,0.5789
Italian,34,kiwi,19,understands,0
Italian,35,kiwi,15,produces,0.4
Italian,35,kiwi,15,understands,0
Italian,36,kiwi,21,produces,0.4762
Italian,36,kiwi,21,understands,0
Mandarin (Taiwanese),16,奇異果,80,produces,0
Mandarin (Taiwanese),16,奇異果,80,understands,0
Mandarin (Taiwanese),17,奇異果,87,produces,0.0115
Mandarin (Taiwanese),17,奇異果,87,understands,0
Mandarin (Taiwanese),18,奇異果,84,produces,0.0119
Mandarin (Taiwanese),18,奇異果,84,understands,0
Mandarin (Taiwanese),19,奇異果,84,produces,0.0357
Mandarin (Taiwanese),19,奇異果,84,understands,0
Mandarin (Taiwanese),20,奇異果,84,produces,0.0476
Mandarin (Taiwanese),20,奇異果,84,understands,0
Mandarin (Taiwanese),21,奇異果,88,produces,0.0682
Mandarin (Taiwanese),21,奇異果,88,understands,0
Mandarin (Taiwanese),22,奇異果,96,produces,0.0833
Mandarin (Taiwanese),22,奇異果,96,understands,0
Mandarin (Taiwanese),23,奇異果,105,produces,0.1905
Mandarin (Taiwanese),23,奇異果,105,understands,0
Mandarin (Taiwanese),24,奇異果,124,produces,0.1935
Mandarin (Taiwanese),24,奇異果,124,understands,0
Mandarin (Taiwanese),25,奇異果,110,produces,0.2545
Mandarin (Taiwanese),25,奇異果,110,understands,0
Mandarin (Taiwanese),26,奇異果,87,produces,0.2874
Mandarin (Taiwanese),26,奇異果,87,understands,0
