language,sex,age,words,n,measure,prop
American Sign Language,All,8,LATER,1,produces,0
American Sign Language,All,8,LATER,1,understands,0
American Sign Language,All,9,LATER,4,produces,0
American Sign Language,All,9,LATER,4,understands,0
American Sign Language,All,10,LATER,5,produces,0
American Sign Language,All,10,LATER,5,understands,0
American Sign Language,All,11,LATER,3,produces,0
American Sign Language,All,11,LATER,3,understands,0
American Sign Language,All,12,LATER,4,produces,0
American Sign Language,All,12,LATER,4,understands,0
American Sign Language,All,13,LATER,4,produces,0
American Sign Language,All,13,LATER,4,understands,0
American Sign Language,All,14,LATER,1,produces,0
American Sign Language,All,14,LATER,1,understands,0
American Sign Language,All,15,LATER,3,produces,0
American Sign Language,All,15,LATER,3,understands,0
American Sign Language,All,16,LATER,2,produces,0
American Sign Language,All,16,LATER,2,understands,0.5
American Sign Language,All,17,LATER,5,produces,0
American Sign Language,All,17,LATER,5,understands,0.2
American Sign Language,All,18,LATER,11,produces,0.1818
American Sign Language,All,18,LATER,11,understands,0.5455
American Sign Language,All,19,LATER,6,produces,0.1667
American Sign Language,All,19,LATER,6,understands,0.5
American Sign Language,All,20,LATER,3,produces,0.3333
American Sign Language,All,20,LATER,3,understands,0.6667
American Sign Language,All,21,LATER,4,produces,0
American Sign Language,All,21,LATER,4,understands,0.75
American Sign Language,All,22,LATER,10,produces,0.1
American Sign Language,All,22,LATER,10,understands,0.3
American Sign Language,All,23,LATER,5,produces,0.2
American Sign Language,All,23,LATER,5,understands,0.2
American Sign Language,All,24,LATER,9,produces,0
American Sign Language,All,24,LATER,9,understands,0
American Sign Language,All,25,LATER,13,produces,0.1538
American Sign Language,All,25,LATER,13,understands,0.6923
American Sign Language,All,26,LATER,4,produces,0
American Sign Language,All,26,LATER,4,understands,0.75
American Sign Language,All,27,LATER,7,produces,0.2857
American Sign Language,All,27,LATER,7,understands,0.1429
American Sign Language,All,28,LATER,7,produces,0.5714
American Sign Language,All,28,LATER,7,understands,0.5714
American Sign Language,All,29,LATER,6,produces,0.3333
American Sign Language,All,29,LATER,6,understands,0.8333
American Sign Language,All,30,LATER,7,produces,0.4286
American Sign Language,All,30,LATER,7,understands,0.4286
American Sign Language,All,31,LATER,9,produces,0.4444
American Sign Language,All,31,LATER,9,understands,0.4444
American Sign Language,All,32,LATER,15,produces,0.5333
American Sign Language,All,32,LATER,15,understands,0.4
American Sign Language,All,33,LATER,6,produces,0.5
American Sign Language,All,33,LATER,6,understands,0.6667
American Sign Language,All,34,LATER,7,produces,0.7143
American Sign Language,All,34,LATER,7,understands,0.7143
American Sign Language,All,35,LATER,7,produces,0.5714
American Sign Language,All,35,LATER,7,understands,0.5714
American Sign Language,All,36,LATER,3,produces,0.3333
American Sign Language,All,36,LATER,3,understands,0.3333
Arabic (Saudi),All,8,فيما  بعد (بعدين),19,produces,0
Arabic (Saudi),All,8,فيما  بعد (بعدين),19,understands,0
Arabic (Saudi),All,9,فيما  بعد (بعدين),18,produces,0
Arabic (Saudi),All,9,فيما  بعد (بعدين),18,understands,0
Arabic (Saudi),All,10,فيما  بعد (بعدين),25,produces,0
Arabic (Saudi),All,10,فيما  بعد (بعدين),25,understands,0
Arabic (Saudi),All,11,فيما  بعد (بعدين),21,produces,0
Arabic (Saudi),All,11,فيما  بعد (بعدين),21,understands,0
Arabic (Saudi),All,12,فيما  بعد (بعدين),19,produces,0
Arabic (Saudi),All,12,فيما  بعد (بعدين),19,understands,0
Arabic (Saudi),All,13,فيما  بعد (بعدين),36,produces,0.0278
Arabic (Saudi),All,13,فيما  بعد (بعدين),36,understands,0
Arabic (Saudi),All,14,فيما  بعد (بعدين),20,produces,0
Arabic (Saudi),All,14,فيما  بعد (بعدين),20,understands,0
Arabic (Saudi),All,15,فيما  بعد (بعدين),19,produces,0.0526
Arabic (Saudi),All,15,فيما  بعد (بعدين),19,understands,0
Arabic (Saudi),All,16,فيما  بعد (بعدين),18,produces,0
Arabic (Saudi),All,16,فيما  بعد (بعدين),18,understands,0
British Sign Language,All,8,later,4,produces,0
British Sign Language,All,8,later,4,understands,0
British Sign Language,All,9,later,4,produces,0
British Sign Language,All,9,later,4,understands,0
British Sign Language,All,10,later,4,produces,0
British Sign Language,All,10,later,4,understands,0
British Sign Language,All,11,later,6,produces,0
British Sign Language,All,11,later,6,understands,0
British Sign Language,All,12,later,6,produces,0
