language,sex,age,words,n,measure,prop
Dutch,All,16,laatme,4,produces,0
Dutch,All,16,laatme,4,understands,0
Dutch,All,17,laatme,49,produces,0
Dutch,All,17,laatme,49,understands,0
Dutch,All,18,laatme,68,produces,0
Dutch,All,18,laatme,68,understands,0
Dutch,All,19,laatme,7,produces,0
Dutch,All,19,laatme,7,understands,0
Dutch,All,20,laatme,7,produces,0
Dutch,All,20,laatme,7,understands,0
Dutch,All,21,laatme,7,produces,0
Dutch,All,21,laatme,7,understands,0
Dutch,All,22,laatme,7,produces,0
Dutch,All,22,laatme,7,understands,0
Dutch,All,23,laatme,51,produces,0.0196
Dutch,All,23,laatme,51,understands,0
Dutch,All,24,laatme,31,produces,0.0323
Dutch,All,24,laatme,31,understands,0
Dutch,All,25,laatme,6,produces,0
Dutch,All,25,laatme,6,understands,0
Dutch,All,26,laatme,6,produces,0
Dutch,All,26,laatme,6,understands,0
Dutch,All,27,laatme,5,produces,0.2
Dutch,All,27,laatme,5,understands,0
Dutch,All,28,laatme,6,produces,0.3333
Dutch,All,28,laatme,6,understands,0
Dutch,All,29,laatme,23,produces,0.4348
Dutch,All,29,laatme,23,understands,0
Dutch,All,30,laatme,24,produces,0.2917
Dutch,All,30,laatme,24,understands,0
Dutch,All,31,laatme,2,produces,1
Dutch,All,31,laatme,2,understands,0
Hungarian,All,16,hagy,21,produces,0
Hungarian,All,16,hagy,21,understands,0
Hungarian,All,17,hagy,18,produces,0.0556
Hungarian,All,17,hagy,18,understands,0
Hungarian,All,18,hagy,18,produces,0
Hungarian,All,18,hagy,18,understands,0
Hungarian,All,19,hagy,26,produces,0.0769
Hungarian,All,19,hagy,26,understands,0
Hungarian,All,20,hagy,18,produces,0
Hungarian,All,20,hagy,18,understands,0
Hungarian,All,21,hagy,36,produces,0.1667
Hungarian,All,21,hagy,36,understands,0
Hungarian,All,22,hagy,27,produces,0.1111
Hungarian,All,22,hagy,27,understands,0
Hungarian,All,23,hagy,18,produces,0.1111
Hungarian,All,23,hagy,18,understands,0
Hungarian,All,24,hagy,38,produces,0.1053
Hungarian,All,24,hagy,38,understands,0
Hungarian,All,25,hagy,43,produces,0.3953
Hungarian,All,25,hagy,43,understands,0
Hungarian,All,26,hagy,23,produces,0.2174
Hungarian,All,26,hagy,23,understands,0
Hungarian,All,27,hagy,26,produces,0.3077
Hungarian,All,27,hagy,26,understands,0
Hungarian,All,28,hagy,30,produces,0.2667
Hungarian,All,28,hagy,30,understands,0
Hungarian,All,29,hagy,12,produces,0.5
Hungarian,All,29,hagy,12,understands,0
Hungarian,All,30,hagy,18,produces,0.4444
Hungarian,All,30,hagy,18,understands,0
Mandarin (Beijing),All,16,让,70,produces,0.0571
Mandarin (Beijing),All,16,让,70,understands,0
Mandarin (Beijing),All,17,让,72,produces,0.1667
Mandarin (Beijing),All,17,让,72,understands,0
Mandarin (Beijing),All,18,让,71,produces,0.1831
Mandarin (Beijing),All,18,让,71,understands,0
Mandarin (Beijing),All,19,让,70,produces,0.3143
Mandarin (Beijing),All,19,让,70,understands,0
Mandarin (Beijing),All,20,让,71,produces,0.4507
Mandarin (Beijing),All,20,让,71,understands,0
Mandarin (Beijing),All,21,让,70,produces,0.5714
Mandarin (Beijing),All,21,让,70,understands,0
Mandarin (Beijing),All,22,让,71,produces,0.6479
Mandarin (Beijing),All,22,让,71,understands,0
Mandarin (Beijing),All,23,让,70,produces,0.7143
Mandarin (Beijing),All,23,让,70,understands,0
Mandarin (Beijing),All,24,让,70,produces,0.7
Mandarin (Beijing),All,24,让,70,understands,0
Mandarin (Beijing),All,25,让,70,produces,0.8714
Mandarin (Beijing),All,25,让,70,understands,0
Mandarin (Beijing),All,26,让,71,produces,0.8592
Mandarin (Beijing),All,26,让,71,understands,0
Mandarin (Beijing),All,27,让,70,produces,0.8571
Mandarin (Beijing),All,27,让,70,understands,0
