language,age,words,n,measure,prop
Kigiriama,16,Henza,1,produces,0
Kigiriama,16,Henza,1,understands,0
Kigiriama,17,Henza,6,produces,0
Kigiriama,17,Henza,6,understands,0
Kigiriama,18,Henza,13,produces,0
Kigiriama,18,Henza,13,understands,0
Kigiriama,19,Henza,8,produces,0
Kigiriama,19,Henza,8,understands,0
Kigiriama,20,Henza,14,produces,0
Kigiriama,20,Henza,14,understands,0
Kigiriama,21,Henza,6,produces,0.1667
Kigiriama,21,Henza,6,understands,0
Kigiriama,22,Henza,9,produces,0.3333
Kigiriama,22,Henza,9,understands,0
Kigiriama,23,Henza,4,produces,0
Kigiriama,23,Henza,4,understands,0
Kigiriama,24,Henza,7,produces,0.1429
Kigiriama,24,Henza,7,understands,0
Kigiriama,25,Henza,3,produces,0.3333
Kigiriama,25,Henza,3,understands,0
Kigiriama,26,Henza,6,produces,0.3333
Kigiriama,26,Henza,6,understands,0
Kigiriama,27,Henza,4,produces,0.5
Kigiriama,27,Henza,4,understands,0
Kigiriama,28,Henza,1,produces,0
Kigiriama,28,Henza,1,understands,0
Kigiriama,29,Henza,5,produces,0.4
Kigiriama,29,Henza,5,understands,0
Kigiriama,30,Henza,1,produces,1
Kigiriama,30,Henza,1,understands,0
Kiswahili,23,Penda,2,produces,0
Kiswahili,23,Penda,2,understands,0
Kiswahili,24,Penda,12,produces,0.3333
Kiswahili,24,Penda,12,understands,0
Kiswahili,25,Penda,10,produces,0
Kiswahili,25,Penda,10,understands,0
Kiswahili,26,Penda,13,produces,0.3846
Kiswahili,26,Penda,13,understands,0
Kiswahili,27,Penda,8,produces,0.125
Kiswahili,27,Penda,8,understands,0
Kiswahili,28,Penda,6,produces,0.3333
Kiswahili,28,Penda,6,understands,0
Kiswahili,29,Penda,6,produces,0.3333
Kiswahili,29,Penda,6,understands,0
Kiswahili,30,Penda,5,produces,0.6
Kiswahili,30,Penda,5,understands,0
Korean,8,사랑해,57,produces,0
Korean,8,사랑해,57,understands,0.2281
Korean,9,사랑해,73,produces,0
Korean,9,사랑해,73,understands,0.2877
Korean,10,사랑해,77,produces,0.026
Korean,10,사랑해,77,understands,0.4286
Korean,11,사랑해,80,produces,0.025
Korean,11,사랑해,80,understands,0.4375
Korean,12,사랑해,74,produces,0.0405
Korean,12,사랑해,74,understands,0.5946
Korean,13,사랑해,127,produces,0.0787
Korean,13,사랑해,127,understands,0.7008
Korean,14,사랑해,87,produces,0.1149
Korean,14,사랑해,87,understands,0.6897
Korean,15,사랑해,85,produces,0.1529
Korean,15,사랑해,85,understands,0.8471
Korean,16,사랑해,86,produces,0.1395
Korean,16,사랑해,86,understands,0.814
Korean,17,사랑해,63,produces,0.3175
Korean,17,사랑해,63,understands,0.873
Korean,18,사랑해,88,produces,0.3523
Korean,18,사랑해,88,understands,0
Korean,19,사랑해,77,produces,0.2857
Korean,19,사랑해,77,understands,0
Korean,20,사랑해,88,produces,0.3636
Korean,20,사랑해,88,understands,0
Korean,21,사랑해,79,produces,0.481
Korean,21,사랑해,79,understands,0
Korean,22,사랑해,87,produces,0.4713
Korean,22,사랑해,87,understands,0
Korean,23,사랑해,87,produces,0.4828
Korean,23,사랑해,87,understands,0
Korean,24,사랑해,107,produces,0.7009
Korean,24,사랑해,107,understands,0
Korean,25,사랑해,95,produces,0.7263
Korean,25,사랑해,95,understands,0
