language,age,words,n,measure,prop
Spanish (Argentinian),16,bolitas,47,produces,0
Spanish (Argentinian),16,bolitas,47,understands,0
Spanish (Argentinian),17,bolitas,49,produces,0.0408
Spanish (Argentinian),17,bolitas,49,understands,0
Spanish (Argentinian),18,bolitas,62,produces,0
Spanish (Argentinian),18,bolitas,62,understands,0
Spanish (Argentinian),19,bolitas,44,produces,0.0682
Spanish (Argentinian),19,bolitas,44,understands,0
Spanish (Argentinian),20,bolitas,46,produces,0.0435
Spanish (Argentinian),20,bolitas,46,understands,0
Spanish (Argentinian),21,bolitas,41,produces,0.122
Spanish (Argentinian),21,bolitas,41,understands,0
Spanish (Argentinian),22,bolitas,57,produces,0.0877
Spanish (Argentinian),22,bolitas,57,understands,0
Spanish (Argentinian),23,bolitas,49,produces,0.1633
Spanish (Argentinian),23,bolitas,49,understands,0
Spanish (Argentinian),24,bolitas,75,produces,0.1333
Spanish (Argentinian),24,bolitas,75,understands,0
Spanish (Argentinian),25,bolitas,43,produces,0.2093
Spanish (Argentinian),25,bolitas,43,understands,0
Spanish (Argentinian),26,bolitas,45,produces,0.0889
Spanish (Argentinian),26,bolitas,45,understands,0
Spanish (Argentinian),27,bolitas,44,produces,0.1818
Spanish (Argentinian),27,bolitas,44,understands,0
Spanish (Argentinian),28,bolitas,42,produces,0.3095
Spanish (Argentinian),28,bolitas,42,understands,0
Spanish (Argentinian),29,bolitas,65,produces,0.2615
Spanish (Argentinian),29,bolitas,65,understands,0
Spanish (Argentinian),30,bolitas,69,produces,0.3768
Spanish (Argentinian),30,bolitas,69,understands,0
Spanish (Argentinian),31,bolitas,2,produces,0
Spanish (Argentinian),31,bolitas,2,understands,0
Spanish (Argentinian),32,bolitas,1,produces,1
Spanish (Argentinian),32,bolitas,1,understands,0
Spanish (Argentinian),33,bolitas,2,produces,0.5
Spanish (Argentinian),33,bolitas,2,understands,0
Croatian,16,pikule,13,produces,0
Croatian,16,pikule,13,understands,0
Croatian,17,pikule,25,produces,0.04
Croatian,17,pikule,25,understands,0
Croatian,18,pikule,22,produces,0
Croatian,18,pikule,22,understands,0
Croatian,19,pikule,21,produces,0
Croatian,19,pikule,21,understands,0
Croatian,20,pikule,26,produces,0.1538
Croatian,20,pikule,26,understands,0
Croatian,21,pikule,29,produces,0.0345
Croatian,21,pikule,29,understands,0
Croatian,22,pikule,24,produces,0.0417
Croatian,22,pikule,24,understands,0
Croatian,23,pikule,26,produces,0.1538
Croatian,23,pikule,26,understands,0
Croatian,24,pikule,30,produces,0.0667
Croatian,24,pikule,30,understands,0
Croatian,25,pikule,30,produces,0.0667
Croatian,25,pikule,30,understands,0
Croatian,26,pikule,29,produces,0.1724
Croatian,26,pikule,29,understands,0
Croatian,27,pikule,25,produces,0.24
Croatian,27,pikule,25,understands,0
Croatian,28,pikule,21,produces,0.1429
Croatian,28,pikule,21,understands,0
Croatian,29,pikule,28,produces,0.25
Croatian,29,pikule,28,understands,0
Croatian,30,pikule,28,produces,0.1786
Croatian,30,pikule,28,understands,0
