language,sex,age,words,n,measure,prop
Japanese,All,8,ごはん（食事）,6,produces,0
Japanese,All,8,ごはん（食事）,6,understands,0.1667
Japanese,All,9,ごはん（食事）,10,produces,0
Japanese,All,9,ごはん（食事）,10,understands,0.3
Japanese,All,10,ごはん（食事）,8,produces,0
Japanese,All,10,ごはん（食事）,8,understands,0.5
Japanese,All,11,ごはん（食事）,87,produces,0.0345
Japanese,All,11,ごはん（食事）,87,understands,0.3678
Japanese,All,12,ごはん（食事）,118,produces,0.0339
Japanese,All,12,ごはん（食事）,118,understands,0.4153
Japanese,All,13,ごはん（食事）,23,produces,0.0435
Japanese,All,13,ごはん（食事）,23,understands,0.6957
Japanese,All,14,ごはん（食事）,26,produces,0.0769
Japanese,All,14,ごはん（食事）,26,understands,0.6923
Japanese,All,15,ごはん（食事）,72,produces,0.125
Japanese,All,15,ごはん（食事）,72,understands,0.75
Japanese,All,16,ごはん（食事）,46,produces,0.1304
Japanese,All,16,ごはん（食事）,46,understands,0.5652
Japanese,All,17,ごはん（食事）,77,produces,0.1688
Japanese,All,17,ごはん（食事）,77,understands,0.6234
Japanese,All,18,ごはん（食事）,94,produces,0.1702
Japanese,All,18,ごはん（食事）,94,understands,0.3617
Japanese,All,19,ごはん（食事）,35,produces,0.2571
Japanese,All,19,ごはん（食事）,35,understands,0
Japanese,All,20,ごはん（食事）,59,produces,0.2542
Japanese,All,20,ごはん（食事）,59,understands,0
Japanese,All,21,ごはん（食事）,62,produces,0.4839
Japanese,All,21,ごはん（食事）,62,understands,0
Japanese,All,22,ごはん（食事）,31,produces,0.5161
Japanese,All,22,ごはん（食事）,31,understands,0
Japanese,All,23,ごはん（食事）,67,produces,0.5821
Japanese,All,23,ごはん（食事）,67,understands,0
Japanese,All,24,ごはん（食事）,33,produces,0.6364
Japanese,All,24,ごはん（食事）,33,understands,0
Japanese,All,25,ごはん（食事）,34,produces,0.7941
Japanese,All,25,ごはん（食事）,34,understands,0
Japanese,All,26,ごはん（食事）,33,produces,0.7576
Japanese,All,26,ごはん（食事）,33,understands,0
Japanese,All,27,ごはん（食事）,15,produces,0.6667
Japanese,All,27,ごはん（食事）,15,understands,0
Japanese,All,28,ごはん（食事）,18,produces,0.7778
Japanese,All,28,ごはん（食事）,18,understands,0
Japanese,All,29,ごはん（食事）,17,produces,0.7059
Japanese,All,29,ごはん（食事）,17,understands,0
Japanese,All,30,ごはん（食事）,18,produces,0.8889
Japanese,All,30,ごはん（食事）,18,understands,0
Japanese,All,31,ごはん（食事）,18,produces,0.8333
Japanese,All,31,ごはん（食事）,18,understands,0
Japanese,All,32,ごはん（食事）,13,produces,1
Japanese,All,32,ごはん（食事）,13,understands,0
Japanese,All,33,ごはん（食事）,16,produces,0.9375
Japanese,All,33,ごはん（食事）,16,understands,0
Japanese,All,34,ごはん（食事）,13,produces,0.9231
Japanese,All,34,ごはん（食事）,13,understands,0
Japanese,All,35,ごはん（食事）,31,produces,1
Japanese,All,35,ごはん（食事）,31,understands,0
Japanese,All,36,ごはん（食事）,18,produces,0.9444
Japanese,All,36,ごはん（食事）,18,understands,0
Korean,All,8,맘마,57,produces,0.2456
Korean,All,8,맘마,57,understands,0.7368
Korean,All,9,맘마,73,produces,0.1918
Korean,All,9,맘마,73,understands,0.6027
Korean,All,10,맘마,77,produces,0.3766
Korean,All,10,맘마,77,understands,0.7662
Korean,All,11,맘마,80,produces,0.3
Korean,All,11,맘마,80,understands,0.7
Korean,All,12,맘마,74,produces,0.473
Korean,All,12,맘마,74,understands,0.8243
Korean,All,13,맘마,127,produces,0.3071
Korean,All,13,맘마,127,understands,0.8031
Korean,All,14,맘마,87,produces,0.5402
Korean,All,14,맘마,87,understands,0.908
Korean,All,15,맘마,85,produces,0.4941
Korean,All,15,맘마,85,understands,0.9059
Korean,All,16,맘마,86,produces,0.4767
Korean,All,16,맘마,86,understands,0.907
Korean,All,17,맘마,63,produces,0.6032
Korean,All,17,맘마,63,understands,0.873
Japanese,Female,8,ごはん（食事）,2,produces,0
Japanese,Female,8,ごはん（食事）,2,understands,0
Japanese,Male,8,ごはん（食事）,4,produces,0
Japanese,Male,8,ごはん（食事）,4,understands,0.25
Japanese,Female,9,ごはん（食事）,4,produces,0
Japanese,Female,9,ごはん（食事）,4,understands,0.25
Japanese,Male,9,ごはん（食事）,6,produces,0
Japanese,Male,9,ごはん（食事）,6,understands,0.3333
Japanese,Female,10,ごはん（食事）,2,produces,0
Japanese,Female,10,ごはん（食事）,2,understands,0
Japanese,Male,10,ごはん（食事）,6,produces,0
Japanese,Male,10,ごはん（食事）,6,understands,0.6667
Japanese,Female,11,ごはん（食事）,58,produces,0.0517
Japanese,Female,11,ごはん（食事）,58,understands,0.4138
Japanese,Male,11,ごはん（食事）,29,produces,0
Japanese,Male,11,ごはん（食事）,29,understands,0.2759
