language,sex,age,words,n,measure,prop
Catalan,All,16,microones,24,produces,0
Catalan,All,16,microones,24,understands,0
Catalan,All,17,microones,36,produces,0
Catalan,All,17,microones,36,understands,0
Catalan,All,18,microones,51,produces,0
Catalan,All,18,microones,51,understands,0
Catalan,All,19,microones,45,produces,0
Catalan,All,19,microones,45,understands,0
Catalan,All,20,microones,56,produces,0
Catalan,All,20,microones,56,understands,0
Catalan,All,21,microones,58,produces,0
Catalan,All,21,microones,58,understands,0
Catalan,All,22,microones,50,produces,0.08
Catalan,All,22,microones,50,understands,0
Catalan,All,23,microones,66,produces,0.0152
Catalan,All,23,microones,66,understands,0
Catalan,All,24,microones,79,produces,0.1772
Catalan,All,24,microones,79,understands,0
Catalan,All,25,microones,60,produces,0.15
Catalan,All,25,microones,60,understands,0
Catalan,All,26,microones,65,produces,0.1231
Catalan,All,26,microones,65,understands,0
Catalan,All,27,microones,63,produces,0.1429
Catalan,All,27,microones,63,understands,0
Catalan,All,28,microones,81,produces,0.1852
Catalan,All,28,microones,81,understands,0
Catalan,All,29,microones,50,produces,0.26
Catalan,All,29,microones,50,understands,0
Catalan,All,30,microones,75,produces,0.3867
Catalan,All,30,microones,75,understands,0
Hungarian,All,16,mikró,21,produces,0
Hungarian,All,16,mikró,21,understands,0
Hungarian,All,17,mikró,18,produces,0.0556
Hungarian,All,17,mikró,18,understands,0
Hungarian,All,18,mikró,18,produces,0
Hungarian,All,18,mikró,18,understands,0
Hungarian,All,19,mikró,26,produces,0.1154
Hungarian,All,19,mikró,26,understands,0
Hungarian,All,20,mikró,18,produces,0.1667
Hungarian,All,20,mikró,18,understands,0
Hungarian,All,21,mikró,36,produces,0.1944
Hungarian,All,21,mikró,36,understands,0
Hungarian,All,22,mikró,27,produces,0.1852
Hungarian,All,22,mikró,27,understands,0
Hungarian,All,23,mikró,18,produces,0.2222
Hungarian,All,23,mikró,18,understands,0
Hungarian,All,24,mikró,38,produces,0.3947
Hungarian,All,24,mikró,38,understands,0
Hungarian,All,25,mikró,43,produces,0.3488
Hungarian,All,25,mikró,43,understands,0
Hungarian,All,26,mikró,23,produces,0.5652
Hungarian,All,26,mikró,23,understands,0
Hungarian,All,27,mikró,26,produces,0.4615
Hungarian,All,27,mikró,26,understands,0
Hungarian,All,28,mikró,30,produces,0.5333
Hungarian,All,28,mikró,30,understands,0
Hungarian,All,29,mikró,12,produces,0.75
Hungarian,All,29,mikró,12,understands,0
Hungarian,All,30,mikró,18,produces,0.5556
Hungarian,All,30,mikró,18,understands,0
Japanese,All,16,レンジ,11,produces,0
Japanese,All,16,レンジ,11,understands,0
Japanese,All,17,レンジ,17,produces,0
Japanese,All,17,レンジ,17,understands,0
Japanese,All,18,レンジ,56,produces,0.0179
Japanese,All,18,レンジ,56,understands,0
Japanese,All,19,レンジ,35,produces,0.0286
Japanese,All,19,レンジ,35,understands,0
Japanese,All,20,レンジ,59,produces,0.0508
Japanese,All,20,レンジ,59,understands,0
Japanese,All,21,レンジ,62,produces,0.0161
Japanese,All,21,レンジ,62,understands,0
Japanese,All,22,レンジ,31,produces,0.0968
Japanese,All,22,レンジ,31,understands,0
Japanese,All,23,レンジ,67,produces,0.0597
