language,age,words,n,measure,prop
Japanese,16,映画,11,produces,0
Japanese,16,映画,11,understands,0
Japanese,17,映画,17,produces,0
Japanese,17,映画,17,understands,0
Japanese,18,映画,56,produces,0
Japanese,18,映画,56,understands,0
Japanese,19,映画,35,produces,0
Japanese,19,映画,35,understands,0
Japanese,20,映画,59,produces,0
Japanese,20,映画,59,understands,0
Japanese,21,映画,62,produces,0
Japanese,21,映画,62,understands,0
Japanese,22,映画,31,produces,0
Japanese,22,映画,31,understands,0
Japanese,23,映画,67,produces,0
Japanese,23,映画,67,understands,0
Japanese,24,映画,33,produces,0.0606
Japanese,24,映画,33,understands,0
Japanese,25,映画,34,produces,0.0294
Japanese,25,映画,34,understands,0
Japanese,26,映画,33,produces,0.1212
Japanese,26,映画,33,understands,0
Japanese,27,映画,15,produces,0
Japanese,27,映画,15,understands,0
Japanese,28,映画,18,produces,0.0556
Japanese,28,映画,18,understands,0
Japanese,29,映画,17,produces,0.1176
Japanese,29,映画,17,understands,0
Japanese,30,映画,18,produces,0.0556
Japanese,30,映画,18,understands,0
Japanese,31,映画,18,produces,0.2222
Japanese,31,映画,18,understands,0
Japanese,32,映画,13,produces,0.2308
Japanese,32,映画,13,understands,0
Japanese,33,映画,16,produces,0.375
Japanese,33,映画,16,understands,0
Japanese,34,映画,13,produces,0.3077
Japanese,34,映画,13,understands,0
Japanese,35,映画,31,produces,0.3226
Japanese,35,映画,31,understands,0
Japanese,36,映画,18,produces,0.3889
Japanese,36,映画,18,understands,0
Kigiriama,16,Sinema,1,produces,0
Kigiriama,16,Sinema,1,understands,0
Kigiriama,17,Sinema,6,produces,0
Kigiriama,17,Sinema,6,understands,0
Kigiriama,18,Sinema,13,produces,0
Kigiriama,18,Sinema,13,understands,0
Kigiriama,19,Sinema,8,produces,0
Kigiriama,19,Sinema,8,understands,0
Kigiriama,20,Sinema,14,produces,0
Kigiriama,20,Sinema,14,understands,0
Kigiriama,21,Sinema,6,produces,0
Kigiriama,21,Sinema,6,understands,0
Kigiriama,22,Sinema,9,produces,0.1111
Kigiriama,22,Sinema,9,understands,0
Kigiriama,23,Sinema,4,produces,0
Kigiriama,23,Sinema,4,understands,0
Kigiriama,24,Sinema,7,produces,0
Kigiriama,24,Sinema,7,understands,0
Kigiriama,25,Sinema,3,produces,0
Kigiriama,25,Sinema,3,understands,0
Kigiriama,26,Sinema,6,produces,0
Kigiriama,26,Sinema,6,understands,0
Kigiriama,27,Sinema,4,produces,0.5
Kigiriama,27,Sinema,4,understands,0
Kigiriama,28,Sinema,1,produces,0
Kigiriama,28,Sinema,1,understands,0
Kigiriama,29,Sinema,5,produces,0.2
Kigiriama,29,Sinema,5,understands,0
Kigiriama,30,Sinema,1,produces,1
Kigiriama,30,Sinema,1,understands,0
Kiswahili,23,Filamu/Sinema/Video,2,produces,0
Kiswahili,23,Filamu/Sinema/Video,2,understands,0
Kiswahili,24,Filamu/Sinema/Video,12,produces,0.0833
Kiswahili,24,Filamu/Sinema/Video,12,understands,0
Kiswahili,25,Filamu/Sinema/Video,10,produces,0
Kiswahili,25,Filamu/Sinema/Video,10,understands,0
Kiswahili,26,Filamu/Sinema/Video,13,produces,0.1538
Kiswahili,26,Filamu/Sinema/Video,13,understands,0
Kiswahili,27,Filamu/Sinema/Video,8,produces,0
Kiswahili,27,Filamu/Sinema/Video,8,understands,0
Kiswahili,28,Filamu/Sinema/Video,6,produces,0.1667
Kiswahili,28,Filamu/Sinema/Video,6,understands,0
Kiswahili,29,Filamu/Sinema/Video,6,produces,0.1667
Kiswahili,29,Filamu/Sinema/Video,6,understands,0
