language,sex,age,words,n,measure,prop
Latvian,All,17,pliks,27,produces,0.0741
Latvian,All,17,pliks,27,understands,0
Latvian,All,18,pliks,21,produces,0.0476
Latvian,All,18,pliks,21,understands,0
Latvian,All,19,pliks,28,produces,0.0714
Latvian,All,19,pliks,28,understands,0
Latvian,All,20,pliks,34,produces,0.3235
Latvian,All,20,pliks,34,understands,0
Latvian,All,21,pliks,26,produces,0.4231
Latvian,All,21,pliks,26,understands,0
Latvian,All,22,pliks,32,produces,0.4375
Latvian,All,22,pliks,32,understands,0
Latvian,All,23,pliks,25,produces,0.52
Latvian,All,23,pliks,25,understands,0
Latvian,All,24,pliks,30,produces,0.6333
Latvian,All,24,pliks,30,understands,0
Latvian,All,25,pliks,29,produces,0.5862
Latvian,All,25,pliks,29,understands,0
Latvian,All,26,pliks,22,produces,0.6818
Latvian,All,26,pliks,22,understands,0
Latvian,All,27,pliks,18,produces,0.7222
Latvian,All,27,pliks,18,understands,0
Latvian,All,28,pliks,23,produces,0.7826
Latvian,All,28,pliks,23,understands,0
Latvian,All,29,pliks,24,produces,0.75
Latvian,All,29,pliks,24,understands,0
Latvian,All,30,pliks,26,produces,0.8077
Latvian,All,30,pliks,26,understands,0
Latvian,All,31,pliks,19,produces,0.8421
Latvian,All,31,pliks,19,understands,0
Latvian,All,32,pliks,25,produces,0.72
Latvian,All,32,pliks,25,understands,0
Latvian,All,33,pliks,31,produces,0.9032
Latvian,All,33,pliks,31,understands,0
Latvian,All,34,pliks,17,produces,0.8235
Latvian,All,34,pliks,17,understands,0
Latvian,All,35,pliks,21,produces,0.9048
Latvian,All,35,pliks,21,understands,0
Latvian,All,36,pliks,22,produces,0.6364
Latvian,All,36,pliks,22,understands,0
Russian,All,8,голый,59,produces,0
Russian,All,8,голый,59,understands,0
Russian,All,9,голый,42,produces,0
Russian,All,9,голый,42,understands,0.0476
Russian,All,10,голый,63,produces,0
Russian,All,10,голый,63,understands,0
Russian,All,11,голый,71,produces,0
Russian,All,11,голый,71,understands,0.0423
Russian,All,12,голый,76,produces,0.0132
Russian,All,12,голый,76,understands,0.0789
Russian,All,13,голый,73,produces,0
Russian,All,13,голый,73,understands,0.1644
Russian,All,14,голый,79,produces,0
Russian,All,14,голый,79,understands,0.2911
Russian,All,15,голый,81,produces,0.0247
Russian,All,15,голый,81,understands,0.3704
Russian,All,16,голый,81,produces,0.0247
Russian,All,16,голый,81,understands,0.3951
Russian,All,17,голый,80,produces,0.0375
Russian,All,17,голый,80,understands,0.4125
Russian,All,18,голый,105,produces,0.0095
Russian,All,18,голый,105,understands,0.2952
Russian,All,19,голый,41,produces,0.122
Russian,All,19,голый,41,understands,0
