language,sex,age,words,n,measure,prop
American Sign Language,All,8,NO,1,produces,0
American Sign Language,All,8,NO,1,understands,0
American Sign Language,All,9,NO,4,produces,0
American Sign Language,All,9,NO,4,understands,0.5
American Sign Language,All,10,NO,5,produces,0
American Sign Language,All,10,NO,5,understands,0
American Sign Language,All,11,NO,3,produces,0
American Sign Language,All,11,NO,3,understands,0
American Sign Language,All,12,NO,4,produces,0
American Sign Language,All,12,NO,4,understands,0.25
American Sign Language,All,13,NO,4,produces,0.5
American Sign Language,All,13,NO,4,understands,0
American Sign Language,All,14,NO,1,produces,1
American Sign Language,All,14,NO,1,understands,0
American Sign Language,All,15,NO,3,produces,0
American Sign Language,All,15,NO,3,understands,0.3333
American Sign Language,All,16,NO,2,produces,0
American Sign Language,All,16,NO,2,understands,1
American Sign Language,All,17,NO,5,produces,0.2
American Sign Language,All,17,NO,5,understands,0.2
American Sign Language,All,18,NO,11,produces,0.8182
American Sign Language,All,18,NO,11,understands,0.6364
American Sign Language,All,19,NO,6,produces,0.6667
American Sign Language,All,19,NO,6,understands,0.8333
American Sign Language,All,20,NO,3,produces,0.3333
American Sign Language,All,20,NO,3,understands,0.3333
American Sign Language,All,21,NO,4,produces,0.5
American Sign Language,All,21,NO,4,understands,0.75
American Sign Language,All,22,NO,10,produces,0.6
American Sign Language,All,22,NO,10,understands,0.6
American Sign Language,All,23,NO,5,produces,1
American Sign Language,All,23,NO,5,understands,0.4
American Sign Language,All,24,NO,9,produces,0.3333
American Sign Language,All,24,NO,9,understands,0.2222
American Sign Language,All,25,NO,13,produces,0.5385
American Sign Language,All,25,NO,13,understands,0.6923
American Sign Language,All,26,NO,4,produces,0.75
American Sign Language,All,26,NO,4,understands,0.75
American Sign Language,All,27,NO,7,produces,0.4286
American Sign Language,All,27,NO,7,understands,0.4286
American Sign Language,All,28,NO,7,produces,1
American Sign Language,All,28,NO,7,understands,0.5714
American Sign Language,All,29,NO,6,produces,1
American Sign Language,All,29,NO,6,understands,1
American Sign Language,All,30,NO,7,produces,1
American Sign Language,All,30,NO,7,understands,0.5714
American Sign Language,All,31,NO,9,produces,0.7778
American Sign Language,All,31,NO,9,understands,0.4444
American Sign Language,All,32,NO,15,produces,0.8667
American Sign Language,All,32,NO,15,understands,0.4667
American Sign Language,All,33,NO,6,produces,0.6667
American Sign Language,All,33,NO,6,understands,0.8333
American Sign Language,All,34,NO,7,produces,0.8571
American Sign Language,All,34,NO,7,understands,0.7143
American Sign Language,All,35,NO,7,produces,0.5714
American Sign Language,All,35,NO,7,understands,0.5714
American Sign Language,All,36,NO,3,produces,0
American Sign Language,All,36,NO,3,understands,0.6667
Arabic (Saudi),All,8,"لا , لا",24,produces,0
Arabic (Saudi),All,8,"لا , لا",24,understands,0.0833
Arabic (Saudi),All,9,"لا , لا",27,produces,0
Arabic (Saudi),All,9,"لا , لا",27,understands,0.1111
Arabic (Saudi),All,10,"لا , لا",35,produces,0.0571
Arabic (Saudi),All,10,"لا , لا",35,understands,0.2
Arabic (Saudi),All,11,"لا , لا",30,produces,0.0333
Arabic (Saudi),All,11,"لا , لا",30,understands,0.1667
Arabic (Saudi),All,12,"لا , لا",30,produces,0.1667
Arabic (Saudi),All,12,"لا , لا",30,understands,0.2333
Arabic (Saudi),All,13,"لا , لا",39,produces,0.1026
Arabic (Saudi),All,13,"لا , لا",39,understands,0.0513
Arabic (Saudi),All,14,"لا, لا ",25,produces,0.08
Arabic (Saudi),All,14,"لا, لا ",25,understands,0.12
Arabic (Saudi),All,15,"لا , لا",27,produces,0.1852
Arabic (Saudi),All,15,"لا , لا",27,understands,0.2222
Arabic (Saudi),All,16,"لا , لا",21,produces,0.381
Arabic (Saudi),All,16,"لا , لا",21,understands,0.1429
British Sign Language,All,8,no,4,produces,0
British Sign Language,All,8,no,4,understands,0
British Sign Language,All,9,no,4,produces,0.25
British Sign Language,All,9,no,4,understands,0.25
