language,sex,age,words,n,measure,prop
Catalan,All,16,ningu,24,produces,0
Catalan,All,16,ningu,24,understands,0
Catalan,All,17,ningu,36,produces,0
Catalan,All,17,ningu,36,understands,0
Catalan,All,18,ningu,51,produces,0
Catalan,All,18,ningu,51,understands,0
Catalan,All,19,ningu,45,produces,0.0222
Catalan,All,19,ningu,45,understands,0
Catalan,All,20,ningu,56,produces,0
Catalan,All,20,ningu,56,understands,0
Catalan,All,21,ningu,58,produces,0
Catalan,All,21,ningu,58,understands,0
Catalan,All,22,ningu,50,produces,0.04
Catalan,All,22,ningu,50,understands,0
Catalan,All,23,ningu,66,produces,0.0606
Catalan,All,23,ningu,66,understands,0
Catalan,All,24,ningu,79,produces,0.1899
Catalan,All,24,ningu,79,understands,0
Catalan,All,25,ningu,60,produces,0.2
Catalan,All,25,ningu,60,understands,0
Catalan,All,26,ningu,65,produces,0.2154
Catalan,All,26,ningu,65,understands,0
Catalan,All,27,ningu,63,produces,0.3333
Catalan,All,27,ningu,63,understands,0
Catalan,All,28,ningu,81,produces,0.2346
Catalan,All,28,ningu,81,understands,0
Catalan,All,29,ningu,50,produces,0.42
Catalan,All,29,ningu,50,understands,0
Catalan,All,30,ningu,75,produces,0.5067
Catalan,All,30,ningu,75,understands,0
English (British),All,34,nobody,443,produces,0.6072
English (British),All,34,nobody,443,understands,0
English (British),All,35,nobody,3693,produces,0.6204
English (British),All,35,nobody,3693,understands,0
English (British),All,36,nobody,5244,produces,0.615
English (British),All,36,nobody,5244,understands,0
English (British),All,37,nobody,906,produces,0.6325
English (British),All,37,nobody,906,understands,0
English (British),All,38,nobody,264,produces,0.5644
English (British),All,38,nobody,264,understands,0
English (British),All,39,nobody,99,produces,0.6869
English (British),All,39,nobody,99,understands,0
English (British),All,40,nobody,48,produces,0.5
English (British),All,40,nobody,48,understands,0
English (British),All,41,nobody,24,produces,0.6667
English (British),All,41,nobody,24,understands,0
English (British),All,42,nobody,23,produces,0.6957
English (British),All,42,nobody,23,understands,0
English (British),All,43,nobody,12,produces,0.8333
English (British),All,43,nobody,12,understands,0
English (British),All,44,nobody,9,produces,0.6667
English (British),All,44,nobody,9,understands,0
English (British),All,45,nobody,12,produces,0.75
English (British),All,45,nobody,12,understands,0
English (British),All,46,nobody,5,produces,0
English (British),All,46,nobody,5,understands,0
English (British),All,47,nobody,8,produces,0.75
English (British),All,47,nobody,8,understands,0
Hebrew,All,11,אף אחד,1,produces,0
Hebrew,All,11,אף אחד,1,understands,0
Hebrew,All,12,אף אחד,4,produces,0
Hebrew,All,12,אף אחד,4,understands,0
Hebrew,All,13,אף אחד,4,produces,0
Hebrew,All,13,אף אחד,4,understands,0
Hebrew,All,14,אף אחד,1,produces,0
Hebrew,All,14,אף אחד,1,understands,0
Hebrew,All,15,אף אחד,2,produces,0
Hebrew,All,15,אף אחד,2,understands,0
Hebrew,All,16,אף אחד,6,produces,0
Hebrew,All,16,אף אחד,6,understands,0.1667
