language,age,words,n,measure,prop
Portuguese (European),16,Aberto,144,produces,0.0069
Portuguese (European),16,Aberto,144,understands,0
Portuguese (European),17,Aberto,158,produces,0.0316
Portuguese (European),17,Aberto,158,understands,0
Portuguese (European),18,Aberto,203,produces,0.0542
Portuguese (European),18,Aberto,203,understands,0
Portuguese (European),19,Aberto,196,produces,0.0714
Portuguese (European),19,Aberto,196,understands,0
Portuguese (European),20,Aberto,218,produces,0.0963
Portuguese (European),20,Aberto,218,understands,0
Portuguese (European),21,Aberto,208,produces,0.1538
Portuguese (European),21,Aberto,208,understands,0
Portuguese (European),22,Aberto,213,produces,0.23
Portuguese (European),22,Aberto,213,understands,0
Portuguese (European),23,Aberto,199,produces,0.3166
Portuguese (European),23,Aberto,199,understands,0
Portuguese (European),24,Aberto,215,produces,0.2977
Portuguese (European),24,Aberto,215,understands,0
Portuguese (European),25,Aberto,213,produces,0.4272
Portuguese (European),25,Aberto,213,understands,0
Portuguese (European),26,Aberto,218,produces,0.4679
Portuguese (European),26,Aberto,218,understands,0
Portuguese (European),27,Aberto,238,produces,0.5798
Portuguese (European),27,Aberto,238,understands,0
Portuguese (European),28,Aberto,219,produces,0.5799
Portuguese (European),28,Aberto,219,understands,0
Portuguese (European),29,Aberto,207,produces,0.5894
Portuguese (European),29,Aberto,207,understands,0
Portuguese (European),30,Aberto,163,produces,0.6748
Portuguese (European),30,Aberto,163,understands,0
Slovak,17,otvorený,70,produces,0.1
Slovak,17,otvorený,70,understands,0
Slovak,18,otvorený,65,produces,0.1077
Slovak,18,otvorený,65,understands,0
Slovak,19,otvorený,56,produces,0.1786
Slovak,19,otvorený,56,understands,0
Slovak,20,otvorený,62,produces,0.2419
Slovak,20,otvorený,62,understands,0
Slovak,21,otvorený,81,produces,0.2346
Slovak,21,otvorený,81,understands,0
Slovak,22,otvorený,53,produces,0.3019
Slovak,22,otvorený,53,understands,0
Slovak,23,otvorený,59,produces,0.4068
Slovak,23,otvorený,59,understands,0
Slovak,24,otvorený,59,produces,0.5763
Slovak,24,otvorený,59,understands,0
