language,age,words,n,measure,prop
Mandarin (Beijing),17,插座,40,produces,0.025
Mandarin (Beijing),17,插座,40,understands,0
Mandarin (Beijing),18,插座,50,produces,0.02
Mandarin (Beijing),18,插座,50,understands,0
Mandarin (Beijing),19,插座,50,produces,0.04
Mandarin (Beijing),19,插座,50,understands,0
Mandarin (Beijing),20,插座,50,produces,0.04
Mandarin (Beijing),20,插座,50,understands,0
Mandarin (Beijing),21,插座,49,produces,0.0612
Mandarin (Beijing),21,插座,49,understands,0
Mandarin (Beijing),22,插座,46,produces,0.0435
Mandarin (Beijing),22,插座,46,understands,0
Mandarin (Beijing),23,插座,50,produces,0.34
Mandarin (Beijing),23,插座,50,understands,0
Mandarin (Beijing),24,插座,50,produces,0.22
Mandarin (Beijing),24,插座,50,understands,0
Mandarin (Beijing),25,插座,43,produces,0.2326
Mandarin (Beijing),25,插座,43,understands,0
Mandarin (Beijing),26,插座,47,produces,0.3191
Mandarin (Beijing),26,插座,47,understands,0
Mandarin (Beijing),27,插座,44,produces,0.2955
Mandarin (Beijing),27,插座,44,understands,0
Mandarin (Beijing),28,插座,44,produces,0.4318
Mandarin (Beijing),28,插座,44,understands,0
Mandarin (Beijing),29,插座,49,produces,0.3878
Mandarin (Beijing),29,插座,49,understands,0
Mandarin (Beijing),30,插座,40,produces,0.525
Mandarin (Beijing),30,插座,40,understands,0
Slovak,8,zástrčka / elektrika,73,produces,0
Slovak,8,zástrčka / elektrika,73,understands,0.0548
Slovak,9,zástrčka / elektrika,59,produces,0
Slovak,9,zástrčka / elektrika,59,understands,0.1186
Slovak,10,zástrčka / elektrika,73,produces,0
Slovak,10,zástrčka / elektrika,73,understands,0.1644
Slovak,11,zástrčka / elektrika,62,produces,0.0323
Slovak,11,zástrčka / elektrika,62,understands,0.2581
Slovak,12,zástrčka / elektrika,79,produces,0.0127
Slovak,12,zástrčka / elektrika,79,understands,0.4684
Slovak,13,zástrčka / elektrika,74,produces,0.027
Slovak,13,zástrčka / elektrika,74,understands,0.473
Slovak,14,zástrčka / elektrika,78,produces,0.0128
Slovak,14,zástrčka / elektrika,78,understands,0.5
Slovak,15,zástrčka / elektrika,87,produces,0.0345
Slovak,15,zástrčka / elektrika,87,understands,0.5287
Slovak,16,zástrčka / elektrika,68,produces,0.0441
Slovak,16,zástrčka / elektrika,68,understands,0.6029
Slovak,17,zástrčka / elektrika,70,produces,0.0571
Slovak,17,zástrčka / elektrika,70,understands,0
Slovak,18,zástrčka / elektrika,65,produces,0.0462
Slovak,18,zástrčka / elektrika,65,understands,0
Slovak,19,zástrčka / elektrika,56,produces,0.0536
Slovak,19,zástrčka / elektrika,56,understands,0
Slovak,20,zástrčka / elektrika,62,produces,0.1935
Slovak,20,zástrčka / elektrika,62,understands,0
Slovak,21,zástrčka / elektrika,81,produces,0.2222
Slovak,21,zástrčka / elektrika,81,understands,0
Slovak,22,zástrčka / elektrika,53,produces,0.2453
Slovak,22,zástrčka / elektrika,53,understands,0
Slovak,23,zástrčka / elektrika,59,produces,0.2881
Slovak,23,zástrčka / elektrika,59,understands,0
Slovak,24,zástrčka / elektrika,59,produces,0.4068
Slovak,24,zástrčka / elektrika,59,understands,0
Slovak,25,zástrčka / elektrika,69,produces,0.4348
Slovak,25,zástrčka / elektrika,69,understands,0
Slovak,26,zástrčka / elektrika,78,produces,0.4744
Slovak,26,zástrčka / elektrika,78,understands,0
Slovak,27,zástrčka / elektrika,62,produces,0.5806
Slovak,27,zástrčka / elektrika,62,understands,0
Slovak,28,zástrčka / elektrika,86,produces,0.4884
Slovak,28,zástrčka / elektrika,86,understands,0
Slovak,29,zástrčka / elektrika,75,produces,0.52
Slovak,29,zástrčka / elektrika,75,understands,0
Slovak,30,zástrčka / elektrika,49,produces,0.5714
Slovak,30,zástrčka / elektrika,49,understands,0
Slovak,31,zástrčka / elektrika,29,produces,0.5517
Slovak,31,zástrčka / elektrika,29,understands,0
Slovak,32,zástrčka / elektrika,25,produces,0.72
Slovak,32,zástrčka / elektrika,25,understands,0
Slovak,33,zástrčka / elektrika,22,produces,0.7273
Slovak,33,zástrčka / elektrika,22,understands,0
Slovak,34,zástrčka / elektrika,27,produces,0.6296
Slovak,34,zástrčka / elektrika,27,understands,0
Slovak,35,zástrčka / elektrika,27,produces,0.6296
Slovak,35,zástrčka / elektrika,27,understands,0
Slovak,36,zástrčka / elektrika,8,produces,0.75
Slovak,36,zástrčka / elektrika,8,understands,0
