language,sex,age,words,n,measure,prop
Catalan,All,8,pinta,39,produces,0
Catalan,All,8,pinta,39,understands,0.0513
Catalan,All,9,pinta,46,produces,0
Catalan,All,9,pinta,46,understands,0.1087
Catalan,All,10,pinta,43,produces,0
Catalan,All,10,pinta,43,understands,0.0465
Catalan,All,11,pinta,43,produces,0
Catalan,All,11,pinta,43,understands,0.1163
Catalan,All,12,pinta,59,produces,0
Catalan,All,12,pinta,59,understands,0.2373
Catalan,All,13,pinta,44,produces,0.0227
Catalan,All,13,pinta,44,understands,0.2955
Catalan,All,14,pinta,60,produces,0
Catalan,All,14,pinta,60,understands,0.4167
Catalan,All,15,pinta,70,produces,0.0143
Catalan,All,15,pinta,70,understands,0.6
Catalan,All,16,pinta,73,produces,0.0137
Catalan,All,16,pinta,73,understands,0.4247
Catalan,All,17,pinta,110,produces,0.0545
Catalan,All,17,pinta,110,understands,0.4545
Catalan,All,18,pinta,102,produces,0.1275
Catalan,All,18,pinta,102,understands,0.3725
Catalan,All,19,pinta,45,produces,0.1778
Catalan,All,19,pinta,45,understands,0
Catalan,All,20,pinta,56,produces,0.2321
Catalan,All,20,pinta,56,understands,0
Catalan,All,21,pinta,58,produces,0.2759
Catalan,All,21,pinta,58,understands,0
Catalan,All,22,pinta,50,produces,0.58
Catalan,All,22,pinta,50,understands,0
Catalan,All,23,pinta,66,produces,0.3788
Catalan,All,23,pinta,66,understands,0
Catalan,All,24,pinta,79,produces,0.5696
Catalan,All,24,pinta,79,understands,0
Catalan,All,25,pinta,60,produces,0.6667
Catalan,All,25,pinta,60,understands,0
Catalan,All,26,pinta,65,produces,0.7077
Catalan,All,26,pinta,65,understands,0
Catalan,All,27,pinta,63,produces,0.7302
Catalan,All,27,pinta,63,understands,0
Catalan,All,28,pinta,81,produces,0.6667
Catalan,All,28,pinta,81,understands,0
Catalan,All,29,pinta,50,produces,0.74
Catalan,All,29,pinta,50,understands,0
Catalan,All,30,pinta,75,produces,0.7867
Catalan,All,30,pinta,75,understands,0
Dutch,All,16,vingerverf,4,produces,0
Dutch,All,16,vingerverf,4,understands,0
Dutch,All,17,vingerverf,49,produces,0
Dutch,All,17,vingerverf,49,understands,0
Dutch,All,18,vingerverf,68,produces,0
Dutch,All,18,vingerverf,68,understands,0
Dutch,All,19,vingerverf,7,produces,0
Dutch,All,19,vingerverf,7,understands,0
Dutch,All,20,vingerverf,7,produces,0
Dutch,All,20,vingerverf,7,understands,0
Dutch,All,21,vingerverf,7,produces,0
Dutch,All,21,vingerverf,7,understands,0
Dutch,All,22,vingerverf,7,produces,0.1429
Dutch,All,22,vingerverf,7,understands,0
Dutch,All,23,vingerverf,51,produces,0.1569
Dutch,All,23,vingerverf,51,understands,0
Dutch,All,24,vingerverf,31,produces,0.2581
Dutch,All,24,vingerverf,31,understands,0
Dutch,All,25,vingerverf,6,produces,0.5
Dutch,All,25,vingerverf,6,understands,0
Dutch,All,26,vingerverf,6,produces,0.1667
Dutch,All,26,vingerverf,6,understands,0
Dutch,All,27,vingerverf,5,produces,0.4
Dutch,All,27,vingerverf,5,understands,0
Dutch,All,28,vingerverf,6,produces,0.5
Dutch,All,28,vingerverf,6,understands,0
Dutch,All,29,vingerverf,23,produces,0.5652
Dutch,All,29,vingerverf,23,understands,0
Dutch,All,30,vingerverf,24,produces,0.5833
Dutch,All,30,vingerverf,24,understands,0
Dutch,All,31,vingerverf,2,produces,1
Dutch,All,31,vingerverf,2,understands,0
Latvian,All,17,krāsas,27,produces,0.0741
Latvian,All,17,krāsas,27,understands,0
Latvian,All,18,krāsas,21,produces,0.0952
Latvian,All,18,krāsas,21,understands,0
