language,sex,age,words,n,measure,prop
Dutch,All,16,panter,4,produces,0
Dutch,All,16,panter,4,understands,0
Dutch,All,17,panter,49,produces,0
Dutch,All,17,panter,49,understands,0
Dutch,All,18,panter,68,produces,0.0147
Dutch,All,18,panter,68,understands,0
Dutch,All,19,panter,7,produces,0
Dutch,All,19,panter,7,understands,0
Dutch,All,20,panter,7,produces,0.1429
Dutch,All,20,panter,7,understands,0
Dutch,All,21,panter,7,produces,0
Dutch,All,21,panter,7,understands,0
Dutch,All,22,panter,7,produces,0.1429
Dutch,All,22,panter,7,understands,0
Dutch,All,23,panter,51,produces,0.098
Dutch,All,23,panter,51,understands,0
Dutch,All,24,panter,31,produces,0.1935
Dutch,All,24,panter,31,understands,0
Dutch,All,25,panter,6,produces,0.1667
Dutch,All,25,panter,6,understands,0
Dutch,All,26,panter,6,produces,0
Dutch,All,26,panter,6,understands,0
Dutch,All,27,panter,5,produces,0.4
Dutch,All,27,panter,5,understands,0
Dutch,All,28,panter,6,produces,0.5
Dutch,All,28,panter,6,understands,0
Dutch,All,29,panter,23,produces,0.4348
Dutch,All,29,panter,23,understands,0
Dutch,All,30,panter,24,produces,0.4167
Dutch,All,30,panter,24,understands,0
Dutch,All,31,panter,2,produces,0
Dutch,All,31,panter,2,understands,0
Spanish (European),All,16,pantera,39,produces,0.0256
Spanish (European),All,16,pantera,39,understands,0
Spanish (European),All,17,pantera,39,produces,0
Spanish (European),All,17,pantera,39,understands,0
Spanish (European),All,18,pantera,50,produces,0
Spanish (European),All,18,pantera,50,understands,0
Spanish (European),All,19,pantera,27,produces,0
Spanish (European),All,19,pantera,27,understands,0
Spanish (European),All,20,pantera,36,produces,0
Spanish (European),All,20,pantera,36,understands,0
Spanish (European),All,21,pantera,41,produces,0.0244
Spanish (European),All,21,pantera,41,understands,0
Spanish (European),All,22,pantera,38,produces,0.0526
Spanish (European),All,22,pantera,38,understands,0
Spanish (European),All,23,pantera,30,produces,0.0333
Spanish (European),All,23,pantera,30,understands,0
Spanish (European),All,24,pantera,55,produces,0.0727
Spanish (European),All,24,pantera,55,understands,0
Spanish (European),All,25,pantera,35,produces,0.0286
Spanish (European),All,25,pantera,35,understands,0
Spanish (European),All,26,pantera,49,produces,0.1224
Spanish (European),All,26,pantera,49,understands,0
Spanish (European),All,27,pantera,34,produces,0.2647
Spanish (European),All,27,pantera,34,understands,0
Spanish (European),All,28,pantera,38,produces,0.2632
Spanish (European),All,28,pantera,38,understands,0
Spanish (European),All,29,pantera,41,produces,0.3171
Spanish (European),All,29,pantera,41,understands,0
Spanish (European),All,30,pantera,41,produces,0.3171
Spanish (European),All,30,pantera,41,understands,0
Spanish (Peruvian),All,16,pantera,13,produces,0
Spanish (Peruvian),All,16,pantera,13,understands,0
Spanish (Peruvian),All,17,pantera,9,produces,0
Spanish (Peruvian),All,17,pantera,9,understands,0
Spanish (Peruvian),All,18,pantera,4,produces,0
Spanish (Peruvian),All,18,pantera,4,understands,0
Spanish (Peruvian),All,19,pantera,12,produces,0
Spanish (Peruvian),All,19,pantera,12,understands,0
Spanish (Peruvian),All,20,pantera,1,produces,0
Spanish (Peruvian),All,20,pantera,1,understands,0
Spanish (Peruvian),All,21,pantera,5,produces,0
Spanish (Peruvian),All,21,pantera,5,understands,0
Spanish (Peruvian),All,22,pantera,9,produces,0.1111
Spanish (Peruvian),All,22,pantera,9,understands,0
Spanish (Peruvian),All,23,pantera,1,produces,0
Spanish (Peruvian),All,23,pantera,1,understands,0
Spanish (Peruvian),All,24,pantera,15,produces,0.0667
Spanish (Peruvian),All,24,pantera,15,understands,0
Spanish (Peruvian),All,25,pantera,5,produces,0
Spanish (Peruvian),All,25,pantera,5,understands,0
Spanish (Peruvian),All,26,pantera,8,produces,0
Spanish (Peruvian),All,26,pantera,8,understands,0
Spanish (Peruvian),All,27,pantera,7,produces,0
Spanish (Peruvian),All,27,pantera,7,understands,0
Spanish (Peruvian),All,28,pantera,8,produces,0
Spanish (Peruvian),All,28,pantera,8,understands,0
Spanish (Peruvian),All,29,pantera,6,produces,0.3333
Spanish (Peruvian),All,29,pantera,6,understands,0
Spanish (Peruvian),All,30,pantera,2,produces,0
Spanish (Peruvian),All,30,pantera,2,understands,0
Dutch,Female,16,panter,4,produces,0
Dutch,Female,16,panter,4,understands,0
Dutch,Female,17,panter,33,produces,0
Dutch,Female,17,panter,33,understands,0
Dutch,Male,17,panter,16,produces,0
Dutch,Male,17,panter,16,understands,0
Dutch,Female,18,panter,38,produces,0.0263
Dutch,Female,18,panter,38,understands,0
Dutch,Male,18,panter,30,produces,0
Dutch,Male,18,panter,30,understands,0
Dutch,Female,19,panter,5,produces,0
Dutch,Female,19,panter,5,understands,0
Dutch,Male,19,panter,2,produces,0
Dutch,Male,19,panter,2,understands,0
Dutch,Female,20,panter,6,produces,0
Dutch,Female,20,panter,6,understands,0
Dutch,Male,20,panter,1,produces,1
Dutch,Male,20,panter,1,understands,0
Dutch,Female,21,panter,3,produces,0
Dutch,Female,21,panter,3,understands,0
Dutch,Male,21,panter,4,produces,0
Dutch,Male,21,panter,4,understands,0
Dutch,Female,22,panter,1,produces,0
Dutch,Female,22,panter,1,understands,0
Dutch,Male,22,panter,6,produces,0.1667
Dutch,Male,22,panter,6,understands,0
Dutch,Female,23,panter,25,produces,0.12
Dutch,Female,23,panter,25,understands,0
Dutch,Male,23,panter,26,produces,0.0769
Dutch,Male,23,panter,26,understands,0
Dutch,Female,24,panter,16,produces,0.25
Dutch,Female,24,panter,16,understands,0
Dutch,Male,24,panter,15,produces,0.1333
Dutch,Male,24,panter,15,understands,0
Dutch,Female,25,panter,5,produces,0.2
Dutch,Female,25,panter,5,understands,0
Dutch,Male,25,panter,1,produces,0
Dutch,Male,25,panter,1,understands,0
Dutch,Female,26,panter,1,produces,0
Dutch,Female,26,panter,1,understands,0
Dutch,Male,26,panter,5,produces,0
Dutch,Male,26,panter,5,understands,0
Dutch,Female,27,panter,3,produces,0.3333
Dutch,Female,27,panter,3,understands,0
Dutch,Male,27,panter,1,produces,0
Dutch,Male,27,panter,1,understands,0
