language,sex,age,words,n,measure,prop
Croatian,All,16,pločnik,13,produces,0
Croatian,All,16,pločnik,13,understands,0
Croatian,All,17,pločnik,25,produces,0
Croatian,All,17,pločnik,25,understands,0
Croatian,All,18,pločnik,22,produces,0
Croatian,All,18,pločnik,22,understands,0
Croatian,All,19,pločnik,21,produces,0
Croatian,All,19,pločnik,21,understands,0
Croatian,All,20,pločnik,26,produces,0
Croatian,All,20,pločnik,26,understands,0
Croatian,All,21,pločnik,29,produces,0
Croatian,All,21,pločnik,29,understands,0
Croatian,All,22,pločnik,24,produces,0
Croatian,All,22,pločnik,24,understands,0
Croatian,All,23,pločnik,26,produces,0
Croatian,All,23,pločnik,26,understands,0
Croatian,All,24,pločnik,30,produces,0
Croatian,All,24,pločnik,30,understands,0
Croatian,All,25,pločnik,30,produces,0.0333
Croatian,All,25,pločnik,30,understands,0
Croatian,All,26,pločnik,29,produces,0.1724
Croatian,All,26,pločnik,29,understands,0
Croatian,All,27,pločnik,25,produces,0.08
Croatian,All,27,pločnik,25,understands,0
Croatian,All,28,pločnik,21,produces,0.0952
Croatian,All,28,pločnik,21,understands,0
Croatian,All,29,pločnik,28,produces,0.0357
Croatian,All,29,pločnik,28,understands,0
Croatian,All,30,pločnik,28,produces,0.0714
Croatian,All,30,pločnik,28,understands,0
Estonian,All,16,kõnnitee,36,produces,0
Estonian,All,16,kõnnitee,36,understands,0
Estonian,All,17,kõnnitee,89,produces,0.0112
Estonian,All,17,kõnnitee,89,understands,0
Estonian,All,18,kõnnitee,103,produces,0.0097
Estonian,All,18,kõnnitee,103,understands,0
Estonian,All,19,kõnnitee,85,produces,0.0471
Estonian,All,19,kõnnitee,85,understands,0
Estonian,All,20,kõnnitee,60,produces,0.0333
Estonian,All,20,kõnnitee,60,understands,0
Estonian,All,21,kõnnitee,66,produces,0.0758
Estonian,All,21,kõnnitee,66,understands,0
Estonian,All,22,kõnnitee,76,produces,0.1053
Estonian,All,22,kõnnitee,76,understands,0
Estonian,All,23,kõnnitee,95,produces,0.0947
Estonian,All,23,kõnnitee,95,understands,0
Estonian,All,24,kõnnitee,116,produces,0.1897
Estonian,All,24,kõnnitee,116,understands,0
Estonian,All,25,kõnnitee,82,produces,0.0732
Estonian,All,25,kõnnitee,82,understands,0
Estonian,All,26,kõnnitee,84,produces,0.1905
Estonian,All,26,kõnnitee,84,understands,0
Estonian,All,27,kõnnitee,80,produces,0.1375
Estonian,All,27,kõnnitee,80,understands,0
Estonian,All,28,kõnnitee,92,produces,0.2935
Estonian,All,28,kõnnitee,92,understands,0
Estonian,All,29,kõnnitee,100,produces,0.34
Estonian,All,29,kõnnitee,100,understands,0
Estonian,All,30,kõnnitee,71,produces,0.3803
Estonian,All,30,kõnnitee,71,understands,0
Latvian,All,17,taka,27,produces,0.037
Latvian,All,17,taka,27,understands,0
Latvian,All,18,taka,21,produces,0
Latvian,All,18,taka,21,understands,0
Latvian,All,19,taka,28,produces,0
Latvian,All,19,taka,28,understands,0
Latvian,All,20,taka,34,produces,0.0588
Latvian,All,20,taka,34,understands,0
Latvian,All,21,taka,26,produces,0.1154
Latvian,All,21,taka,26,understands,0
Latvian,All,22,taka,32,produces,0.0625
Latvian,All,22,taka,32,understands,0
Latvian,All,23,taka,25,produces,0.04
Latvian,All,23,taka,25,understands,0
Latvian,All,24,taka,30,produces,0.1667
Latvian,All,24,taka,30,understands,0
Latvian,All,25,taka,29,produces,0.1034
Latvian,All,25,taka,29,understands,0
Latvian,All,26,taka,22,produces,0.2727
Latvian,All,26,taka,22,understands,0
Latvian,All,27,taka,18,produces,0.3333
Latvian,All,27,taka,18,understands,0
Latvian,All,28,taka,23,produces,0.2174
Latvian,All,28,taka,23,understands,0
Latvian,All,29,taka,24,produces,0.125
Latvian,All,29,taka,24,understands,0
Latvian,All,30,taka,26,produces,0.2692
Latvian,All,30,taka,26,understands,0
Latvian,All,31,taka,19,produces,0.3158
Latvian,All,31,taka,19,understands,0
Latvian,All,32,taka,25,produces,0.32
Latvian,All,32,taka,25,understands,0
Latvian,All,33,taka,31,produces,0.3548
Latvian,All,33,taka,31,understands,0
Latvian,All,34,taka,17,produces,0.7059
Latvian,All,34,taka,17,understands,0
Latvian,All,35,taka,21,produces,0.5238
Latvian,All,35,taka,21,understands,0
Latvian,All,36,taka,22,produces,0.5
Latvian,All,36,taka,22,understands,0
Croatian,Female,16,pločnik,7,produces,0
Croatian,Female,16,pločnik,7,understands,0
Croatian,Male,16,pločnik,6,produces,0
