language,age,words,n,measure,prop
Latvian,17,ietve/trotuārs,27,produces,0
Latvian,17,ietve/trotuārs,27,understands,0
Latvian,18,ietve/trotuārs,21,produces,0
Latvian,18,ietve/trotuārs,21,understands,0
Latvian,19,ietve/trotuārs,28,produces,0.0357
Latvian,19,ietve/trotuārs,28,understands,0
Latvian,20,ietve/trotuārs,34,produces,0.0882
Latvian,20,ietve/trotuārs,34,understands,0
Latvian,21,ietve/trotuārs,26,produces,0
Latvian,21,ietve/trotuārs,26,understands,0
Latvian,22,ietve/trotuārs,32,produces,0.0312
Latvian,22,ietve/trotuārs,32,understands,0
Latvian,23,ietve/trotuārs,25,produces,0.04
Latvian,23,ietve/trotuārs,25,understands,0
Latvian,24,ietve/trotuārs,30,produces,0.1667
Latvian,24,ietve/trotuārs,30,understands,0
Latvian,25,ietve/trotuārs,29,produces,0.069
Latvian,25,ietve/trotuārs,29,understands,0
Latvian,26,ietve/trotuārs,22,produces,0.1364
Latvian,26,ietve/trotuārs,22,understands,0
Latvian,27,ietve/trotuārs,18,produces,0.1667
Latvian,27,ietve/trotuārs,18,understands,0
Latvian,28,ietve/trotuārs,23,produces,0.1304
Latvian,28,ietve/trotuārs,23,understands,0
Latvian,29,ietve/trotuārs,24,produces,0.0833
Latvian,29,ietve/trotuārs,24,understands,0
Latvian,30,ietve/trotuārs,26,produces,0.1538
Latvian,30,ietve/trotuārs,26,understands,0
Latvian,31,ietve/trotuārs,19,produces,0.2105
Latvian,31,ietve/trotuārs,19,understands,0
Latvian,32,ietve/trotuārs,25,produces,0.16
Latvian,32,ietve/trotuārs,25,understands,0
Latvian,33,ietve/trotuārs,31,produces,0.1935
Latvian,33,ietve/trotuārs,31,understands,0
Latvian,34,ietve/trotuārs,17,produces,0.2353
Latvian,34,ietve/trotuārs,17,understands,0
Latvian,35,ietve/trotuārs,21,produces,0.2381
Latvian,35,ietve/trotuārs,21,understands,0
Latvian,36,ietve/trotuārs,22,produces,0.2727
Latvian,36,ietve/trotuārs,22,understands,0
Norwegian,16,fortau,98,produces,0
Norwegian,16,fortau,98,understands,0
Norwegian,17,fortau,218,produces,0.0046
Norwegian,17,fortau,218,understands,0
Norwegian,18,fortau,271,produces,0
Norwegian,18,fortau,271,understands,0
Norwegian,19,fortau,281,produces,0.0142
Norwegian,19,fortau,281,understands,0
Norwegian,20,fortau,342,produces,0.0088
Norwegian,20,fortau,342,understands,0
Norwegian,21,fortau,418,produces,0.0215
Norwegian,21,fortau,418,understands,0
Norwegian,22,fortau,596,produces,0.0168
Norwegian,22,fortau,596,understands,0
Norwegian,23,fortau,566,produces,0.0389
Norwegian,23,fortau,566,understands,0
Norwegian,24,fortau,538,produces,0.0595
Norwegian,24,fortau,538,understands,0
Norwegian,25,fortau,656,produces,0.1098
Norwegian,25,fortau,656,understands,0
Norwegian,26,fortau,644,produces,0.1801
Norwegian,26,fortau,644,understands,0
Norwegian,27,fortau,525,produces,0.2419
Norwegian,27,fortau,525,understands,0
Norwegian,28,fortau,544,produces,0.239
Norwegian,28,fortau,544,understands,0
Norwegian,29,fortau,536,produces,0.3116
Norwegian,29,fortau,536,understands,0
Norwegian,30,fortau,457,produces,0.3392
Norwegian,30,fortau,457,understands,0
Norwegian,31,fortau,479,produces,0.38
Norwegian,31,fortau,479,understands,0
Norwegian,32,fortau,451,produces,0.4368
Norwegian,32,fortau,451,understands,0
Norwegian,33,fortau,430,produces,0.4837
Norwegian,33,fortau,430,understands,0
Norwegian,34,fortau,424,produces,0.5495
Norwegian,34,fortau,424,understands,0
Norwegian,35,fortau,422,produces,0.5806
Norwegian,35,fortau,422,understands,0
Norwegian,36,fortau,329,produces,0.6261
Norwegian,36,fortau,329,understands,0
English (British),34,pavement,443,produces,0.5553
English (British),34,pavement,443,understands,0
English (British),35,pavement,3693,produces,0.6003
English (British),35,pavement,3693,understands,0
English (British),36,pavement,5244,produces,0.61
English (British),36,pavement,5244,understands,0
English (British),37,pavement,906,produces,0.5861
English (British),37,pavement,906,understands,0
English (British),38,pavement,264,produces,0.5833
English (British),38,pavement,264,understands,0
English (British),39,pavement,99,produces,0.7475
English (British),39,pavement,99,understands,0
English (British),40,pavement,48,produces,0.6042
English (British),40,pavement,48,understands,0
English (British),41,pavement,24,produces,0.6667
English (British),41,pavement,24,understands,0
English (British),42,pavement,23,produces,0.6522
English (British),42,pavement,23,understands,0
English (British),43,pavement,12,produces,0.5833
English (British),43,pavement,12,understands,0
English (British),44,pavement,9,produces,0.6667
English (British),44,pavement,9,understands,0
English (British),45,pavement,12,produces,0.5833
English (British),45,pavement,12,understands,0
English (British),46,pavement,5,produces,0
English (British),46,pavement,5,understands,0
English (British),47,pavement,8,produces,0.625
English (British),47,pavement,8,understands,0
