language,age,words,n,measure,prop
Japanese,8,えんぴつ,6,produces,0
Japanese,8,えんぴつ,6,understands,0
Japanese,9,えんぴつ,10,produces,0
Japanese,9,えんぴつ,10,understands,0
Japanese,10,えんぴつ,8,produces,0
Japanese,10,えんぴつ,8,understands,0
Japanese,11,えんぴつ,87,produces,0
Japanese,11,えんぴつ,87,understands,0.0115
Japanese,12,えんぴつ,118,produces,0
Japanese,12,えんぴつ,118,understands,0.0254
Japanese,13,えんぴつ,23,produces,0
Japanese,13,えんぴつ,23,understands,0.0435
Japanese,14,えんぴつ,26,produces,0
Japanese,14,えんぴつ,26,understands,0.1154
Japanese,15,えんぴつ,72,produces,0
Japanese,15,えんぴつ,72,understands,0.1389
Japanese,16,えんぴつ,46,produces,0
Japanese,16,えんぴつ,46,understands,0.0435
Japanese,17,えんぴつ,77,produces,0.013
Japanese,17,えんぴつ,77,understands,0.2338
Japanese,18,えんぴつ,94,produces,0.0426
Japanese,18,えんぴつ,94,understands,0.117
Japanese,19,えんぴつ,35,produces,0.1143
Japanese,19,えんぴつ,35,understands,0
Japanese,20,えんぴつ,59,produces,0.0508
Japanese,20,えんぴつ,59,understands,0
Japanese,21,えんぴつ,62,produces,0.1452
Japanese,21,えんぴつ,62,understands,0
Japanese,22,えんぴつ,31,produces,0.129
Japanese,22,えんぴつ,31,understands,0
Japanese,23,えんぴつ,67,produces,0.2388
Japanese,23,えんぴつ,67,understands,0
Japanese,24,えんぴつ,33,produces,0.2727
Japanese,24,えんぴつ,33,understands,0
Japanese,25,えんぴつ,34,produces,0.3824
Japanese,25,えんぴつ,34,understands,0
Japanese,26,えんぴつ,33,produces,0.3636
Japanese,26,えんぴつ,33,understands,0
Japanese,27,えんぴつ,15,produces,0.3333
Japanese,27,えんぴつ,15,understands,0
Japanese,28,えんぴつ,18,produces,0.3333
Japanese,28,えんぴつ,18,understands,0
Japanese,29,えんぴつ,17,produces,0.5294
Japanese,29,えんぴつ,17,understands,0
Japanese,30,えんぴつ,18,produces,0.5
Japanese,30,えんぴつ,18,understands,0
Japanese,31,えんぴつ,18,produces,0.3333
Japanese,31,えんぴつ,18,understands,0
Japanese,32,えんぴつ,13,produces,0.6923
Japanese,32,えんぴつ,13,understands,0
Japanese,33,えんぴつ,16,produces,0.625
Japanese,33,えんぴつ,16,understands,0
Japanese,34,えんぴつ,13,produces,0.7692
Japanese,34,えんぴつ,13,understands,0
Japanese,35,えんぴつ,31,produces,0.8387
Japanese,35,えんぴつ,31,understands,0
Japanese,36,えんぴつ,18,produces,0.8889
Japanese,36,えんぴつ,18,understands,0
Kigiriama,16,Penseli/Kalamu ya mahe,1,produces,0
Kigiriama,16,Penseli/Kalamu ya mahe,1,understands,0
Kigiriama,17,Penseli/Kalamu ya mahe,6,produces,0
Kigiriama,17,Penseli/Kalamu ya mahe,6,understands,0
Kigiriama,18,Penseli/Kalamu ya mahe,13,produces,0
Kigiriama,18,Penseli/Kalamu ya mahe,13,understands,0
Kigiriama,19,Penseli/Kalamu ya mahe,8,produces,0
Kigiriama,19,Penseli/Kalamu ya mahe,8,understands,0
Kigiriama,20,Penseli/Kalamu ya mahe,14,produces,0
