language,sex,age,words,n,measure,prop
American Sign Language,All,8,PEOPLE,1,produces,0
American Sign Language,All,8,PEOPLE,1,understands,0
American Sign Language,All,9,PEOPLE,4,produces,0
American Sign Language,All,9,PEOPLE,4,understands,0
American Sign Language,All,10,PEOPLE,5,produces,0
American Sign Language,All,10,PEOPLE,5,understands,0.2
American Sign Language,All,11,PEOPLE,3,produces,0
American Sign Language,All,11,PEOPLE,3,understands,0
American Sign Language,All,12,PEOPLE,4,produces,0
American Sign Language,All,12,PEOPLE,4,understands,0
American Sign Language,All,13,PEOPLE,4,produces,0
American Sign Language,All,13,PEOPLE,4,understands,0
American Sign Language,All,14,PEOPLE,1,produces,0
American Sign Language,All,14,PEOPLE,1,understands,0
American Sign Language,All,15,PEOPLE,3,produces,0
American Sign Language,All,15,PEOPLE,3,understands,0
American Sign Language,All,16,PEOPLE,2,produces,0
American Sign Language,All,16,PEOPLE,2,understands,0
American Sign Language,All,17,PEOPLE,5,produces,0
American Sign Language,All,17,PEOPLE,5,understands,0.2
American Sign Language,All,18,PEOPLE,11,produces,0.0909
American Sign Language,All,18,PEOPLE,11,understands,0.2727
American Sign Language,All,19,PEOPLE,6,produces,0
American Sign Language,All,19,PEOPLE,6,understands,0.2857
American Sign Language,All,20,PEOPLE,3,produces,0
American Sign Language,All,20,PEOPLE,3,understands,0.25
American Sign Language,All,21,PEOPLE,4,produces,0.2
American Sign Language,All,21,PEOPLE,4,understands,0.4
American Sign Language,All,22,PEOPLE,10,produces,0
American Sign Language,All,22,PEOPLE,10,understands,0.0833
American Sign Language,All,23,PEOPLE,5,produces,0.1667
American Sign Language,All,23,PEOPLE,5,understands,0.1667
American Sign Language,All,24,PEOPLE,9,produces,0.1667
American Sign Language,All,24,PEOPLE,9,understands,0.25
American Sign Language,All,25,PEOPLE,13,produces,0.0769
American Sign Language,All,25,PEOPLE,13,understands,0.6154
American Sign Language,All,26,PEOPLE,4,produces,0
American Sign Language,All,26,PEOPLE,4,understands,0.25
American Sign Language,All,27,PEOPLE,7,produces,0.125
American Sign Language,All,27,PEOPLE,7,understands,0.5
American Sign Language,All,28,PEOPLE,7,produces,0.125
American Sign Language,All,28,PEOPLE,7,understands,0.5
