language,sex,age,words,n,measure,prop
American Sign Language,All,8,PINK,1,produces,0
American Sign Language,All,8,PINK,1,understands,0
American Sign Language,All,9,PINK,4,produces,0
American Sign Language,All,9,PINK,4,understands,0
American Sign Language,All,10,PINK,5,produces,0
American Sign Language,All,10,PINK,5,understands,0.2
American Sign Language,All,11,PINK,3,produces,0
American Sign Language,All,11,PINK,3,understands,0
American Sign Language,All,12,PINK,4,produces,0
American Sign Language,All,12,PINK,4,understands,0
American Sign Language,All,13,PINK,4,produces,0
American Sign Language,All,13,PINK,4,understands,0
American Sign Language,All,14,PINK,1,produces,0
American Sign Language,All,14,PINK,1,understands,0
American Sign Language,All,15,PINK,3,produces,0
American Sign Language,All,15,PINK,3,understands,0
American Sign Language,All,16,PINK,2,produces,0
American Sign Language,All,16,PINK,2,understands,0
American Sign Language,All,17,PINK,5,produces,0
American Sign Language,All,17,PINK,5,understands,0
American Sign Language,All,18,PINK,11,produces,0.1818
American Sign Language,All,18,PINK,11,understands,0.1818
American Sign Language,All,19,PINK,6,produces,0.1667
American Sign Language,All,19,PINK,6,understands,0.1667
American Sign Language,All,20,PINK,3,produces,0
American Sign Language,All,20,PINK,3,understands,0.3333
American Sign Language,All,21,PINK,4,produces,0.25
American Sign Language,All,21,PINK,4,understands,0.75
American Sign Language,All,22,PINK,10,produces,0.2
American Sign Language,All,22,PINK,10,understands,0.3
American Sign Language,All,23,PINK,5,produces,0.6
American Sign Language,All,23,PINK,5,understands,0.4
American Sign Language,All,24,PINK,9,produces,0.3333
American Sign Language,All,24,PINK,9,understands,0.4444
American Sign Language,All,25,PINK,13,produces,0.1538
American Sign Language,All,25,PINK,13,understands,0.5385
American Sign Language,All,26,PINK,4,produces,0.5
American Sign Language,All,26,PINK,4,understands,1
American Sign Language,All,27,PINK,7,produces,0.2857
American Sign Language,All,27,PINK,7,understands,0.5714
American Sign Language,All,28,PINK,7,produces,0.8571
American Sign Language,All,28,PINK,7,understands,0.4286
American Sign Language,All,29,PINK,6,produces,0.6667
American Sign Language,All,29,PINK,6,understands,1
American Sign Language,All,30,PINK,7,produces,0.7143
American Sign Language,All,30,PINK,7,understands,0.5714
American Sign Language,All,31,PINK,9,produces,0.4444
American Sign Language,All,31,PINK,9,understands,0.4444
American Sign Language,All,32,PINK,15,produces,0.8
American Sign Language,All,32,PINK,15,understands,0.5333
American Sign Language,All,33,PINK,6,produces,1
American Sign Language,All,33,PINK,6,understands,0.8333
American Sign Language,All,34,PINK,7,produces,0.8571
American Sign Language,All,34,PINK,7,understands,0.7143
American Sign Language,All,35,PINK,7,produces,0.2857
American Sign Language,All,35,PINK,7,understands,0.5714
American Sign Language,All,36,PINK,3,produces,0
American Sign Language,All,36,PINK,3,understands,0.6667
Arabic (Saudi),All,8,زهري/ بمبي,19,produces,0
Arabic (Saudi),All,8,زهري/ بمبي,19,understands,0
