language,sex,age,words,n,measure,prop
American Sign Language,All,8,PLATE,1,produces,0
American Sign Language,All,8,PLATE,1,understands,0
American Sign Language,All,9,PLATE,4,produces,0
American Sign Language,All,9,PLATE,4,understands,0
American Sign Language,All,10,PLATE,5,produces,0
American Sign Language,All,10,PLATE,5,understands,0
American Sign Language,All,11,PLATE,3,produces,0
American Sign Language,All,11,PLATE,3,understands,0
American Sign Language,All,12,PLATE,4,produces,0
American Sign Language,All,12,PLATE,4,understands,0.25
American Sign Language,All,13,PLATE,4,produces,0
American Sign Language,All,13,PLATE,4,understands,0
American Sign Language,All,14,PLATE,1,produces,0
American Sign Language,All,14,PLATE,1,understands,0
American Sign Language,All,15,PLATE,3,produces,0
American Sign Language,All,15,PLATE,3,understands,0
American Sign Language,All,16,PLATE,2,produces,0
American Sign Language,All,16,PLATE,2,understands,0
American Sign Language,All,17,PLATE,5,produces,0.2
American Sign Language,All,17,PLATE,5,understands,0.2
American Sign Language,All,18,PLATE,11,produces,0.1818
American Sign Language,All,18,PLATE,11,understands,0.5455
American Sign Language,All,19,PLATE,6,produces,0.1667
American Sign Language,All,19,PLATE,6,understands,0.1667
American Sign Language,All,20,PLATE,3,produces,0.3333
American Sign Language,All,20,PLATE,3,understands,0.3333
American Sign Language,All,21,PLATE,4,produces,0
American Sign Language,All,21,PLATE,4,understands,0.5
American Sign Language,All,22,PLATE,10,produces,0.1
American Sign Language,All,22,PLATE,10,understands,0.5
American Sign Language,All,23,PLATE,5,produces,0.4
American Sign Language,All,23,PLATE,5,understands,0.4
American Sign Language,All,24,PLATE,9,produces,0
American Sign Language,All,24,PLATE,9,understands,0
American Sign Language,All,25,PLATE,13,produces,0.2308
American Sign Language,All,25,PLATE,13,understands,0.6154
American Sign Language,All,26,PLATE,4,produces,0
American Sign Language,All,26,PLATE,4,understands,0.75
American Sign Language,All,27,PLATE,7,produces,0.1429
American Sign Language,All,27,PLATE,7,understands,0.4286
American Sign Language,All,28,PLATE,7,produces,0.4286
American Sign Language,All,28,PLATE,7,understands,0.5714
American Sign Language,All,29,PLATE,6,produces,0.6667
American Sign Language,All,29,PLATE,6,understands,1
American Sign Language,All,30,PLATE,7,produces,0.7143
American Sign Language,All,30,PLATE,7,understands,0.5714
American Sign Language,All,31,PLATE,9,produces,0.5556
American Sign Language,All,31,PLATE,9,understands,0.4444
American Sign Language,All,32,PLATE,15,produces,0.6667
American Sign Language,All,32,PLATE,15,understands,0.4
American Sign Language,All,33,PLATE,6,produces,0.6667
American Sign Language,All,33,PLATE,6,understands,0.8333
American Sign Language,All,34,PLATE,7,produces,0.8571
American Sign Language,All,34,PLATE,7,understands,0.7143
American Sign Language,All,35,PLATE,7,produces,0.4286
American Sign Language,All,35,PLATE,7,understands,0.5714
American Sign Language,All,36,PLATE,3,produces,0.3333
American Sign Language,All,36,PLATE,3,understands,0.6667
Arabic (Saudi),All,8,صحن,24,produces,0
Arabic (Saudi),All,8,صحن,24,understands,0.0833
Arabic (Saudi),All,9,صحن,27,produces,0
Arabic (Saudi),All,9,صحن,27,understands,0
Arabic (Saudi),All,10,صحن,35,produces,0
Arabic (Saudi),All,10,صحن,35,understands,0.0857
Arabic (Saudi),All,11,صحن,30,produces,0.0333
Arabic (Saudi),All,11,صحن,30,understands,0.0333
Arabic (Saudi),All,12,صحن,30,produces,0.0333
Arabic (Saudi),All,12,صحن,30,understands,0.1333
Arabic (Saudi),All,13,صحن,39,produces,0.0256
Arabic (Saudi),All,13,صحن,39,understands,0
Arabic (Saudi),All,14,صحن,25,produces,0
Arabic (Saudi),All,14,صحن,25,understands,0.08
Arabic (Saudi),All,15,صحن,27,produces,0.0741
Arabic (Saudi),All,15,صحن,27,understands,0.1852
Arabic (Saudi),All,16,صحن,21,produces,0.0476
Arabic (Saudi),All,16,صحن,21,understands,0.0952
British Sign Language,All,8,plate,4,produces,0
British Sign Language,All,8,plate,4,understands,0
British Sign Language,All,9,plate,4,produces,0
British Sign Language,All,9,plate,4,understands,0
British Sign Language,All,10,plate,4,produces,0
British Sign Language,All,10,plate,4,understands,0
British Sign Language,All,11,plate,6,produces,0
British Sign Language,All,11,plate,6,understands,0
British Sign Language,All,12,plate,6,produces,0
British Sign Language,All,12,plate,6,understands,0
British Sign Language,All,13,plate,6,produces,0
British Sign Language,All,13,plate,6,understands,0
British Sign Language,All,14,plate,7,produces,0
British Sign Language,All,14,plate,7,understands,0.1429
British Sign Language,All,15,plate,6,produces,0
British Sign Language,All,15,plate,6,understands,0
British Sign Language,All,16,plate,7,produces,0
British Sign Language,All,16,plate,7,understands,0
British Sign Language,All,17,plate,7,produces,0
British Sign Language,All,17,plate,7,understands,0.1429
British Sign Language,All,18,plate,8,produces,0
British Sign Language,All,18,plate,8,understands,0.125
British Sign Language,All,19,plate,8,produces,0
British Sign Language,All,19,plate,8,understands,0
British Sign Language,All,20,plate,11,produces,0.3636
British Sign Language,All,20,plate,11,understands,0.6364
British Sign Language,All,21,plate,5,produces,0
British Sign Language,All,21,plate,5,understands,0
British Sign Language,All,22,plate,6,produces,0.1667
British Sign Language,All,22,plate,6,understands,0.1667
British Sign Language,All,23,plate,7,produces,0.4286
British Sign Language,All,23,plate,7,understands,0.5714
British Sign Language,All,24,plate,5,produces,0.2
British Sign Language,All,24,plate,5,understands,0.4
British Sign Language,All,25,plate,7,produces,0.2857
British Sign Language,All,25,plate,7,understands,0.5714
British Sign Language,All,26,plate,6,produces,0.6667
British Sign Language,All,26,plate,6,understands,0.8333
British Sign Language,All,27,plate,6,produces,0.3333
British Sign Language,All,27,plate,6,understands,0.5
British Sign Language,All,28,plate,3,produces,0
British Sign Language,All,28,plate,3,understands,0.6667
British Sign Language,All,29,plate,7,produces,0.7143
British Sign Language,All,29,plate,7,understands,1
British Sign Language,All,30,plate,5,produces,0.8
British Sign Language,All,30,plate,5,understands,0.8
British Sign Language,All,31,plate,2,produces,0.5
British Sign Language,All,31,plate,2,understands,0.5
British Sign Language,All,32,plate,6,produces,1
British Sign Language,All,32,plate,6,understands,1
British Sign Language,All,33,plate,5,produces,0.4
British Sign Language,All,33,plate,5,understands,0.8
British Sign Language,All,34,plate,2,produces,0
British Sign Language,All,34,plate,2,understands,0.5
British Sign Language,All,35,plate,2,produces,0.5
British Sign Language,All,35,plate,2,understands,1
British Sign Language,All,36,plate,3,produces,1
British Sign Language,All,36,plate,3,understands,1
Cantonese,All,16,碟,46,produces,0.0217
Cantonese,All,16,碟,46,understands,0
Cantonese,All,17,碟,61,produces,0.0164
Cantonese,All,17,碟,61,understands,0
Cantonese,All,18,碟,68,produces,0.0441
Cantonese,All,18,碟,68,understands,0
Cantonese,All,19,碟,66,produces,0.0606
Cantonese,All,19,碟,66,understands,0
Cantonese,All,20,碟,140,produces,0.1571
Cantonese,All,20,碟,140,understands,0
Cantonese,All,21,碟,120,produces,0.1833
Cantonese,All,21,碟,120,understands,0
Cantonese,All,22,碟,68,produces,0.2206
Cantonese,All,22,碟,68,understands,0
Cantonese,All,23,碟,74,produces,0.3108
Cantonese,All,23,碟,74,understands,0
Cantonese,All,24,碟,68,produces,0.4412
Cantonese,All,24,碟,68,understands,0
Cantonese,All,25,碟,65,produces,0.4462
Cantonese,All,25,碟,65,understands,0
Cantonese,All,26,碟,68,produces,0.4853
Cantonese,All,26,碟,68,understands,0
Cantonese,All,27,碟,62,produces,0.6935
Cantonese,All,27,碟,62,understands,0
Cantonese,All,28,碟,66,produces,0.6515
Cantonese,All,28,碟,66,understands,0
Cantonese,All,29,碟,72,produces,0.6944
Cantonese,All,29,碟,72,understands,0
Cantonese,All,30,碟,164,produces,0.7622
Cantonese,All,30,碟,164,understands,0
Catalan,All,8,plat,39,produces,0
Catalan,All,8,plat,39,understands,0.0256
Catalan,All,9,plat,46,produces,0
Catalan,All,9,plat,46,understands,0.0217
Catalan,All,10,plat,43,produces,0
Catalan,All,10,plat,43,understands,0.0698
Catalan,All,11,plat,43,produces,0.0233
Catalan,All,11,plat,43,understands,0.1163
Catalan,All,12,plat,59,produces,0
Catalan,All,12,plat,59,understands,0.1525
Catalan,All,13,plat,44,produces,0
Catalan,All,13,plat,44,understands,0.25
Catalan,All,14,plat,60,produces,0
Catalan,All,14,plat,60,understands,0.3833
Catalan,All,15,plat,70,produces,0.0143
Catalan,All,15,plat,70,understands,0.5714
Catalan,All,16,plat,73,produces,0.0274
Catalan,All,16,plat,73,understands,0.411
Catalan,All,17,plat,110,produces,0.0545
Catalan,All,17,plat,110,understands,0.4727
Catalan,All,18,plat,102,produces,0.1667
Catalan,All,18,plat,102,understands,0.4216
Catalan,All,19,plat,45,produces,0.2667
Catalan,All,19,plat,45,understands,0
Catalan,All,20,plat,56,produces,0.25
Catalan,All,20,plat,56,understands,0
Catalan,All,21,plat,58,produces,0.431
Catalan,All,21,plat,58,understands,0
Catalan,All,22,plat,50,produces,0.6
Catalan,All,22,plat,50,understands,0
Catalan,All,23,plat,66,produces,0.5455
Catalan,All,23,plat,66,understands,0
Catalan,All,24,plat,79,produces,0.7595
Catalan,All,24,plat,79,understands,0
Catalan,All,25,plat,60,produces,0.7833
Catalan,All,25,plat,60,understands,0
Catalan,All,26,plat,65,produces,0.8
Catalan,All,26,plat,65,understands,0
Catalan,All,27,plat,63,produces,0.8889
Catalan,All,27,plat,63,understands,0
Catalan,All,28,plat,81,produces,0.8889
Catalan,All,28,plat,81,understands,0
Catalan,All,29,plat,50,produces,0.94
Catalan,All,29,plat,50,understands,0
Catalan,All,30,plat,75,produces,0.8933
Catalan,All,30,plat,75,understands,0
Croatian,All,8,tanjur,23,produces,0
Croatian,All,8,tanjur,23,understands,0
Croatian,All,9,tanjur,25,produces,0
Croatian,All,9,tanjur,25,understands,0.08
Croatian,All,10,tanjur,22,produces,0
Croatian,All,10,tanjur,22,understands,0
Croatian,All,11,tanjur,25,produces,0
Croatian,All,11,tanjur,25,understands,0.16
Croatian,All,12,tanjur,35,produces,0
Croatian,All,12,tanjur,35,understands,0.0857
Croatian,All,13,tanjur,34,produces,0
Croatian,All,13,tanjur,34,understands,0.3529
Croatian,All,14,tanjur,28,produces,0.0357
Croatian,All,14,tanjur,28,understands,0.6071
Croatian,All,15,tanjur,24,produces,0
Croatian,All,15,tanjur,24,understands,0.625
Croatian,All,16,tanjur,47,produces,0.0851
Croatian,All,16,tanjur,47,understands,0.4681
Croatian,All,17,tanjur,25,produces,0
Croatian,All,17,tanjur,25,understands,0
Croatian,All,18,tanjur,22,produces,0.1364
Croatian,All,18,tanjur,22,understands,0
Croatian,All,19,tanjur,21,produces,0.1429
Croatian,All,19,tanjur,21,understands,0
Croatian,All,20,tanjur,26,produces,0.2308
Croatian,All,20,tanjur,26,understands,0
Croatian,All,21,tanjur,29,produces,0.2759
Croatian,All,21,tanjur,29,understands,0
Croatian,All,22,tanjur,24,produces,0.3333
Croatian,All,22,tanjur,24,understands,0
Croatian,All,23,tanjur,26,produces,0.4615
Croatian,All,23,tanjur,26,understands,0
Croatian,All,24,tanjur,30,produces,0.5
Croatian,All,24,tanjur,30,understands,0
Croatian,All,25,tanjur,30,produces,0.5667
Croatian,All,25,tanjur,30,understands,0
Croatian,All,26,tanjur,29,produces,0.7586
Croatian,All,26,tanjur,29,understands,0
Croatian,All,27,tanjur,25,produces,0.84
Croatian,All,27,tanjur,25,understands,0
Croatian,All,28,tanjur,21,produces,0.9048
Croatian,All,28,tanjur,21,understands,0
Croatian,All,29,tanjur,28,produces,0.7857
Croatian,All,29,tanjur,28,understands,0
Croatian,All,30,tanjur,28,produces,0.8929
Croatian,All,30,tanjur,28,understands,0
Czech,All,16,talíř,29,produces,0
Czech,All,16,talíř,29,understands,0
Czech,All,17,talíř,29,produces,0
Czech,All,17,talíř,29,understands,0
Czech,All,18,talíř,45,produces,0.0222
Czech,All,18,talíř,45,understands,0
Czech,All,19,talíř,27,produces,0.037
Czech,All,19,talíř,27,understands,0
Czech,All,20,talíř,26,produces,0.2308
Czech,All,20,talíř,26,understands,0
Czech,All,21,talíř,34,produces,0.1765
Czech,All,21,talíř,34,understands,0
Czech,All,22,talíř,36,produces,0.1944
Czech,All,22,talíř,36,understands,0
Czech,All,23,talíř,46,produces,0.3913
Czech,All,23,talíř,46,understands,0
Czech,All,24,talíř,35,produces,0.3714
Czech,All,24,talíř,35,understands,0
Czech,All,25,talíř,35,produces,0.4571
Czech,All,25,talíř,35,understands,0
Czech,All,26,talíř,22,produces,0.5909
Czech,All,26,talíř,22,understands,0
Czech,All,27,talíř,37,produces,0.4865
Czech,All,27,talíř,37,understands,0
Czech,All,28,talíř,26,produces,0.7692
Czech,All,28,talíř,26,understands,0
Czech,All,29,talíř,39,produces,0.6667
Czech,All,29,talíř,39,understands,0
Czech,All,30,talíř,27,produces,0.7778
Czech,All,30,talíř,27,understands,0
Danish,All,8,tallerken,174,produces,0
Danish,All,8,tallerken,174,understands,0.0402
Danish,All,9,tallerken,196,produces,0
Danish,All,9,tallerken,196,understands,0.0153
Danish,All,10,tallerken,182,produces,0
Danish,All,10,tallerken,182,understands,0.0659
Danish,All,11,tallerken,200,produces,0
Danish,All,11,tallerken,200,understands,0.09
Danish,All,12,tallerken,188,produces,0.0053
Danish,All,12,tallerken,188,understands,0.1755
Danish,All,13,tallerken,216,produces,0
Danish,All,13,tallerken,216,understands,0.2731
Danish,All,14,tallerken,178,produces,0
Danish,All,14,tallerken,178,understands,0.3652
Danish,All,15,tallerken,203,produces,0
Danish,All,15,tallerken,203,understands,0.4532
Danish,All,16,tallerken,359,produces,0.0195
Danish,All,16,tallerken,359,understands,0.2646
Danish,All,17,tallerken,346,produces,0.0376
Danish,All,17,tallerken,346,understands,0.3353
Danish,All,18,tallerken,358,produces,0.0531
Danish,All,18,tallerken,358,understands,0.4469
Danish,All,19,tallerken,361,produces,0.0859
Danish,All,19,tallerken,361,understands,0.349
Danish,All,20,tallerken,358,produces,0.2123
Danish,All,20,tallerken,358,understands,0.3883
Danish,All,21,tallerken,236,produces,0.2669
Danish,All,21,tallerken,236,understands,0
Danish,All,22,tallerken,235,produces,0.417
Danish,All,22,tallerken,235,understands,0
Danish,All,23,tallerken,190,produces,0.4632
Danish,All,23,tallerken,190,understands,0
Danish,All,24,tallerken,216,produces,0.5602
Danish,All,24,tallerken,216,understands,0
Danish,All,25,tallerken,138,produces,0.6594
Danish,All,25,tallerken,138,understands,0
Danish,All,26,tallerken,206,produces,0.7718
Danish,All,26,tallerken,206,understands,0
Danish,All,27,tallerken,176,produces,0.7955
Danish,All,27,tallerken,176,understands,0
Danish,All,28,tallerken,190,produces,0.8211
Danish,All,28,tallerken,190,understands,0
Danish,All,29,tallerken,182,produces,0.8736
Danish,All,29,tallerken,182,understands,0
Danish,All,30,tallerken,173,produces,0.9364
Danish,All,30,tallerken,173,understands,0
Danish,All,31,tallerken,175,produces,0.9257
Danish,All,31,tallerken,175,understands,0
Danish,All,32,tallerken,143,produces,0.951
Danish,All,32,tallerken,143,understands,0
Danish,All,33,tallerken,151,produces,0.9603
Danish,All,33,tallerken,151,understands,0
Danish,All,34,tallerken,143,produces,0.993
Danish,All,34,tallerken,143,understands,0
Danish,All,35,tallerken,113,produces,0.9823
Danish,All,35,tallerken,113,understands,0
Danish,All,36,tallerken,126,produces,0.9841
Danish,All,36,tallerken,126,understands,0
Dutch,All,8,bord,7,produces,0
Dutch,All,8,bord,7,understands,0
Dutch,All,9,bord,97,produces,0
Dutch,All,9,bord,97,understands,0.0825
Dutch,All,10,bord,128,produces,0
Dutch,All,10,bord,128,understands,0.1328
Dutch,All,11,bord,9,produces,0
Dutch,All,11,bord,9,understands,0.2222
Dutch,All,12,bord,8,produces,0
Dutch,All,12,bord,8,understands,0
Dutch,All,13,bord,6,produces,0
Dutch,All,13,bord,6,understands,0.1667
Dutch,All,14,bord,35,produces,0
Dutch,All,14,bord,35,understands,0.1714
Dutch,All,15,bord,78,produces,0.0385
Dutch,All,15,bord,78,understands,0.5641
Dutch,All,16,bord,88,produces,0.0568
Dutch,All,16,bord,88,understands,0.5568
Dutch,All,17,bord,90,produces,0.1
Dutch,All,17,bord,90,understands,0.2778
Dutch,All,18,bord,247,produces,0.0729
Dutch,All,18,bord,247,understands,0.3765
Dutch,All,19,bord,103,produces,0.0583
Dutch,All,19,bord,103,understands,0.3204
Dutch,All,20,bord,55,produces,0.2
Dutch,All,20,bord,55,understands,0.6
Dutch,All,21,bord,14,produces,0.2143
Dutch,All,21,bord,14,understands,0.2857
Dutch,All,22,bord,7,produces,0.4286
Dutch,All,22,bord,7,understands,0
Dutch,All,23,bord,51,produces,0.6667
Dutch,All,23,bord,51,understands,0
Dutch,All,24,bord,42,produces,0.7619
Dutch,All,24,bord,42,understands,0.2619
Dutch,All,25,bord,21,produces,0.8571
Dutch,All,25,bord,21,understands,0.7143
Dutch,All,26,bord,7,produces,0.5714
Dutch,All,26,bord,7,understands,0.1429
Dutch,All,27,bord,5,produces,0.8
Dutch,All,27,bord,5,understands,0
Dutch,All,28,bord,15,produces,1
Dutch,All,28,bord,15,understands,0.6
Dutch,All,29,bord,52,produces,0.9231
Dutch,All,29,bord,52,understands,0.5577
Dutch,All,30,bord,28,produces,1
Dutch,All,30,bord,28,understands,0.1429
Dutch,All,31,bord,7,produces,0.8571
Dutch,All,31,bord,7,understands,0.7143
English (American),All,8,plate,255,produces,0
English (American),All,8,plate,255,understands,0.0353
English (American),All,9,plate,299,produces,0.0033
English (American),All,9,plate,299,understands,0.0435
English (American),All,10,plate,279,produces,0.0143
English (American),All,10,plate,279,understands,0.0502
English (American),All,11,plate,360,produces,0.0194
English (American),All,11,plate,360,understands,0.0778
English (American),All,12,plate,615,produces,0.0098
English (American),All,12,plate,615,understands,0.1122
English (American),All,13,plate,1039,produces,0.0106
English (American),All,13,plate,1039,understands,0.153
English (American),All,14,plate,455,produces,0.0132
English (American),All,14,plate,455,understands,0.2176
English (American),All,15,plate,245,produces,0.0367
English (American),All,15,plate,245,understands,0.3224
English (American),All,16,plate,1750,produces,0.0326
English (American),All,16,plate,1750,understands,0.1983
English (American),All,17,plate,840,produces,0.0643
English (American),All,17,plate,840,understands,0.1833
English (American),All,18,plate,1047,produces,0.0993
English (American),All,18,plate,1047,understands,0.1901
English (American),All,19,plate,579,produces,0.1554
English (American),All,19,plate,579,understands,0
English (American),All,20,plate,546,produces,0.185
English (American),All,20,plate,546,understands,0
English (American),All,21,plate,377,produces,0.2918
English (American),All,21,plate,377,understands,0
English (American),All,22,plate,456,produces,0.318
English (American),All,22,plate,456,understands,0
English (American),All,23,plate,470,produces,0.4681
English (American),All,23,plate,470,understands,0
English (American),All,24,plate,985,produces,0.5046
English (American),All,24,plate,985,understands,0
English (American),All,25,plate,757,produces,0.5773
English (American),All,25,plate,757,understands,0
English (American),All,26,plate,435,produces,0.6
English (American),All,26,plate,435,understands,0
English (American),All,27,plate,361,produces,0.6371
English (American),All,27,plate,361,understands,0
English (American),All,28,plate,954,produces,0.8134
English (American),All,28,plate,954,understands,0
English (American),All,29,plate,390,produces,0.7436
English (American),All,29,plate,390,understands,0
English (American),All,30,plate,785,produces,0.721
English (American),All,30,plate,785,understands,0
English (Australian),All,12,plate,71,produces,0
English (Australian),All,12,plate,71,understands,0
English (Australian),All,13,plate,64,produces,0
English (Australian),All,13,plate,64,understands,0
English (Australian),All,14,plate,111,produces,0.0541
English (Australian),All,14,plate,111,understands,0
English (Australian),All,15,plate,69,produces,0.029
English (Australian),All,15,plate,69,understands,0
English (Australian),All,16,plate,60,produces,0.0333
English (Australian),All,16,plate,60,understands,0
English (Australian),All,17,plate,104,produces,0.0577
English (Australian),All,17,plate,104,understands,0
English (Australian),All,18,plate,109,produces,0.1009
English (Australian),All,18,plate,109,understands,0
English (Australian),All,19,plate,124,produces,0.1774
English (Australian),All,19,plate,124,understands,0
English (Australian),All,20,plate,78,produces,0.3077
English (Australian),All,20,plate,78,understands,0
English (Australian),All,21,plate,68,produces,0.3382
English (Australian),All,21,plate,68,understands,0
English (Australian),All,22,plate,73,produces,0.5205
English (Australian),All,22,plate,73,understands,0
English (Australian),All,23,plate,71,produces,0.5634
English (Australian),All,23,plate,71,understands,0
English (Australian),All,24,plate,76,produces,0.6053
English (Australian),All,24,plate,76,understands,0
English (Australian),All,25,plate,85,produces,0.6588
English (Australian),All,25,plate,85,understands,0
English (Australian),All,26,plate,77,produces,0.8052
English (Australian),All,26,plate,77,understands,0
English (Australian),All,27,plate,72,produces,0.8333
English (Australian),All,27,plate,72,understands,0
English (Australian),All,28,plate,67,produces,0.806
English (Australian),All,28,plate,67,understands,0
English (Australian),All,29,plate,65,produces,0.8
English (Australian),All,29,plate,65,understands,0
English (Australian),All,30,plate,53,produces,0.9623
English (Australian),All,30,plate,53,understands,0
English (British),All,12,plate,27,produces,0
English (British),All,12,plate,27,understands,0
English (British),All,13,plate,7,produces,0
English (British),All,13,plate,7,understands,0
English (British),All,14,plate,64,produces,0
English (British),All,14,plate,64,understands,0.1562
English (British),All,15,plate,88,produces,0
English (British),All,15,plate,88,understands,0.1136
English (British),All,16,plate,118,produces,0
English (British),All,16,plate,118,understands,0.3051
English (British),All,17,plate,197,produces,0.0406
English (British),All,17,plate,197,understands,0.3655
English (British),All,18,plate,118,produces,0.0678
English (British),All,18,plate,118,understands,0.3814
English (British),All,19,plate,109,produces,0.1468
English (British),All,19,plate,109,understands,0.5596
English (British),All,20,plate,146,produces,0.1849
English (British),All,20,plate,146,understands,0.5959
English (British),All,21,plate,82,produces,0.3049
English (British),All,21,plate,82,understands,0.6585
English (British),All,22,plate,296,produces,0.4899
English (British),All,22,plate,296,understands,0.0743
English (British),All,23,plate,2973,produces,0.4924
English (British),All,23,plate,2973,understands,0.0306
English (British),All,24,plate,6498,produces,0.5409
English (British),All,24,plate,6498,understands,0.0112
English (British),All,25,plate,843,produces,0.5896
English (British),All,25,plate,843,understands,0.0344
English (British),All,26,plate,282,produces,0.656
English (British),All,26,plate,282,understands,0
English (British),All,27,plate,149,produces,0.6711
English (British),All,27,plate,149,understands,0
English (British),All,28,plate,93,produces,0.6989
English (British),All,28,plate,93,understands,0
English (British),All,29,plate,90,produces,0.7889
English (British),All,29,plate,90,understands,0
English (British),All,30,plate,49,produces,0.9796
English (British),All,30,plate,49,understands,0
English (British),All,31,plate,48,produces,0.8542
English (British),All,31,plate,48,understands,0
English (British),All,32,plate,27,produces,0.8148
English (British),All,32,plate,27,understands,0
English (British),All,33,plate,15,produces,0.9333
English (British),All,33,plate,15,understands,0
English (British),All,34,plate,10,produces,0.3
English (British),All,34,plate,10,understands,0
English (British),All,35,plate,10,produces,0.7
English (British),All,35,plate,10,understands,0
English (Irish),All,17,plate,2,produces,0
