language,age,words,n,measure,prop
Mandarin (Beijing),17,插头,40,produces,0.025
Mandarin (Beijing),17,插头,40,understands,0
Mandarin (Beijing),18,插头,50,produces,0.02
Mandarin (Beijing),18,插头,50,understands,0
Mandarin (Beijing),19,插头,50,produces,0.04
Mandarin (Beijing),19,插头,50,understands,0
Mandarin (Beijing),20,插头,50,produces,0.06
Mandarin (Beijing),20,插头,50,understands,0
Mandarin (Beijing),21,插头,49,produces,0.102
Mandarin (Beijing),21,插头,49,understands,0
Mandarin (Beijing),22,插头,46,produces,0.0652
Mandarin (Beijing),22,插头,46,understands,0
Mandarin (Beijing),23,插头,50,produces,0.24
Mandarin (Beijing),23,插头,50,understands,0
Mandarin (Beijing),24,插头,50,produces,0.24
Mandarin (Beijing),24,插头,50,understands,0
Mandarin (Beijing),25,插头,43,produces,0.2093
Mandarin (Beijing),25,插头,43,understands,0
Mandarin (Beijing),26,插头,47,produces,0.3191
Mandarin (Beijing),26,插头,47,understands,0
Mandarin (Beijing),27,插头,44,produces,0.3182
Mandarin (Beijing),27,插头,44,understands,0
Mandarin (Beijing),28,插头,44,produces,0.4091
Mandarin (Beijing),28,插头,44,understands,0
Mandarin (Beijing),29,插头,49,produces,0.3469
Mandarin (Beijing),29,插头,49,understands,0
Mandarin (Beijing),30,插头,40,produces,0.5
Mandarin (Beijing),30,插头,40,understands,0
Mandarin (Taiwanese),16,插頭,80,produces,0
Mandarin (Taiwanese),16,插頭,80,understands,0
Mandarin (Taiwanese),17,插頭,87,produces,0
Mandarin (Taiwanese),17,插頭,87,understands,0
Mandarin (Taiwanese),18,插頭,84,produces,0
Mandarin (Taiwanese),18,插頭,84,understands,0
Mandarin (Taiwanese),19,插頭,84,produces,0.0357
Mandarin (Taiwanese),19,插頭,84,understands,0
Mandarin (Taiwanese),20,插頭,84,produces,0.0238
Mandarin (Taiwanese),20,插頭,84,understands,0
Mandarin (Taiwanese),21,插頭,88,produces,0.0455
Mandarin (Taiwanese),21,插頭,88,understands,0
Mandarin (Taiwanese),22,插頭,96,produces,0.125
Mandarin (Taiwanese),22,插頭,96,understands,0
Mandarin (Taiwanese),23,插頭,105,produces,0.0762
Mandarin (Taiwanese),23,插頭,105,understands,0
Mandarin (Taiwanese),24,插頭,124,produces,0.1774
Mandarin (Taiwanese),24,插頭,124,understands,0
Mandarin (Taiwanese),25,插頭,110,produces,0.1909
Mandarin (Taiwanese),25,插頭,110,understands,0
Mandarin (Taiwanese),26,插頭,87,produces,0.2299
Mandarin (Taiwanese),26,插頭,87,understands,0
Mandarin (Taiwanese),27,插頭,92,produces,0.2717
Mandarin (Taiwanese),27,插頭,92,understands,0
Mandarin (Taiwanese),28,插頭,100,produces,0.31
Mandarin (Taiwanese),28,插頭,100,understands,0
Mandarin (Taiwanese),29,插頭,88,produces,0.3636
Mandarin (Taiwanese),29,插頭,88,understands,0
Mandarin (Taiwanese),30,插頭,94,produces,0.3936
Mandarin (Taiwanese),30,插頭,94,understands,0
Mandarin (Taiwanese),31,插頭,88,produces,0.4659
Mandarin (Taiwanese),31,插頭,88,understands,0
Mandarin (Taiwanese),32,插頭,82,produces,0.5122
Mandarin (Taiwanese),32,插頭,82,understands,0
Mandarin (Taiwanese),33,插頭,85,produces,0.6706
Mandarin (Taiwanese),33,插頭,85,understands,0
Mandarin (Taiwanese),34,插頭,77,produces,0.5584
Mandarin (Taiwanese),34,插頭,77,understands,0
Mandarin (Taiwanese),35,插頭,81,produces,0.642
Mandarin (Taiwanese),35,插頭,81,understands,0
Mandarin (Taiwanese),36,插頭,81,produces,0.6173
Mandarin (Taiwanese),36,插頭,81,understands,0
Spanish (European),16,enchufe,39,produces,0.0256
Spanish (European),16,enchufe,39,understands,0
Spanish (European),17,enchufe,39,produces,0
Spanish (European),17,enchufe,39,understands,0
Spanish (European),18,enchufe,50,produces,0.02
Spanish (European),18,enchufe,50,understands,0
Spanish (European),19,enchufe,27,produces,0
Spanish (European),19,enchufe,27,understands,0
Spanish (European),20,enchufe,36,produces,0.0833
Spanish (European),20,enchufe,36,understands,0
Spanish (European),21,enchufe,41,produces,0.0244
Spanish (European),21,enchufe,41,understands,0
Spanish (European),22,enchufe,38,produces,0.0263
Spanish (European),22,enchufe,38,understands,0
Spanish (European),23,enchufe,30,produces,0.1667
Spanish (European),23,enchufe,30,understands,0
Spanish (European),24,enchufe,55,produces,0.1455
Spanish (European),24,enchufe,55,understands,0
Spanish (European),25,enchufe,35,produces,0.1714
Spanish (European),25,enchufe,35,understands,0
Spanish (European),26,enchufe,49,produces,0.2449
Spanish (European),26,enchufe,49,understands,0
Spanish (European),27,enchufe,34,produces,0.4118
Spanish (European),27,enchufe,34,understands,0
Spanish (European),28,enchufe,38,produces,0.2895
Spanish (European),28,enchufe,38,understands,0
Spanish (European),29,enchufe,41,produces,0.4146
Spanish (European),29,enchufe,41,understands,0
Spanish (European),30,enchufe,41,produces,0.3902
Spanish (European),30,enchufe,41,understands,0
Spanish (Peruvian),16,enchufe,13,produces,0
Spanish (Peruvian),16,enchufe,13,understands,0
Spanish (Peruvian),17,enchufe,9,produces,0.1111
Spanish (Peruvian),17,enchufe,9,understands,0
Spanish (Peruvian),18,enchufe,4,produces,0
Spanish (Peruvian),18,enchufe,4,understands,0
Spanish (Peruvian),19,enchufe,12,produces,0.0833
Spanish (Peruvian),19,enchufe,12,understands,0
Spanish (Peruvian),20,enchufe,1,produces,0
Spanish (Peruvian),20,enchufe,1,understands,0
Spanish (Peruvian),21,enchufe,5,produces,0
Spanish (Peruvian),21,enchufe,5,understands,0
Spanish (Peruvian),22,enchufe,9,produces,0.1111
Spanish (Peruvian),22,enchufe,9,understands,0
Spanish (Peruvian),23,enchufe,1,produces,1
Spanish (Peruvian),23,enchufe,1,understands,0
Spanish (Peruvian),24,enchufe,15,produces,0.0667
Spanish (Peruvian),24,enchufe,15,understands,0
Spanish (Peruvian),25,enchufe,5,produces,0
Spanish (Peruvian),25,enchufe,5,understands,0
Spanish (Peruvian),26,enchufe,8,produces,0
Spanish (Peruvian),26,enchufe,8,understands,0
Spanish (Peruvian),27,enchufe,7,produces,0.1429
Spanish (Peruvian),27,enchufe,7,understands,0
Spanish (Peruvian),28,enchufe,8,produces,0.125
Spanish (Peruvian),28,enchufe,8,understands,0
Spanish (Peruvian),29,enchufe,6,produces,0.3333
Spanish (Peruvian),29,enchufe,6,understands,0
Spanish (Peruvian),30,enchufe,2,produces,0
Spanish (Peruvian),30,enchufe,2,understands,0
Catalan,16,endoll,24,produces,0
Catalan,16,endoll,24,understands,0
Catalan,17,endoll,36,produces,0
Catalan,17,endoll,36,understands,0
Catalan,18,endoll,51,produces,0
Catalan,18,endoll,51,understands,0
Catalan,19,endoll,45,produces,0
Catalan,19,endoll,45,understands,0
Catalan,20,endoll,56,produces,0
Catalan,20,endoll,56,understands,0
Catalan,21,endoll,58,produces,0
Catalan,21,endoll,58,understands,0
Catalan,22,endoll,50,produces,0.04
Catalan,22,endoll,50,understands,0
Catalan,23,endoll,66,produces,0.0303
Catalan,23,endoll,66,understands,0
Catalan,24,endoll,79,produces,0.1013
Catalan,24,endoll,79,understands,0
Catalan,25,endoll,60,produces,0.1667
Catalan,25,endoll,60,understands,0
Catalan,26,endoll,65,produces,0.0462
Catalan,26,endoll,65,understands,0
Catalan,27,endoll,63,produces,0.127
Catalan,27,endoll,63,understands,0
Catalan,28,endoll,81,produces,0.1605
Catalan,28,endoll,81,understands,0
Catalan,29,endoll,50,produces,0.24
Catalan,29,endoll,50,understands,0
Catalan,30,endoll,75,produces,0.3333
Catalan,30,endoll,75,understands,0
