language,age,words,n,measure,prop
Japanese,8,うんち,6,produces,0
Japanese,8,うんち,6,understands,0.1667
Japanese,9,うんち,10,produces,0
Japanese,9,うんち,10,understands,0.2
Japanese,10,うんち,8,produces,0
Japanese,10,うんち,8,understands,0
Japanese,11,うんち,87,produces,0
Japanese,11,うんち,87,understands,0.1839
Japanese,12,うんち,118,produces,0
Japanese,12,うんち,118,understands,0.0847
Japanese,13,うんち,23,produces,0
Japanese,13,うんち,23,understands,0.1739
Japanese,14,うんち,26,produces,0
Japanese,14,うんち,26,understands,0.5
Japanese,15,うんち,72,produces,0.0139
Japanese,15,うんち,72,understands,0.4028
Japanese,16,うんち,46,produces,0.0435
Japanese,16,うんち,46,understands,0.3478
Japanese,17,うんち,77,produces,0.0909
Japanese,17,うんち,77,understands,0.5325
Japanese,18,うんち,94,produces,0.1383
Japanese,18,うんち,94,understands,0.2234
Japanese,19,うんち,35,produces,0.2857
Japanese,19,うんち,35,understands,0
Japanese,20,うんち,59,produces,0.4746
Japanese,20,うんち,59,understands,0
Japanese,21,うんち,62,produces,0.5806
Japanese,21,うんち,62,understands,0
Japanese,22,うんち,31,produces,0.6129
Japanese,22,うんち,31,understands,0
Japanese,23,うんち,67,produces,0.6119
Japanese,23,うんち,67,understands,0
Japanese,24,うんち,33,produces,0.697
Japanese,24,うんち,33,understands,0
Japanese,25,うんち,34,produces,0.7647
Japanese,25,うんち,34,understands,0
Japanese,26,うんち,33,produces,0.8182
Japanese,26,うんち,33,understands,0
Japanese,27,うんち,15,produces,0.8
Japanese,27,うんち,15,understands,0
Japanese,28,うんち,18,produces,0.9444
Japanese,28,うんち,18,understands,0
Japanese,29,うんち,17,produces,0.8235
Japanese,29,うんち,17,understands,0
Japanese,30,うんち,18,produces,0.8889
Japanese,30,うんち,18,understands,0
Japanese,31,うんち,18,produces,0.8889
Japanese,31,うんち,18,understands,0
Japanese,32,うんち,13,produces,1
Japanese,32,うんち,13,understands,0
Japanese,33,うんち,16,produces,1
Japanese,33,うんち,16,understands,0
Japanese,34,うんち,13,produces,0.9231
Japanese,34,うんち,13,understands,0
Japanese,35,うんち,31,produces,1
Japanese,35,うんち,31,understands,0
Japanese,36,うんち,18,produces,0.9444
Japanese,36,うんち,18,understands,0
Latvian,17,kakāt,27,produces,0.3333
Latvian,17,kakāt,27,understands,0
Latvian,18,kakāt,21,produces,0.4286
Latvian,18,kakāt,21,understands,0
Latvian,19,kakāt,28,produces,0.3571
Latvian,19,kakāt,28,understands,0
Latvian,20,kakāt,34,produces,0.4412
Latvian,20,kakāt,34,understands,0
Latvian,21,kakāt,26,produces,0.5385
Latvian,21,kakāt,26,understands,0
Latvian,22,kakāt,32,produces,0.7188
Latvian,22,kakāt,32,understands,0
Latvian,23,kakāt,25,produces,0.64
Latvian,23,kakāt,25,understands,0
Latvian,24,kakāt,30,produces,0.8333
Latvian,24,kakāt,30,understands,0
Latvian,25,kakāt,29,produces,0.7586
Latvian,25,kakāt,29,understands,0
Latvian,26,kakāt,22,produces,0.8182
Latvian,26,kakāt,22,understands,0
Latvian,27,kakāt,18,produces,0.7778
Latvian,27,kakāt,18,understands,0
Latvian,28,kakāt,23,produces,0.913
Latvian,28,kakāt,23,understands,0
Latvian,29,kakāt,24,produces,0.9167
Latvian,29,kakāt,24,understands,0
Latvian,30,kakāt,26,produces,0.8077
Latvian,30,kakāt,26,understands,0
Latvian,31,kakāt,19,produces,0.7895
Latvian,31,kakāt,19,understands,0
Latvian,32,kakāt,25,produces,0.8
Latvian,32,kakāt,25,understands,0
Latvian,33,kakāt,31,produces,0.9355
Latvian,33,kakāt,31,understands,0
Latvian,34,kakāt,17,produces,0.8824
Latvian,34,kakāt,17,understands,0
Latvian,35,kakāt,21,produces,0.9048
Latvian,35,kakāt,21,understands,0
Latvian,36,kakāt,22,produces,0.8182
Latvian,36,kakāt,22,understands,0
Mandarin (Beijing),16,拉屎/拉臭臭,70,produces,0.2286
Mandarin (Beijing),16,拉屎/拉臭臭,70,understands,0
Mandarin (Beijing),17,"拉屎, 拉屎/拉臭臭",112,produces,0.3304
Mandarin (Beijing),17,"拉屎, 拉屎/拉臭臭",112,understands,0
Mandarin (Beijing),18,"拉屎, 拉屎/拉臭臭",121,produces,0.314
Mandarin (Beijing),18,"拉屎, 拉屎/拉臭臭",121,understands,0
Mandarin (Beijing),19,"拉屎, 拉屎/拉臭臭",120,produces,0.4083
Mandarin (Beijing),19,"拉屎, 拉屎/拉臭臭",120,understands,0
Mandarin (Beijing),20,"拉屎, 拉屎/拉臭臭",121,produces,0.5537
Mandarin (Beijing),20,"拉屎, 拉屎/拉臭臭",121,understands,0
Mandarin (Beijing),21,"拉屎, 拉屎/拉臭臭",119,produces,0.6134
Mandarin (Beijing),21,"拉屎, 拉屎/拉臭臭",119,understands,0
Mandarin (Beijing),22,"拉屎, 拉屎/拉臭臭",117,produces,0.7179
Mandarin (Beijing),22,"拉屎, 拉屎/拉臭臭",117,understands,0
Mandarin (Beijing),23,"拉屎, 拉屎/拉臭臭",120,produces,0.775
Mandarin (Beijing),23,"拉屎, 拉屎/拉臭臭",120,understands,0
Mandarin (Beijing),24,"拉屎, 拉屎/拉臭臭",120,produces,0.75
Mandarin (Beijing),24,"拉屎, 拉屎/拉臭臭",120,understands,0
Mandarin (Beijing),25,"拉屎, 拉屎/拉臭臭",113,produces,0.8407
Mandarin (Beijing),25,"拉屎, 拉屎/拉臭臭",113,understands,0
Mandarin (Beijing),26,"拉屎, 拉屎/拉臭臭",118,produces,0.822
Mandarin (Beijing),26,"拉屎, 拉屎/拉臭臭",118,understands,0
Mandarin (Beijing),27,"拉屎, 拉屎/拉臭臭",114,produces,0.8509
Mandarin (Beijing),27,"拉屎, 拉屎/拉臭臭",114,understands,0
Mandarin (Beijing),28,"拉屎, 拉屎/拉臭臭",114,produces,0.886
Mandarin (Beijing),28,"拉屎, 拉屎/拉臭臭",114,understands,0
Mandarin (Beijing),29,"拉屎, 拉屎/拉臭臭",119,produces,0.8824
Mandarin (Beijing),29,"拉屎, 拉屎/拉臭臭",119,understands,0
Mandarin (Beijing),30,"拉屎, 拉屎/拉臭臭",110,produces,0.9273
Mandarin (Beijing),30,"拉屎, 拉屎/拉臭臭",110,understands,0
Portuguese (European),8,Caca,126,produces,0
Portuguese (European),8,Caca,126,understands,0.0635
Portuguese (European),9,Caca,148,produces,0
Portuguese (European),9,Caca,148,understands,0.1081
Portuguese (European),10,Caca,168,produces,0
Portuguese (European),10,Caca,168,understands,0.119
Portuguese (European),11,Caca,179,produces,0.0112
Portuguese (European),11,Caca,179,understands,0.1564
Portuguese (European),12,Caca,161,produces,0.0248
Portuguese (European),12,Caca,161,understands,0.354
Portuguese (European),13,Caca,176,produces,0.0568
Portuguese (European),13,Caca,176,understands,0.358
Portuguese (European),14,Caca,183,produces,0.0383
Portuguese (European),14,Caca,183,understands,0.4098
Portuguese (European),15,Caca,173,produces,0.1272
Portuguese (European),15,Caca,173,understands,0.4624
Portuguese (European),16,Caca,144,produces,0.1736
Portuguese (European),16,Caca,144,understands,0
Portuguese (European),17,Caca,158,produces,0.1456
Portuguese (European),17,Caca,158,understands,0
Portuguese (European),18,Caca,203,produces,0.2266
Portuguese (European),18,Caca,203,understands,0
Portuguese (European),19,Caca,196,produces,0.3061
Portuguese (European),19,Caca,196,understands,0
Portuguese (European),20,Caca,218,produces,0.344
Portuguese (European),20,Caca,218,understands,0
Portuguese (European),21,Caca,208,produces,0.3173
Portuguese (European),21,Caca,208,understands,0
Portuguese (European),22,Caca,213,produces,0.4272
Portuguese (European),22,Caca,213,understands,0
Portuguese (European),23,Caca,199,produces,0.4523
Portuguese (European),23,Caca,199,understands,0
Portuguese (European),24,Caca,215,produces,0.507
Portuguese (European),24,Caca,215,understands,0
Portuguese (European),25,Caca,213,produces,0.4601
Portuguese (European),25,Caca,213,understands,0
Portuguese (European),26,Caca,218,produces,0.5321
Portuguese (European),26,Caca,218,understands,0
Portuguese (European),27,Caca,238,produces,0.5798
Portuguese (European),27,Caca,238,understands,0
Portuguese (European),28,Caca,219,produces,0.5662
Portuguese (European),28,Caca,219,understands,0
Portuguese (European),29,Caca,207,produces,0.5942
Portuguese (European),29,Caca,207,understands,0
Portuguese (European),30,Caca,163,produces,0.6319
Portuguese (European),30,Caca,163,understands,0
Slovak,8,kakať,73,produces,0.0137
Slovak,8,kakať,73,understands,0.2192
Slovak,9,kakať,59,produces,0.0339
Slovak,9,kakať,59,understands,0.3559
Slovak,10,kakať,73,produces,0.0274
Slovak,10,kakať,73,understands,0.411
Slovak,11,kakať,62,produces,0.0323
Slovak,11,kakať,62,understands,0.5
Slovak,12,kakať,79,produces,0.0759
Slovak,12,kakať,79,understands,0.557
Slovak,13,kakať,74,produces,0.1081
Slovak,13,kakať,74,understands,0.6351
Slovak,14,kakať,78,produces,0.2308
Slovak,14,kakať,78,understands,0.7436
Slovak,15,kakať,87,produces,0.2759
Slovak,15,kakať,87,understands,0.7816
Slovak,16,kakať,68,produces,0.2941
Slovak,16,kakať,68,understands,0.6912
Slovak,17,"kaka / hovienko, kakať",70,produces,0.5214
Slovak,17,"kaka / hovienko, kakať",70,understands,0
Slovak,18,"kaka / hovienko, kakať",65,produces,0.6769
