language,age,words,n,measure,prop
Mandarin (Beijing),16,冰棍儿,70,produces,0.0143
Mandarin (Beijing),16,冰棍儿,70,understands,0
Mandarin (Beijing),17,"冰棍, 冰棍儿",112,produces,0.0804
Mandarin (Beijing),17,"冰棍, 冰棍儿",112,understands,0
Mandarin (Beijing),18,"冰棍, 冰棍儿",121,produces,0.157
Mandarin (Beijing),18,"冰棍, 冰棍儿",121,understands,0
Mandarin (Beijing),19,"冰棍, 冰棍儿",120,produces,0.1833
Mandarin (Beijing),19,"冰棍, 冰棍儿",120,understands,0
Mandarin (Beijing),20,"冰棍, 冰棍儿",121,produces,0.2562
Mandarin (Beijing),20,"冰棍, 冰棍儿",121,understands,0
Mandarin (Beijing),21,"冰棍, 冰棍儿",119,produces,0.3866
Mandarin (Beijing),21,"冰棍, 冰棍儿",119,understands,0
Mandarin (Beijing),22,"冰棍, 冰棍儿",117,produces,0.4359
Mandarin (Beijing),22,"冰棍, 冰棍儿",117,understands,0
Mandarin (Beijing),23,"冰棍, 冰棍儿",120,produces,0.5833
Mandarin (Beijing),23,"冰棍, 冰棍儿",120,understands,0
Mandarin (Beijing),24,"冰棍, 冰棍儿",120,produces,0.5833
Mandarin (Beijing),24,"冰棍, 冰棍儿",120,understands,0
Mandarin (Beijing),25,"冰棍, 冰棍儿",113,produces,0.6637
Mandarin (Beijing),25,"冰棍, 冰棍儿",113,understands,0
Mandarin (Beijing),26,"冰棍, 冰棍儿",118,produces,0.7373
Mandarin (Beijing),26,"冰棍, 冰棍儿",118,understands,0
Mandarin (Beijing),27,"冰棍, 冰棍儿",114,produces,0.8596
Mandarin (Beijing),27,"冰棍, 冰棍儿",114,understands,0
Mandarin (Beijing),28,"冰棍, 冰棍儿",114,produces,0.7807
Mandarin (Beijing),28,"冰棍, 冰棍儿",114,understands,0
Mandarin (Beijing),29,"冰棍, 冰棍儿",119,produces,0.8487
Mandarin (Beijing),29,"冰棍, 冰棍儿",119,understands,0
Mandarin (Beijing),30,"冰棍, 冰棍儿",110,produces,0.8545
Mandarin (Beijing),30,"冰棍, 冰棍儿",110,understands,0
Mandarin (Taiwanese),16,冰棒,80,produces,0.0125
Mandarin (Taiwanese),16,冰棒,80,understands,0
Mandarin (Taiwanese),17,冰棒,87,produces,0.046
Mandarin (Taiwanese),17,冰棒,87,understands,0
Mandarin (Taiwanese),18,冰棒,84,produces,0
Mandarin (Taiwanese),18,冰棒,84,understands,0
Mandarin (Taiwanese),19,冰棒,84,produces,0.0357
Mandarin (Taiwanese),19,冰棒,84,understands,0
Mandarin (Taiwanese),20,冰棒,84,produces,0.0595
Mandarin (Taiwanese),20,冰棒,84,understands,0
Mandarin (Taiwanese),21,冰棒,88,produces,0.0227
Mandarin (Taiwanese),21,冰棒,88,understands,0
Mandarin (Taiwanese),22,冰棒,96,produces,0.1458
Mandarin (Taiwanese),22,冰棒,96,understands,0
Mandarin (Taiwanese),23,冰棒,105,produces,0.1429
Mandarin (Taiwanese),23,冰棒,105,understands,0
Mandarin (Taiwanese),24,冰棒,124,produces,0.2097
Mandarin (Taiwanese),24,冰棒,124,understands,0
Mandarin (Taiwanese),25,冰棒,110,produces,0.2
Mandarin (Taiwanese),25,冰棒,110,understands,0
Mandarin (Taiwanese),26,冰棒,87,produces,0.2529
Mandarin (Taiwanese),26,冰棒,87,understands,0
Mandarin (Taiwanese),27,冰棒,92,produces,0.3261
Mandarin (Taiwanese),27,冰棒,92,understands,0
Mandarin (Taiwanese),28,冰棒,100,produces,0.39
Mandarin (Taiwanese),28,冰棒,100,understands,0
Mandarin (Taiwanese),29,冰棒,88,produces,0.375
Mandarin (Taiwanese),29,冰棒,88,understands,0
Mandarin (Taiwanese),30,冰棒,94,produces,0.4362
Mandarin (Taiwanese),30,冰棒,94,understands,0
Mandarin (Taiwanese),31,冰棒,88,produces,0.5227
Mandarin (Taiwanese),31,冰棒,88,understands,0
Mandarin (Taiwanese),32,冰棒,82,produces,0.4634
Mandarin (Taiwanese),32,冰棒,82,understands,0
Mandarin (Taiwanese),33,冰棒,85,produces,0.6588
Mandarin (Taiwanese),33,冰棒,85,understands,0
Mandarin (Taiwanese),34,冰棒,77,produces,0.5714
Mandarin (Taiwanese),34,冰棒,77,understands,0
Mandarin (Taiwanese),35,冰棒,81,produces,0.7284
Mandarin (Taiwanese),35,冰棒,81,understands,0
Mandarin (Taiwanese),36,冰棒,81,produces,0.5802
Mandarin (Taiwanese),36,冰棒,81,understands,0
American Sign Language,8,POPSICLE,1,produces,0
American Sign Language,8,POPSICLE,1,understands,0
American Sign Language,10,POPSICLE,3,produces,0
American Sign Language,10,POPSICLE,3,understands,0
American Sign Language,11,POPSICLE,1,produces,0
American Sign Language,11,POPSICLE,1,understands,0
American Sign Language,12,POPSICLE,2,produces,0
American Sign Language,12,POPSICLE,2,understands,0
American Sign Language,13,POPSICLE,4,produces,0
