language,age,words,n,measure,prop
Japanese,16,郵便屋さん,11,produces,0
Japanese,16,郵便屋さん,11,understands,0
Japanese,17,郵便屋さん,17,produces,0
Japanese,17,郵便屋さん,17,understands,0
Japanese,18,郵便屋さん,56,produces,0
Japanese,18,郵便屋さん,56,understands,0
Japanese,19,郵便屋さん,35,produces,0
Japanese,19,郵便屋さん,35,understands,0
Japanese,20,郵便屋さん,59,produces,0.0169
Japanese,20,郵便屋さん,59,understands,0
Japanese,21,郵便屋さん,62,produces,0
Japanese,21,郵便屋さん,62,understands,0
Japanese,22,郵便屋さん,31,produces,0.0323
Japanese,22,郵便屋さん,31,understands,0
Japanese,23,郵便屋さん,67,produces,0.0597
Japanese,23,郵便屋さん,67,understands,0
Japanese,24,郵便屋さん,33,produces,0.0606
Japanese,24,郵便屋さん,33,understands,0
Japanese,25,郵便屋さん,34,produces,0.1176
Japanese,25,郵便屋さん,34,understands,0
Japanese,26,郵便屋さん,33,produces,0.3333
Japanese,26,郵便屋さん,33,understands,0
Japanese,27,郵便屋さん,15,produces,0.2
Japanese,27,郵便屋さん,15,understands,0
Japanese,28,郵便屋さん,18,produces,0.2222
Japanese,28,郵便屋さん,18,understands,0
Japanese,29,郵便屋さん,17,produces,0.3529
Japanese,29,郵便屋さん,17,understands,0
Japanese,30,郵便屋さん,18,produces,0.2778
Japanese,30,郵便屋さん,18,understands,0
Japanese,31,郵便屋さん,18,produces,0.3333
Japanese,31,郵便屋さん,18,understands,0
Japanese,32,郵便屋さん,13,produces,0.3077
Japanese,32,郵便屋さん,13,understands,0
Japanese,33,郵便屋さん,16,produces,0.3125
Japanese,33,郵便屋さん,16,understands,0
Japanese,34,郵便屋さん,13,produces,0.5385
Japanese,34,郵便屋さん,13,understands,0
Japanese,35,郵便屋さん,31,produces,0.4516
Japanese,35,郵便屋さん,31,understands,0
Japanese,36,郵便屋さん,18,produces,0.5556
Japanese,36,郵便屋さん,18,understands,0
Norwegian,16,postbud,98,produces,0
Norwegian,16,postbud,98,understands,0
Norwegian,17,postbud,218,produces,0
Norwegian,17,postbud,218,understands,0
Norwegian,18,postbud,271,produces,0.0037
Norwegian,18,postbud,271,understands,0
Norwegian,19,postbud,281,produces,0.0142
Norwegian,19,postbud,281,understands,0
Norwegian,20,postbud,342,produces,0.0175
Norwegian,20,postbud,342,understands,0
Norwegian,21,postbud,418,produces,0.0359
Norwegian,21,postbud,418,understands,0
Norwegian,22,postbud,596,produces,0.047
Norwegian,22,postbud,596,understands,0
Norwegian,23,postbud,566,produces,0.0689
Norwegian,23,postbud,566,understands,0
Norwegian,24,postbud,538,produces,0.1004
Norwegian,24,postbud,538,understands,0
Norwegian,25,postbud,656,produces,0.1402
Norwegian,25,postbud,656,understands,0
Norwegian,26,postbud,644,produces,0.2283
Norwegian,26,postbud,644,understands,0
Norwegian,27,postbud,525,produces,0.2724
Norwegian,27,postbud,525,understands,0
Norwegian,28,postbud,544,produces,0.2721
Norwegian,28,postbud,544,understands,0
Norwegian,29,postbud,536,produces,0.334
Norwegian,29,postbud,536,understands,0
Norwegian,30,postbud,457,produces,0.3698
Norwegian,30,postbud,457,understands,0
Norwegian,31,postbud,479,produces,0.3841
Norwegian,31,postbud,479,understands,0
Norwegian,32,postbud,451,produces,0.4834
Norwegian,32,postbud,451,understands,0
Norwegian,33,postbud,430,produces,0.5233
Norwegian,33,postbud,430,understands,0
Norwegian,34,postbud,424,produces,0.5307
Norwegian,34,postbud,424,understands,0
Norwegian,35,postbud,422,produces,0.5782
Norwegian,35,postbud,422,understands,0
Norwegian,36,postbud,329,produces,0.5714
Norwegian,36,postbud,329,understands,0
Dutch,16,postbode,4,produces,0
Dutch,16,postbode,4,understands,0
Dutch,17,postbode,49,produces,0
Dutch,17,postbode,49,understands,0
Dutch,18,postbode,68,produces,0
Dutch,18,postbode,68,understands,0
Dutch,19,postbode,7,produces,0
Dutch,19,postbode,7,understands,0
Dutch,20,postbode,7,produces,0.1429
Dutch,20,postbode,7,understands,0
Dutch,21,postbode,7,produces,0
Dutch,21,postbode,7,understands,0
Dutch,22,postbode,7,produces,0.2857
Dutch,22,postbode,7,understands,0
Dutch,23,postbode,51,produces,0.0588
Dutch,23,postbode,51,understands,0
Dutch,24,postbode,31,produces,0.1613
Dutch,24,postbode,31,understands,0
Dutch,25,postbode,6,produces,0.1667
