language,sex,age,words,n,measure,prop
American Sign Language,All,8,PRESENT/GIFT,1,produces,0
American Sign Language,All,8,PRESENT/GIFT,1,understands,0
American Sign Language,All,9,GIFT,4,produces,0
American Sign Language,All,9,GIFT,4,understands,0
American Sign Language,All,10,"GIFT, PRESENT/GIFT",5,produces,0
American Sign Language,All,10,"GIFT, PRESENT/GIFT",5,understands,0.2
American Sign Language,All,11,"GIFT, PRESENT",3,produces,0
American Sign Language,All,11,"GIFT, PRESENT",3,understands,0.3333
American Sign Language,All,12,"GIFT, PRESENT/GIFT",4,produces,0
American Sign Language,All,12,"GIFT, PRESENT/GIFT",4,understands,0.25
American Sign Language,All,13,"PRESENT, PRESENT/GIFT",4,produces,0
American Sign Language,All,13,"PRESENT, PRESENT/GIFT",4,understands,0
American Sign Language,All,14,PRESENT/GIFT,1,produces,0
American Sign Language,All,14,PRESENT/GIFT,1,understands,0
American Sign Language,All,15,"PRESENT, GIFT, PRESENT/GIFT",3,produces,0
American Sign Language,All,15,"PRESENT, GIFT, PRESENT/GIFT",3,understands,0
American Sign Language,All,16,GIFT,2,produces,0
American Sign Language,All,16,GIFT,2,understands,0
American Sign Language,All,17,"GIFT, PRESENT/GIFT",5,produces,0
American Sign Language,All,17,"GIFT, PRESENT/GIFT",5,understands,0.2
American Sign Language,All,18,"GIFT, PRESENT/GIFT",11,produces,0.2727
American Sign Language,All,18,"GIFT, PRESENT/GIFT",11,understands,0.3636
American Sign Language,All,19,"GIFT, PRESENT",6,produces,0.1667
American Sign Language,All,19,"GIFT, PRESENT",6,understands,0.3333
American Sign Language,All,20,"GIFT, PRESENT",3,produces,0.3333
American Sign Language,All,20,"GIFT, PRESENT",3,understands,0.3333
American Sign Language,All,21,"GIFT, PRESENT/GIFT, PRESENT",4,produces,0.25
American Sign Language,All,21,"GIFT, PRESENT/GIFT, PRESENT",4,understands,0.75
American Sign Language,All,22,"GIFT, PRESENT",10,produces,0.2
American Sign Language,All,22,"GIFT, PRESENT",10,understands,0.2
American Sign Language,All,23,"GIFT, PRESENT, PRESENT/GIFT",5,produces,0.2
American Sign Language,All,23,"GIFT, PRESENT, PRESENT/GIFT",5,understands,0.2
American Sign Language,All,24,"GIFT, PRESENT",9,produces,0.1111
American Sign Language,All,24,"GIFT, PRESENT",9,understands,0.2222
American Sign Language,All,25,"GIFT, PRESENT/GIFT",13,produces,0.0769
American Sign Language,All,25,"GIFT, PRESENT/GIFT",13,understands,0.6154
American Sign Language,All,26,GIFT,4,produces,0.25
American Sign Language,All,26,GIFT,4,understands,0.25
American Sign Language,All,27,"GIFT, PRESENT, PRESENT/GIFT",7,produces,0.2857
American Sign Language,All,27,"GIFT, PRESENT, PRESENT/GIFT",7,understands,0.2857
American Sign Language,All,28,"GIFT, PRESENT/GIFT, PRESENT",7,produces,0.5714
American Sign Language,All,28,"GIFT, PRESENT/GIFT, PRESENT",7,understands,0.5714
American Sign Language,All,29,GIFT,6,produces,0.6667
American Sign Language,All,29,GIFT,6,understands,0.8333
American Sign Language,All,30,"GIFT, PRESENT, PRESENT/GIFT",7,produces,0.7143
American Sign Language,All,30,"GIFT, PRESENT, PRESENT/GIFT",7,understands,0.5714
American Sign Language,All,31,"GIFT, PRESENT, PRESENT/GIFT",9,produces,0.3333
American Sign Language,All,31,"GIFT, PRESENT, PRESENT/GIFT",9,understands,0.4444
American Sign Language,All,32,"GIFT, PRESENT, PRESENT/GIFT",15,produces,0.4
American Sign Language,All,32,"GIFT, PRESENT, PRESENT/GIFT",15,understands,0.2667
American Sign Language,All,33,"GIFT, PRESENT/GIFT",6,produces,0.6667
American Sign Language,All,33,"GIFT, PRESENT/GIFT",6,understands,0.6667
American Sign Language,All,34,"GIFT, PRESENT/GIFT, PRESENT",7,produces,0.5714
American Sign Language,All,34,"GIFT, PRESENT/GIFT, PRESENT",7,understands,0.5714
American Sign Language,All,35,"GIFT, PRESENT/GIFT",7,produces,0.4286
American Sign Language,All,35,"GIFT, PRESENT/GIFT",7,understands,0.5714
American Sign Language,All,36,GIFT,3,produces,0.3333
American Sign Language,All,36,GIFT,3,understands,1
Arabic (Saudi),All,8,هدية,24,produces,0
Arabic (Saudi),All,8,هدية,24,understands,0.0833
Arabic (Saudi),All,9,هدية,27,produces,0.037
Arabic (Saudi),All,9,هدية,27,understands,0.037
Arabic (Saudi),All,10,هدية,35,produces,0
Arabic (Saudi),All,10,هدية,35,understands,0.0857
Arabic (Saudi),All,11,هدية,30,produces,0.0333
Arabic (Saudi),All,11,هدية,30,understands,0.0333
Arabic (Saudi),All,12,هدية,30,produces,0.0667
Arabic (Saudi),All,12,هدية,30,understands,0.0333
Arabic (Saudi),All,13,هدية,39,produces,0
Arabic (Saudi),All,13,هدية,39,understands,0
Arabic (Saudi),All,14,هدية,25,produces,0
Arabic (Saudi),All,14,هدية,25,understands,0
Arabic (Saudi),All,15,هدية,27,produces,0.037
Arabic (Saudi),All,15,هدية,27,understands,0.1111
Arabic (Saudi),All,16,هدية,21,produces,0.0476
Arabic (Saudi),All,16,هدية,21,understands,0.0476
British Sign Language,All,8,present,4,produces,0
British Sign Language,All,8,present,4,understands,0
British Sign Language,All,9,present,4,produces,0
British Sign Language,All,9,present,4,understands,0
British Sign Language,All,10,present,4,produces,0
British Sign Language,All,10,present,4,understands,0
British Sign Language,All,11,present,6,produces,0
British Sign Language,All,11,present,6,understands,0
British Sign Language,All,12,present,6,produces,0
British Sign Language,All,12,present,6,understands,0
British Sign Language,All,13,present,6,produces,0
British Sign Language,All,13,present,6,understands,0
British Sign Language,All,14,present,7,produces,0
British Sign Language,All,14,present,7,understands,0
British Sign Language,All,15,present,6,produces,0
British Sign Language,All,15,present,6,understands,0
British Sign Language,All,16,present,7,produces,0
British Sign Language,All,16,present,7,understands,0
British Sign Language,All,17,present,7,produces,0
British Sign Language,All,17,present,7,understands,0
British Sign Language,All,18,present,8,produces,0
British Sign Language,All,18,present,8,understands,0
British Sign Language,All,19,present,8,produces,0
British Sign Language,All,19,present,8,understands,0.125
British Sign Language,All,20,present,11,produces,0.0909
British Sign Language,All,20,present,11,understands,0.2727
British Sign Language,All,21,present,5,produces,0
British Sign Language,All,21,present,5,understands,0
British Sign Language,All,22,present,6,produces,0
British Sign Language,All,22,present,6,understands,0
British Sign Language,All,23,present,7,produces,0.2857
British Sign Language,All,23,present,7,understands,0.2857
British Sign Language,All,24,present,5,produces,0.2
British Sign Language,All,24,present,5,understands,0.2
British Sign Language,All,25,present,7,produces,0
British Sign Language,All,25,present,7,understands,0.1429
British Sign Language,All,26,present,6,produces,0.6667
British Sign Language,All,26,present,6,understands,0.6667
British Sign Language,All,27,present,6,produces,0
