language,age,words,n,measure,prop
Japanese,16,お姫様,11,produces,0
Japanese,16,お姫様,11,understands,0
Japanese,17,お姫様,17,produces,0
Japanese,17,お姫様,17,understands,0
Japanese,18,お姫様,56,produces,0
Japanese,18,お姫様,56,understands,0
Japanese,19,お姫様,35,produces,0.0286
Japanese,19,お姫様,35,understands,0
Japanese,20,お姫様,59,produces,0
Japanese,20,お姫様,59,understands,0
Japanese,21,お姫様,62,produces,0.0161
Japanese,21,お姫様,62,understands,0
Japanese,22,お姫様,31,produces,0
Japanese,22,お姫様,31,understands,0
Japanese,23,お姫様,67,produces,0.0149
Japanese,23,お姫様,67,understands,0
Japanese,24,お姫様,33,produces,0
Japanese,24,お姫様,33,understands,0
Japanese,25,お姫様,34,produces,0.1176
Japanese,25,お姫様,34,understands,0
Japanese,26,お姫様,33,produces,0.1515
Japanese,26,お姫様,33,understands,0
Japanese,27,お姫様,15,produces,0
Japanese,27,お姫様,15,understands,0
Japanese,28,お姫様,18,produces,0.0556
Japanese,28,お姫様,18,understands,0
Japanese,29,お姫様,17,produces,0.2353
Japanese,29,お姫様,17,understands,0
Japanese,30,お姫様,18,produces,0.1111
Japanese,30,お姫様,18,understands,0
Japanese,31,お姫様,18,produces,0.2778
Japanese,31,お姫様,18,understands,0
Japanese,32,お姫様,13,produces,0.3846
Japanese,32,お姫様,13,understands,0
Japanese,33,お姫様,16,produces,0.4375
Japanese,33,お姫様,16,understands,0
Japanese,34,お姫様,13,produces,0.3077
Japanese,34,お姫様,13,understands,0
Japanese,35,お姫様,31,produces,0.5161
Japanese,35,お姫様,31,understands,0
Japanese,36,お姫様,18,produces,0.3889
Japanese,36,お姫様,18,understands,0
Korean,18,공주,88,produces,0.0455
Korean,18,공주,88,understands,0
Korean,19,공주,77,produces,0.026
Korean,19,공주,77,understands,0
Korean,20,공주,88,produces,0.0455
Korean,20,공주,88,understands,0
Korean,21,공주,79,produces,0.0506
Korean,21,공주,79,understands,0
Korean,22,공주,87,produces,0.1034
Korean,22,공주,87,understands,0
Korean,23,공주,87,produces,0.1149
Korean,23,공주,87,understands,0
Korean,24,공주,107,produces,0.1963
Korean,24,공주,107,understands,0
Korean,25,공주,95,produces,0.2421
Korean,25,공주,95,understands,0
Korean,26,공주,91,produces,0.2967
Korean,26,공주,91,understands,0
Korean,27,공주,104,produces,0.3558
Korean,27,공주,104,understands,0
Korean,28,공주,89,produces,0.4494
Korean,28,공주,89,understands,0
Korean,29,공주,101,produces,0.4257
Korean,29,공주,101,understands,0
Korean,30,공주,81,produces,0.4938
Korean,30,공주,81,understands,0
Korean,31,공주,79,produces,0.481
Korean,31,공주,79,understands,0
Korean,32,공주,70,produces,0.5571
Korean,32,공주,70,understands,0
Korean,33,공주,79,produces,0.5823
Korean,33,공주,79,understands,0
Korean,34,공주,79,produces,0.7215
Korean,34,공주,79,understands,0
Korean,35,공주,74,produces,0.6622
Korean,35,공주,74,understands,0
Korean,36,공주,75,produces,0.7333
Korean,36,공주,75,understands,0
Turkish,16,Prenses,109,produces,0.0092
Turkish,16,Prenses,109,understands,0
Turkish,17,Prenses,107,produces,0.0187
Turkish,17,Prenses,107,understands,0
Turkish,18,Prenses,128,produces,0.0078
Turkish,18,Prenses,128,understands,0
Turkish,19,Prenses,121,produces,0.0413
Turkish,19,Prenses,121,understands,0
Turkish,20,Prenses,119,produces,0.042
Turkish,20,Prenses,119,understands,0
Turkish,21,Prenses,124,produces,0.0806
Turkish,21,Prenses,124,understands,0
Turkish,22,Prenses,126,produces,0.0794
Turkish,22,Prenses,126,understands,0
Turkish,23,Prenses,131,produces,0.0992
Turkish,23,Prenses,131,understands,0
Turkish,24,Prenses,106,produces,0.1698
Turkish,24,Prenses,106,understands,0
Turkish,25,Prenses,123,produces,0.2439
Turkish,25,Prenses,123,understands,0
Turkish,26,Prenses,123,produces,0.2683
Turkish,26,Prenses,123,understands,0
Turkish,27,Prenses,108,produces,0.3148
Turkish,27,Prenses,108,understands,0
Turkish,28,Prenses,112,produces,0.375
Turkish,28,Prenses,112,understands,0
Turkish,29,Prenses,119,produces,0.3697
Turkish,29,Prenses,119,understands,0
Turkish,30,Prenses,104,produces,0.4615
Turkish,30,Prenses,104,understands,0
Turkish,31,Prenses,101,produces,0.4455
Turkish,31,Prenses,101,understands,0
Turkish,32,Prenses,132,produces,0.4773
Turkish,32,Prenses,132,understands,0
Turkish,33,Prenses,114,produces,0.5526
Turkish,33,Prenses,114,understands,0
Turkish,34,Prenses,107,produces,0.5607
Turkish,34,Prenses,107,understands,0
Turkish,35,Prenses,131,produces,0.6641
Turkish,35,Prenses,131,understands,0
Turkish,36,Prenses,77,produces,0.7143
Turkish,36,Prenses,77,understands,0
