language,sex,age,words,n,measure,prop
American Sign Language,All,8,PULL,1,produces,0
American Sign Language,All,8,PULL,1,understands,0
American Sign Language,All,9,PULL,4,produces,0
American Sign Language,All,9,PULL,4,understands,0
American Sign Language,All,10,PULL,5,produces,0
American Sign Language,All,10,PULL,5,understands,0
American Sign Language,All,11,PULL,3,produces,0
American Sign Language,All,11,PULL,3,understands,0
American Sign Language,All,12,PULL,4,produces,0
American Sign Language,All,12,PULL,4,understands,0
American Sign Language,All,13,PULL,4,produces,0
American Sign Language,All,13,PULL,4,understands,0
American Sign Language,All,14,PULL,1,produces,0
American Sign Language,All,14,PULL,1,understands,0
American Sign Language,All,15,PULL,3,produces,0
American Sign Language,All,15,PULL,3,understands,0
American Sign Language,All,16,PULL,2,produces,0
American Sign Language,All,16,PULL,2,understands,0.5
American Sign Language,All,17,PULL,5,produces,0
American Sign Language,All,17,PULL,5,understands,0.2
American Sign Language,All,18,PULL,11,produces,0.0909
American Sign Language,All,18,PULL,11,understands,0.3636
American Sign Language,All,19,PULL,6,produces,0
American Sign Language,All,19,PULL,6,understands,0.3333
American Sign Language,All,20,PULL,3,produces,0.3333
American Sign Language,All,20,PULL,3,understands,0
American Sign Language,All,21,PULL,4,produces,0.25
American Sign Language,All,21,PULL,4,understands,0.75
American Sign Language,All,22,PULL,10,produces,0.1
American Sign Language,All,22,PULL,10,understands,0.3
American Sign Language,All,23,PULL,5,produces,0.2
American Sign Language,All,23,PULL,5,understands,0.2
American Sign Language,All,24,PULL,9,produces,0.2222
American Sign Language,All,24,PULL,9,understands,0.3333
American Sign Language,All,25,PULL,13,produces,0.1538
American Sign Language,All,25,PULL,13,understands,0.6154
American Sign Language,All,26,PULL,4,produces,0.25
American Sign Language,All,26,PULL,4,understands,0.75
American Sign Language,All,27,PULL,7,produces,0.2857
American Sign Language,All,27,PULL,7,understands,0.4286
American Sign Language,All,28,PULL,7,produces,0.7143
American Sign Language,All,28,PULL,7,understands,0.5714
American Sign Language,All,29,PULL,6,produces,0.5
American Sign Language,All,29,PULL,6,understands,0.6667
American Sign Language,All,30,PULL,7,produces,0.2857
American Sign Language,All,30,PULL,7,understands,0.5714
American Sign Language,All,31,PULL,9,produces,0.4444
American Sign Language,All,31,PULL,9,understands,0.5556
American Sign Language,All,32,PULL,15,produces,0.5333
American Sign Language,All,32,PULL,15,understands,0.3333
American Sign Language,All,33,PULL,6,produces,0.3333
American Sign Language,All,33,PULL,6,understands,0.6667
American Sign Language,All,34,PULL,7,produces,0.8571
American Sign Language,All,34,PULL,7,understands,0.7143
American Sign Language,All,35,PULL,7,produces,0.4286
American Sign Language,All,35,PULL,7,understands,0.5714
American Sign Language,All,36,PULL,3,produces,0.6667
American Sign Language,All,36,PULL,3,understands,1
