language,sex,age,words,n,measure,prop
American Sign Language,All,8,QUIET,1,produces,0
American Sign Language,All,8,QUIET,1,understands,0
American Sign Language,All,9,QUIET,4,produces,0
American Sign Language,All,9,QUIET,4,understands,0
American Sign Language,All,10,QUIET,5,produces,0
American Sign Language,All,10,QUIET,5,understands,0
American Sign Language,All,11,QUIET,3,produces,0
American Sign Language,All,11,QUIET,3,understands,0
American Sign Language,All,12,QUIET,4,produces,0
American Sign Language,All,12,QUIET,4,understands,0
American Sign Language,All,13,QUIET,4,produces,0
American Sign Language,All,13,QUIET,4,understands,0
American Sign Language,All,14,QUIET,1,produces,0
American Sign Language,All,14,QUIET,1,understands,0
American Sign Language,All,15,QUIET,3,produces,0
American Sign Language,All,15,QUIET,3,understands,0
American Sign Language,All,16,QUIET,2,produces,0
American Sign Language,All,16,QUIET,2,understands,0
American Sign Language,All,17,QUIET,5,produces,0
American Sign Language,All,17,QUIET,5,understands,0.2
American Sign Language,All,18,QUIET,11,produces,0.0909
American Sign Language,All,18,QUIET,11,understands,0.1818
American Sign Language,All,19,QUIET,6,produces,0
American Sign Language,All,19,QUIET,6,understands,0.3333
American Sign Language,All,20,QUIET,3,produces,0
American Sign Language,All,20,QUIET,3,understands,0.3333
American Sign Language,All,21,QUIET,4,produces,0
American Sign Language,All,21,QUIET,4,understands,0.75
American Sign Language,All,22,QUIET,10,produces,0.1
American Sign Language,All,22,QUIET,10,understands,0.4
American Sign Language,All,23,QUIET,5,produces,0.2
American Sign Language,All,23,QUIET,5,understands,0
American Sign Language,All,24,QUIET,9,produces,0.1111
American Sign Language,All,24,QUIET,9,understands,0.2222
American Sign Language,All,25,QUIET,13,produces,0.0769
American Sign Language,All,25,QUIET,13,understands,0.5385
American Sign Language,All,26,QUIET,4,produces,0.25
American Sign Language,All,26,QUIET,4,understands,0.75
American Sign Language,All,27,QUIET,7,produces,0.1429
American Sign Language,All,27,QUIET,7,understands,0.4286
American Sign Language,All,28,QUIET,7,produces,0.4286
American Sign Language,All,28,QUIET,7,understands,0.4286
American Sign Language,All,29,QUIET,6,produces,0.3333
American Sign Language,All,29,QUIET,6,understands,0.8333
American Sign Language,All,30,QUIET,7,produces,0.2857
American Sign Language,All,30,QUIET,7,understands,0.4286
American Sign Language,All,31,QUIET,9,produces,0.3333
American Sign Language,All,31,QUIET,9,understands,0.3333
American Sign Language,All,32,QUIET,15,produces,0.4667
American Sign Language,All,32,QUIET,15,understands,0.3333
American Sign Language,All,33,QUIET,6,produces,0.5
American Sign Language,All,33,QUIET,6,understands,0.6667
American Sign Language,All,34,QUIET,7,produces,0.4286
American Sign Language,All,34,QUIET,7,understands,0.4286
American Sign Language,All,35,QUIET,7,produces,0.4286
American Sign Language,All,35,QUIET,7,understands,0.5714
American Sign Language,All,36,QUIET,3,produces,0
American Sign Language,All,36,QUIET,3,understands,0.6667
Arabic (Saudi),All,8,هدوء,19,produces,0
Arabic (Saudi),All,8,هدوء,19,understands,0
Arabic (Saudi),All,9,هدوء,18,produces,0
Arabic (Saudi),All,9,هدوء,18,understands,0
Arabic (Saudi),All,10,هدوء,25,produces,0.08
Arabic (Saudi),All,10,هدوء,25,understands,0
Arabic (Saudi),All,11,هدوء,21,produces,0
Arabic (Saudi),All,11,هدوء,21,understands,0
Arabic (Saudi),All,12,هدوء,19,produces,0
Arabic (Saudi),All,12,هدوء,19,understands,0
Arabic (Saudi),All,13,هدوء,36,produces,0.0556
Arabic (Saudi),All,13,هدوء,36,understands,0
Arabic (Saudi),All,14,هدوء,20,produces,0
Arabic (Saudi),All,14,هدوء,20,understands,0
Arabic (Saudi),All,15,هدوء,19,produces,0
Arabic (Saudi),All,15,هدوء,19,understands,0
Arabic (Saudi),All,16,هدوء,18,produces,0
Arabic (Saudi),All,16,هدوء,18,understands,0
British Sign Language,All,8,quiet,4,produces,0
British Sign Language,All,8,quiet,4,understands,0
British Sign Language,All,9,quiet,4,produces,0
British Sign Language,All,9,quiet,4,understands,0
British Sign Language,All,10,quiet,4,produces,0
