language,sex,age,words,n,measure,prop
Arabic (Saudi),All,8,مضرب,19,produces,0
Arabic (Saudi),All,8,مضرب,19,understands,0
Arabic (Saudi),All,9,مضرب,18,produces,0
Arabic (Saudi),All,9,مضرب,18,understands,0
Arabic (Saudi),All,10,مضرب,25,produces,0.08
Arabic (Saudi),All,10,مضرب,25,understands,0
Arabic (Saudi),All,11,مضرب,21,produces,0.0952
Arabic (Saudi),All,11,مضرب,21,understands,0
Arabic (Saudi),All,12,مضرب,19,produces,0.0526
Arabic (Saudi),All,12,مضرب,19,understands,0
Arabic (Saudi),All,13,مضرب,36,produces,0
Arabic (Saudi),All,13,مضرب,36,understands,0
Arabic (Saudi),All,14,مضرب,20,produces,0
Arabic (Saudi),All,14,مضرب,20,understands,0
Arabic (Saudi),All,15,مضرب,19,produces,0
Arabic (Saudi),All,15,مضرب,19,understands,0
Arabic (Saudi),All,16,مضرب,18,produces,0
Arabic (Saudi),All,16,مضرب,18,understands,0
Spanish (European),All,16,raqueta,39,produces,0
Spanish (European),All,16,raqueta,39,understands,0
Spanish (European),All,17,raqueta,39,produces,0
Spanish (European),All,17,raqueta,39,understands,0
Spanish (European),All,18,raqueta,50,produces,0
Spanish (European),All,18,raqueta,50,understands,0
Spanish (European),All,19,raqueta,27,produces,0
Spanish (European),All,19,raqueta,27,understands,0
Spanish (European),All,20,raqueta,36,produces,0.0556
Spanish (European),All,20,raqueta,36,understands,0
Spanish (European),All,21,raqueta,41,produces,0.0732
Spanish (European),All,21,raqueta,41,understands,0
Spanish (European),All,22,raqueta,38,produces,0.1053
Spanish (European),All,22,raqueta,38,understands,0
Spanish (European),All,23,raqueta,30,produces,0.1667
Spanish (European),All,23,raqueta,30,understands,0
Spanish (European),All,24,raqueta,55,produces,0.1455
Spanish (European),All,24,raqueta,55,understands,0
Spanish (European),All,25,raqueta,35,produces,0.1143
Spanish (European),All,25,raqueta,35,understands,0
Spanish (European),All,26,raqueta,49,produces,0.2449
Spanish (European),All,26,raqueta,49,understands,0
Spanish (European),All,27,raqueta,34,produces,0.4706
Spanish (European),All,27,raqueta,34,understands,0
Spanish (European),All,28,raqueta,38,produces,0.3421
Spanish (European),All,28,raqueta,38,understands,0
Spanish (European),All,29,raqueta,41,produces,0.439
Spanish (European),All,29,raqueta,41,understands,0
Spanish (European),All,30,raqueta,41,produces,0.4634
Spanish (European),All,30,raqueta,41,understands,0
Spanish (Peruvian),All,16,raqueta,13,produces,0
Spanish (Peruvian),All,16,raqueta,13,understands,0
Spanish (Peruvian),All,17,raqueta,9,produces,0
Spanish (Peruvian),All,17,raqueta,9,understands,0
Spanish (Peruvian),All,18,raqueta,4,produces,0
Spanish (Peruvian),All,18,raqueta,4,understands,0
Spanish (Peruvian),All,19,raqueta,12,produces,0
Spanish (Peruvian),All,19,raqueta,12,understands,0
Spanish (Peruvian),All,20,raqueta,1,produces,0
Spanish (Peruvian),All,20,raqueta,1,understands,0
Spanish (Peruvian),All,21,raqueta,5,produces,0
Spanish (Peruvian),All,21,raqueta,5,understands,0
Spanish (Peruvian),All,22,raqueta,9,produces,0
Spanish (Peruvian),All,22,raqueta,9,understands,0
Spanish (Peruvian),All,23,raqueta,1,produces,0
Spanish (Peruvian),All,23,raqueta,1,understands,0
Spanish (Peruvian),All,24,raqueta,15,produces,0.0667
Spanish (Peruvian),All,24,raqueta,15,understands,0
Spanish (Peruvian),All,25,raqueta,5,produces,0
Spanish (Peruvian),All,25,raqueta,5,understands,0
Spanish (Peruvian),All,26,raqueta,8,produces,0
Spanish (Peruvian),All,26,raqueta,8,understands,0
Spanish (Peruvian),All,27,raqueta,7,produces,0
Spanish (Peruvian),All,27,raqueta,7,understands,0
Spanish (Peruvian),All,28,raqueta,8,produces,0
Spanish (Peruvian),All,28,raqueta,8,understands,0
Spanish (Peruvian),All,29,raqueta,6,produces,0.1667
Spanish (Peruvian),All,29,raqueta,6,understands,0
Spanish (Peruvian),All,30,raqueta,2,produces,0
Spanish (Peruvian),All,30,raqueta,2,understands,0
Arabic (Saudi),Female,8,مضرب,9,produces,0
Arabic (Saudi),Female,8,مضرب,9,understands,0
Arabic (Saudi),Male,8,مضرب,10,produces,0
Arabic (Saudi),Male,8,مضرب,10,understands,0
Arabic (Saudi),Female,9,مضرب,10,produces,0
Arabic (Saudi),Female,9,مضرب,10,understands,0
Arabic (Saudi),Male,9,مضرب,8,produces,0
Arabic (Saudi),Male,9,مضرب,8,understands,0
Arabic (Saudi),Female,10,مضرب,11,produces,0.0909
Arabic (Saudi),Female,10,مضرب,11,understands,0
Arabic (Saudi),Male,10,مضرب,14,produces,0.0714
Arabic (Saudi),Male,10,مضرب,14,understands,0
Arabic (Saudi),Female,11,مضرب,9,produces,0.1111
Arabic (Saudi),Female,11,مضرب,9,understands,0
Arabic (Saudi),Male,11,مضرب,12,produces,0.0833
Arabic (Saudi),Male,11,مضرب,12,understands,0
Arabic (Saudi),Female,12,مضرب,8,produces,0.125
Arabic (Saudi),Female,12,مضرب,8,understands,0
Arabic (Saudi),Male,12,مضرب,11,produces,0
Arabic (Saudi),Male,12,مضرب,11,understands,0
Arabic (Saudi),Female,13,مضرب,16,produces,0
Arabic (Saudi),Female,13,مضرب,16,understands,0
Arabic (Saudi),Male,13,مضرب,20,produces,0
Arabic (Saudi),Male,13,مضرب,20,understands,0
Arabic (Saudi),Female,14,مضرب,10,produces,0
Arabic (Saudi),Female,14,مضرب,10,understands,0
Arabic (Saudi),Male,14,مضرب,10,produces,0
Arabic (Saudi),Male,14,مضرب,10,understands,0
Arabic (Saudi),Female,15,مضرب,7,produces,0
Arabic (Saudi),Female,15,مضرب,7,understands,0
Arabic (Saudi),Male,15,مضرب,12,produces,0
Arabic (Saudi),Male,15,مضرب,12,understands,0
Arabic (Saudi),Female,16,مضرب,9,produces,0
Arabic (Saudi),Female,16,مضرب,9,understands,0
Arabic (Saudi),Male,16,مضرب,9,produces,0
Arabic (Saudi),Male,16,مضرب,9,understands,0
Spanish (European),Female,16,raqueta,19,produces,0
Spanish (European),Female,16,raqueta,19,understands,0
Spanish (European),Male,16,raqueta,20,produces,0
Spanish (European),Male,16,raqueta,20,understands,0
Spanish (European),Female,17,raqueta,21,produces,0
Spanish (European),Female,17,raqueta,21,understands,0
Spanish (European),Male,17,raqueta,18,produces,0
Spanish (European),Male,17,raqueta,18,understands,0
Spanish (European),Female,18,raqueta,27,produces,0
Spanish (European),Female,18,raqueta,27,understands,0
Spanish (European),Male,18,raqueta,23,produces,0
Spanish (European),Male,18,raqueta,23,understands,0
Spanish (European),Female,19,raqueta,16,produces,0
Spanish (European),Female,19,raqueta,16,understands,0
Spanish (European),Male,19,raqueta,11,produces,0
Spanish (European),Male,19,raqueta,11,understands,0
Spanish (European),Female,20,raqueta,17,produces,0.1176
Spanish (European),Female,20,raqueta,17,understands,0
Spanish (European),Male,20,raqueta,19,produces,0
Spanish (European),Male,20,raqueta,19,understands,0
Spanish (European),Female,21,raqueta,23,produces,0.087
Spanish (European),Female,21,raqueta,23,understands,0
Spanish (European),Male,21,raqueta,18,produces,0.0556
Spanish (European),Male,21,raqueta,18,understands,0
Spanish (European),Female,22,raqueta,18,produces,0.2222
Spanish (European),Female,22,raqueta,18,understands,0
Spanish (European),Male,22,raqueta,20,produces,0
Spanish (European),Male,22,raqueta,20,understands,0
Spanish (European),Female,23,raqueta,15,produces,0.1333
Spanish (European),Female,23,raqueta,15,understands,0
Spanish (European),Male,23,raqueta,15,produces,0.2
Spanish (European),Male,23,raqueta,15,understands,0
Spanish (European),Female,24,raqueta,31,produces,0.0968
Spanish (European),Female,24,raqueta,31,understands,0
Spanish (European),Male,24,raqueta,24,produces,0.2083
Spanish (European),Male,24,raqueta,24,understands,0
Spanish (European),Female,25,raqueta,16,produces,0.1875
