language,sex,age,words,n,measure,prop
Mandarin (Beijing),All,17,雨衣,40,produces,0.05
Mandarin (Beijing),All,17,雨衣,40,understands,0
Mandarin (Beijing),All,18,雨衣,50,produces,0.06
Mandarin (Beijing),All,18,雨衣,50,understands,0
Mandarin (Beijing),All,19,雨衣,50,produces,0.06
Mandarin (Beijing),All,19,雨衣,50,understands,0
Mandarin (Beijing),All,20,雨衣,50,produces,0.04
Mandarin (Beijing),All,20,雨衣,50,understands,0
Mandarin (Beijing),All,21,雨衣,49,produces,0.102
Mandarin (Beijing),All,21,雨衣,49,understands,0
Mandarin (Beijing),All,22,雨衣,46,produces,0.1304
Mandarin (Beijing),All,22,雨衣,46,understands,0
Mandarin (Beijing),All,23,雨衣,50,produces,0.26
Mandarin (Beijing),All,23,雨衣,50,understands,0
Mandarin (Beijing),All,24,雨衣,50,produces,0.3
Mandarin (Beijing),All,24,雨衣,50,understands,0
Mandarin (Beijing),All,25,雨衣,43,produces,0.3256
Mandarin (Beijing),All,25,雨衣,43,understands,0
Mandarin (Beijing),All,26,雨衣,47,produces,0.4468
Mandarin (Beijing),All,26,雨衣,47,understands,0
Mandarin (Beijing),All,27,雨衣,44,produces,0.4091
Mandarin (Beijing),All,27,雨衣,44,understands,0
Mandarin (Beijing),All,28,雨衣,44,produces,0.2273
Mandarin (Beijing),All,28,雨衣,44,understands,0
Mandarin (Beijing),All,29,雨衣,49,produces,0.449
Mandarin (Beijing),All,29,雨衣,49,understands,0
Mandarin (Beijing),All,30,雨衣,40,produces,0.525
Mandarin (Beijing),All,30,雨衣,40,understands,0
Mandarin (Taiwanese),All,16,雨衣,80,produces,0
Mandarin (Taiwanese),All,16,雨衣,80,understands,0
Mandarin (Taiwanese),All,17,雨衣,87,produces,0.023
Mandarin (Taiwanese),All,17,雨衣,87,understands,0
Mandarin (Taiwanese),All,18,雨衣,84,produces,0.0119
Mandarin (Taiwanese),All,18,雨衣,84,understands,0
Mandarin (Taiwanese),All,19,雨衣,84,produces,0.0238
