language,sex,age,words,n,measure,prop
Cantonese,All,16,除(衫),46,produces,0.0435
Cantonese,All,16,除(衫),46,understands,0
Cantonese,All,17,除(衫),61,produces,0.1311
Cantonese,All,17,除(衫),61,understands,0
Cantonese,All,18,除(衫),68,produces,0.1324
Cantonese,All,18,除(衫),68,understands,0
Cantonese,All,19,除(衫),66,produces,0.1515
Cantonese,All,19,除(衫),66,understands,0
Cantonese,All,20,除(衫),140,produces,0.3286
Cantonese,All,20,除(衫),140,understands,0
Cantonese,All,21,除(衫),120,produces,0.4
Cantonese,All,21,除(衫),120,understands,0
Cantonese,All,22,除(衫),68,produces,0.4559
Cantonese,All,22,除(衫),68,understands,0
Cantonese,All,23,除(衫),74,produces,0.4459
Cantonese,All,23,除(衫),74,understands,0
Cantonese,All,24,除(衫),68,produces,0.6765
Cantonese,All,24,除(衫),68,understands,0
Cantonese,All,25,除(衫),65,produces,0.6615
Cantonese,All,25,除(衫),65,understands,0
Cantonese,All,26,除(衫),68,produces,0.6618
Cantonese,All,26,除(衫),68,understands,0
Cantonese,All,27,除(衫),62,produces,0.7742
Cantonese,All,27,除(衫),62,understands,0
Cantonese,All,28,除(衫),66,produces,0.8788
Cantonese,All,28,除(衫),66,understands,0
Cantonese,All,29,除(衫),72,produces,0.8194
Cantonese,All,29,除(衫),72,understands,0
Cantonese,All,30,除(衫),164,produces,0.8902
Cantonese,All,30,除(衫),164,understands,0
Finnish,All,18,riisua,35,produces,0.0286
Finnish,All,18,riisua,35,understands,0
Finnish,All,24,riisua,35,produces,0.6286
Finnish,All,24,riisua,35,understands,0
French (Quebecois),All,8,enlever,103,produces,0
French (Quebecois),All,8,enlever,103,understands,0.0388
French (Quebecois),All,9,enlever,167,produces,0
French (Quebecois),All,9,enlever,167,understands,0.0299
French (Quebecois),All,10,enlever,86,produces,0
French (Quebecois),All,10,enlever,86,understands,0.0698
French (Quebecois),All,11,enlever,81,produces,0
French (Quebecois),All,11,enlever,81,understands,0.1111
French (Quebecois),All,12,enlever,166,produces,0
French (Quebecois),All,12,enlever,166,understands,0.1265
French (Quebecois),All,13,enlever,126,produces,0
French (Quebecois),All,13,enlever,126,understands,0.1349
French (Quebecois),All,14,enlever,228,produces,0
