language,age,words,n,measure,prop
Slovak,8,cúvať,73,produces,0
Slovak,8,cúvať,73,understands,0.0274
Slovak,9,cúvať,59,produces,0
Slovak,9,cúvať,59,understands,0.0678
Slovak,10,cúvať,73,produces,0
Slovak,10,cúvať,73,understands,0.0137
Slovak,11,cúvať,62,produces,0
Slovak,11,cúvať,62,understands,0.0968
Slovak,12,cúvať,79,produces,0
Slovak,12,cúvať,79,understands,0.1772
Slovak,13,cúvať,74,produces,0.0135
Slovak,13,cúvať,74,understands,0.1216
Slovak,14,cúvať,78,produces,0.0256
Slovak,14,cúvať,78,understands,0.1923
Slovak,15,cúvať,87,produces,0.0115
Slovak,15,cúvať,87,understands,0.2644
Slovak,16,cúvať,68,produces,0.0441
Slovak,16,cúvať,68,understands,0.3676
Slovak,17,cúvať,70,produces,0.0429
Slovak,17,cúvať,70,understands,0
Slovak,18,cúvať,65,produces,0.0308
Slovak,18,cúvať,65,understands,0
Slovak,19,cúvať,56,produces,0.1071
Slovak,19,cúvať,56,understands,0
Slovak,20,cúvať,62,produces,0.2097
Slovak,20,cúvať,62,understands,0
Slovak,21,cúvať,81,produces,0.1481
Slovak,21,cúvať,81,understands,0
Slovak,22,cúvať,53,produces,0.1132
Slovak,22,cúvať,53,understands,0
Slovak,23,cúvať,59,produces,0.339
Slovak,23,cúvať,59,understands,0
Slovak,24,cúvať,59,produces,0.2542
Slovak,24,cúvať,59,understands,0
Slovak,25,cúvať,69,produces,0.3043
Slovak,25,cúvať,69,understands,0
Slovak,26,cúvať,78,produces,0.5513
Slovak,26,cúvať,78,understands,0
Slovak,27,cúvať,62,produces,0.5806
Slovak,27,cúvať,62,understands,0
Slovak,28,cúvať,86,produces,0.3953
Slovak,28,cúvať,86,understands,0
Slovak,29,cúvať,75,produces,0.5467
Slovak,29,cúvať,75,understands,0
Slovak,30,cúvať,49,produces,0.6122
Slovak,30,cúvať,49,understands,0
Slovak,31,cúvať,29,produces,0.5172
Slovak,31,cúvať,29,understands,0
Slovak,32,cúvať,25,produces,0.72
Slovak,32,cúvať,25,understands,0
Slovak,33,cúvať,22,produces,0.6818
Slovak,33,cúvať,22,understands,0
Slovak,34,cúvať,27,produces,0.6667
Slovak,34,cúvať,27,understands,0
Slovak,35,cúvať,27,produces,0.5926
Slovak,35,cúvať,27,understands,0
Slovak,36,cúvať,8,produces,0.625
Slovak,36,cúvať,8,understands,0
Swedish,16,backa,159,produces,0.0063
Swedish,16,backa,159,understands,0
Swedish,19,backa,152,produces,0.0461
Swedish,19,backa,152,understands,0
Swedish,22,backa,307,produces,0.1792
Swedish,22,backa,307,understands,0
Swedish,25,backa,143,produces,0.3846
Swedish,25,backa,143,understands,0
Swedish,28,backa,139,produces,0.554
Swedish,28,backa,139,understands,0
