language,sex,age,words,n,measure,prop
English (American),All,16,rip,930,produces,0.0022
English (American),All,16,rip,930,understands,0
English (American),All,17,rip,467,produces,0.0193
English (American),All,17,rip,467,understands,0
English (American),All,18,rip,664,produces,0.0181
English (American),All,18,rip,664,understands,0
English (American),All,19,rip,579,produces,0.0363
English (American),All,19,rip,579,understands,0
English (American),All,20,rip,546,produces,0.0366
English (American),All,20,rip,546,understands,0
English (American),All,21,rip,377,produces,0.0424
English (American),All,21,rip,377,understands,0
English (American),All,22,rip,456,produces,0.0658
English (American),All,22,rip,456,understands,0
English (American),All,23,rip,470,produces,0.1255
English (American),All,23,rip,470,understands,0
English (American),All,24,rip,985,produces,0.1411
English (American),All,24,rip,985,understands,0
English (American),All,25,rip,757,produces,0.1546
English (American),All,25,rip,757,understands,0
English (American),All,26,rip,435,produces,0.2207
English (American),All,26,rip,435,understands,0
English (American),All,27,rip,361,produces,0.2715
English (American),All,27,rip,361,understands,0
English (American),All,28,rip,954,produces,0.3826
English (American),All,28,rip,954,understands,0
English (American),All,29,rip,390,produces,0.3692
English (American),All,29,rip,390,understands,0
English (American),All,30,rip,785,produces,0.3643
English (American),All,30,rip,785,understands,0
Irish,All,17,réab_srac_stróic,2,produces,0
Irish,All,17,réab_srac_stróic,2,understands,0
Irish,All,18,réab_srac_stróic,1,produces,0
Irish,All,18,réab_srac_stróic,1,understands,0
Irish,All,19,réab_srac_stróic,2,produces,0
Irish,All,19,réab_srac_stróic,2,understands,0
Irish,All,20,réab_srac_stróic,1,produces,0
Irish,All,20,réab_srac_stróic,1,understands,0
Irish,All,21,réab_srac_stróic,3,produces,0
Irish,All,21,réab_srac_stróic,3,understands,0
Irish,All,22,réab_srac_stróic,4,produces,0
Irish,All,22,réab_srac_stróic,4,understands,0
Irish,All,23,réab_srac_stróic,4,produces,0.25
Irish,All,23,réab_srac_stróic,4,understands,0
Irish,All,24,réab_srac_stróic,4,produces,0.25
Irish,All,24,réab_srac_stróic,4,understands,0
Irish,All,25,réab_srac_stróic,6,produces,0.1667
Irish,All,25,réab_srac_stróic,6,understands,0
Irish,All,26,réab_srac_stróic,10,produces,0.2
Irish,All,26,réab_srac_stróic,10,understands,0
Irish,All,27,réab_srac_stróic,5,produces,0.6
Irish,All,27,réab_srac_stróic,5,understands,0
Irish,All,28,réab_srac_stróic,7,produces,0.2857
Irish,All,28,réab_srac_stróic,7,understands,0
Irish,All,29,réab_srac_stróic,4,produces,0.5
Irish,All,29,réab_srac_stróic,4,understands,0
Irish,All,30,réab_srac_stróic,9,produces,0.7778
Irish,All,30,réab_srac_stróic,9,understands,0
Irish,All,31,réab_srac_stróic,8,produces,0
Irish,All,31,réab_srac_stróic,8,understands,0
Irish,All,32,réab_srac_stróic,4,produces,0.5
Irish,All,32,réab_srac_stróic,4,understands,0
Irish,All,33,réab_srac_stróic,5,produces,0.8
Irish,All,33,réab_srac_stróic,5,understands,0
Irish,All,34,réab_srac_stróic,4,produces,0.5
Irish,All,34,réab_srac_stróic,4,understands,0
Irish,All,35,réab_srac_stróic,11,produces,0.6364
Irish,All,35,réab_srac_stróic,11,understands,0
Irish,All,36,réab_srac_stróic,5,produces,0.8
Irish,All,36,réab_srac_stróic,5,understands,0
Italian,All,18,strappare,31,produces,0
Italian,All,18,strappare,31,understands,0
Italian,All,19,strappare,39,produces,0.0256
Italian,All,19,strappare,39,understands,0
Italian,All,20,strappare,64,produces,0.0156
Italian,All,20,strappare,64,understands,0
