language,sex,age,words,n,measure,prop
Cantonese,All,16,包剪????*,46,produces,0
Cantonese,All,16,包剪????*,46,understands,0
Cantonese,All,17,包剪????*,61,produces,0.0492
Cantonese,All,17,包剪????*,61,understands,0
Cantonese,All,18,包剪????*,68,produces,0.1029
Cantonese,All,18,包剪????*,68,understands,0
Cantonese,All,19,包剪????*,66,produces,0.1364
Cantonese,All,19,包剪????*,66,understands,0
Cantonese,All,20,包剪????*,140,produces,0.0714
Cantonese,All,20,包剪????*,140,understands,0
Cantonese,All,21,包剪????*,120,produces,0.1333
Cantonese,All,21,包剪????*,120,understands,0
Cantonese,All,22,包剪????*,68,produces,0.2059
Cantonese,All,22,包剪????*,68,understands,0
Cantonese,All,23,包剪????*,74,produces,0.2027
Cantonese,All,23,包剪????*,74,understands,0
Cantonese,All,24,包剪????*,68,produces,0.3235
Cantonese,All,24,包剪????*,68,understands,0
Cantonese,All,25,包剪????*,65,produces,0.3077
Cantonese,All,25,包剪????*,65,understands,0
Cantonese,All,26,包剪????*,68,produces,0.3088
Cantonese,All,26,包剪????*,68,understands,0
Cantonese,All,27,包剪????*,62,produces,0.4194
Cantonese,All,27,包剪????*,62,understands,0
Cantonese,All,28,包剪????*,66,produces,0.5303
Cantonese,All,28,包剪????*,66,understands,0
Cantonese,All,29,包剪????*,72,produces,0.6944
Cantonese,All,29,包剪????*,72,understands,0
Cantonese,All,30,包剪????*,164,produces,0.5061
Cantonese,All,30,包剪????*,164,understands,0
Japanese,All,16,じゃんけんぽん,11,produces,0
Japanese,All,16,じゃんけんぽん,11,understands,0
Japanese,All,17,じゃんけんぽん,17,produces,0
Japanese,All,17,じゃんけんぽん,17,understands,0
Japanese,All,18,じゃんけんぽん,56,produces,0.0536
Japanese,All,18,じゃんけんぽん,56,understands,0
Japanese,All,19,じゃんけんぽん,35,produces,0.1429
Japanese,All,19,じゃんけんぽん,35,understands,0
Japanese,All,20,じゃんけんぽん,59,produces,0.1356
Japanese,All,20,じゃんけんぽん,59,understands,0
Japanese,All,21,じゃんけんぽん,62,produces,0.1935
Japanese,All,21,じゃんけんぽん,62,understands,0
Japanese,All,22,じゃんけんぽん,31,produces,0.3548
Japanese,All,22,じゃんけんぽん,31,understands,0
Japanese,All,23,じゃんけんぽん,67,produces,0.3433
Japanese,All,23,じゃんけんぽん,67,understands,0
Japanese,All,24,じゃんけんぽん,33,produces,0.3939
Japanese,All,24,じゃんけんぽん,33,understands,0
Japanese,All,25,じゃんけんぽん,34,produces,0.3529
Japanese,All,25,じゃんけんぽん,34,understands,0
Japanese,All,26,じゃんけんぽん,33,produces,0.3636
Japanese,All,26,じゃんけんぽん,33,understands,0
Japanese,All,27,じゃんけんぽん,15,produces,0.4
Japanese,All,27,じゃんけんぽん,15,understands,0
Japanese,All,28,じゃんけんぽん,18,produces,0.7778
Japanese,All,28,じゃんけんぽん,18,understands,0
Japanese,All,29,じゃんけんぽん,17,produces,0.5294
Japanese,All,29,じゃんけんぽん,17,understands,0
Japanese,All,30,じゃんけんぽん,18,produces,0.5556
Japanese,All,30,じゃんけんぽん,18,understands,0
Japanese,All,31,じゃんけんぽん,18,produces,0.6111
Japanese,All,31,じゃんけんぽん,18,understands,0
Japanese,All,32,じゃんけんぽん,13,produces,0.7692
Japanese,All,32,じゃんけんぽん,13,understands,0
Japanese,All,33,じゃんけんぽん,16,produces,0.875
Japanese,All,33,じゃんけんぽん,16,understands,0
Japanese,All,34,じゃんけんぽん,13,produces,0.9231
Japanese,All,34,じゃんけんぽん,13,understands,0
Japanese,All,35,じゃんけんぽん,31,produces,0.9032
Japanese,All,35,じゃんけんぽん,31,understands,0
Japanese,All,36,じゃんけんぽん,18,produces,0.8333
Japanese,All,36,じゃんけんぽん,18,understands,0
Cantonese,Female,16,包剪????*,23,produces,0
Cantonese,Female,16,包剪????*,23,understands,0
Cantonese,Male,16,包剪????*,23,produces,0
Cantonese,Male,16,包剪????*,23,understands,0
Cantonese,Female,17,包剪????*,30,produces,0.1
Cantonese,Female,17,包剪????*,30,understands,0
Cantonese,Male,17,包剪????*,31,produces,0
Cantonese,Male,17,包剪????*,31,understands,0
Cantonese,Female,18,包剪????*,33,produces,0.1818
Cantonese,Female,18,包剪????*,33,understands,0
Cantonese,Male,18,包剪????*,35,produces,0.0286
Cantonese,Male,18,包剪????*,35,understands,0
Cantonese,Female,19,包剪????*,30,produces,0.1667
Cantonese,Female,19,包剪????*,30,understands,0
Cantonese,Male,19,包剪????*,36,produces,0.1111
Cantonese,Male,19,包剪????*,36,understands,0
Cantonese,Female,20,包剪????*,62,produces,0.0645
Cantonese,Female,20,包剪????*,62,understands,0
Cantonese,Male,20,包剪????*,78,produces,0.0769
