language,age,words,n,measure,prop
Italian,7,gallo,5,produces,0
Italian,7,gallo,5,understands,0
Italian,8,gallo,34,produces,0
Italian,8,gallo,34,understands,0.0294
Italian,9,gallo,38,produces,0
Italian,9,gallo,38,understands,0.0263
Italian,10,gallo,53,produces,0
Italian,10,gallo,53,understands,0.0755
Italian,11,gallo,42,produces,0
Italian,11,gallo,42,understands,0.119
Italian,12,gallo,69,produces,0.0145
Italian,12,gallo,69,understands,0.1304
Italian,13,gallo,48,produces,0.0417
Italian,13,gallo,48,understands,0.2292
Italian,14,gallo,40,produces,0
Italian,14,gallo,40,understands,0.35
Italian,15,gallo,68,produces,0.0441
Italian,15,gallo,68,understands,0.2353
Italian,16,gallo,56,produces,0.0714
Italian,16,gallo,56,understands,0.4107
Italian,17,gallo,48,produces,0.1875
Italian,17,gallo,48,understands,0.5
Italian,18,gallo,75,produces,0.1467
Italian,18,gallo,75,understands,0.2933
Italian,19,gallo,58,produces,0.1552
Italian,19,gallo,58,understands,0.2069
Italian,20,gallo,83,produces,0.1807
Italian,20,gallo,83,understands,0.1446
Italian,21,gallo,67,produces,0.3731
Italian,21,gallo,67,understands,0.1493
Italian,22,gallo,77,produces,0.3766
Italian,22,gallo,77,understands,0.1688
Italian,23,gallo,70,produces,0.4857
Italian,23,gallo,70,understands,0.1714
Italian,24,gallo,85,produces,0.5176
Italian,24,gallo,85,understands,0.1059
Italian,25,gallo,39,produces,0.5897
Italian,25,gallo,39,understands,0
Italian,26,gallo,41,produces,0.7073
Italian,26,gallo,41,understands,0
Italian,27,gallo,43,produces,0.7442
Italian,27,gallo,43,understands,0
Italian,28,gallo,44,produces,0.6364
Italian,28,gallo,44,understands,0
Italian,29,gallo,37,produces,0.7027
Italian,29,gallo,37,understands,0
Italian,30,gallo,67,produces,0.791
Italian,30,gallo,67,understands,0
Italian,31,gallo,19,produces,0.7895
Italian,31,gallo,19,understands,0
Italian,32,gallo,23,produces,0.7391
Italian,32,gallo,23,understands,0
Italian,33,gallo,16,produces,0.875
Italian,33,gallo,16,understands,0
Italian,34,gallo,19,produces,0.7895
Italian,34,gallo,19,understands,0
Italian,35,gallo,15,produces,0.8667
Italian,35,gallo,15,understands,0
Italian,36,gallo,21,produces,0.8095
Italian,36,gallo,21,understands,0
Kigiriama,16,Jogolo,1,produces,0
Kigiriama,16,Jogolo,1,understands,0
Kigiriama,17,Jogolo,6,produces,0
Kigiriama,17,Jogolo,6,understands,0
Kigiriama,18,Jogolo,13,produces,0.1538
Kigiriama,18,Jogolo,13,understands,0
Kigiriama,19,Jogolo,8,produces,0.125
Kigiriama,19,Jogolo,8,understands,0
Kigiriama,20,Jogolo,14,produces,0.1429
Kigiriama,20,Jogolo,14,understands,0
Kigiriama,21,Jogolo,6,produces,0.5
Kigiriama,21,Jogolo,6,understands,0
Kigiriama,22,Jogolo,9,produces,0.4444
Kigiriama,22,Jogolo,9,understands,0
Kigiriama,23,Jogolo,4,produces,0
Kigiriama,23,Jogolo,4,understands,0
Kigiriama,24,Jogolo,7,produces,0.7143
Kigiriama,24,Jogolo,7,understands,0
Kigiriama,25,Jogolo,3,produces,0.6667
Kigiriama,25,Jogolo,3,understands,0
Kigiriama,26,Jogolo,6,produces,0.3333
Kigiriama,26,Jogolo,6,understands,0
Kigiriama,27,Jogolo,4,produces,0.75
Kigiriama,27,Jogolo,4,understands,0
Kigiriama,28,Jogolo,1,produces,0
Kigiriama,28,Jogolo,1,understands,0
Kigiriama,29,Jogolo,5,produces,0.6
Kigiriama,29,Jogolo,5,understands,0
Kigiriama,30,Jogolo,1,produces,1
Kigiriama,30,Jogolo,1,understands,0
Latvian,8,gailis,16,produces,0
Latvian,8,gailis,16,understands,0
Latvian,9,gailis,18,produces,0
Latvian,9,gailis,18,understands,0
Latvian,10,gailis,26,produces,0
Latvian,10,gailis,26,understands,0.2308
Latvian,11,gailis,15,produces,0.0667
Latvian,11,gailis,15,understands,0.2
Latvian,12,gailis,16,produces,0.125
Latvian,12,gailis,16,understands,0.1875
Latvian,13,gailis,22,produces,0
Latvian,13,gailis,22,understands,0.3182
Latvian,14,gailis,25,produces,0.08
Latvian,14,gailis,25,understands,0.32
Latvian,15,gailis,29,produces,0.1034
Latvian,15,gailis,29,understands,0.4138
Latvian,16,gailis,16,produces,0.125
Latvian,16,gailis,16,understands,0.5
Latvian,17,gailis,27,produces,0.0741
Latvian,17,gailis,27,understands,0
Latvian,18,gailis,21,produces,0.0952
Latvian,18,gailis,21,understands,0
Latvian,19,gailis,28,produces,0.1429
Latvian,19,gailis,28,understands,0
Latvian,20,gailis,34,produces,0.2353
Latvian,20,gailis,34,understands,0
Latvian,21,gailis,26,produces,0.2308
Latvian,21,gailis,26,understands,0
Latvian,22,gailis,32,produces,0.2812
Latvian,22,gailis,32,understands,0
Latvian,23,gailis,25,produces,0.4
Latvian,23,gailis,25,understands,0
Latvian,24,gailis,30,produces,0.6
Latvian,24,gailis,30,understands,0
Latvian,25,gailis,29,produces,0.5517
Latvian,25,gailis,29,understands,0
Latvian,26,gailis,22,produces,0.6818
Latvian,26,gailis,22,understands,0
Latvian,27,gailis,18,produces,0.6111
Latvian,27,gailis,18,understands,0
Latvian,28,gailis,23,produces,0.5652
Latvian,28,gailis,23,understands,0
Latvian,29,gailis,24,produces,0.625
Latvian,29,gailis,24,understands,0
Latvian,30,gailis,26,produces,0.6154
Latvian,30,gailis,26,understands,0
Latvian,31,gailis,19,produces,0.7895
Latvian,31,gailis,19,understands,0
Latvian,32,gailis,25,produces,0.68
Latvian,32,gailis,25,understands,0
Latvian,33,gailis,31,produces,0.7097
Latvian,33,gailis,31,understands,0
Latvian,34,gailis,17,produces,0.8235
Latvian,34,gailis,17,understands,0
Latvian,35,gailis,21,produces,0.8571
Latvian,35,gailis,21,understands,0
Latvian,36,gailis,22,produces,0.8182
Latvian,36,gailis,22,understands,0
Mandarin (Beijing),17,公鸡,40,produces,0.225
Mandarin (Beijing),17,公鸡,40,understands,0
Mandarin (Beijing),18,公鸡,50,produces,0.24
Mandarin (Beijing),18,公鸡,50,understands,0
Mandarin (Beijing),19,公鸡,50,produces,0.3
