language,sex,age,words,n,measure,prop
American Sign Language,All,8,SAD,1,produces,0
American Sign Language,All,8,SAD,1,understands,0
American Sign Language,All,9,SAD,4,produces,0
American Sign Language,All,9,SAD,4,understands,0
American Sign Language,All,10,SAD,5,produces,0
American Sign Language,All,10,SAD,5,understands,0.2
American Sign Language,All,11,SAD,3,produces,0
American Sign Language,All,11,SAD,3,understands,0
American Sign Language,All,12,SAD,4,produces,0
American Sign Language,All,12,SAD,4,understands,0
American Sign Language,All,13,SAD,4,produces,0
American Sign Language,All,13,SAD,4,understands,0
American Sign Language,All,14,SAD,1,produces,0
American Sign Language,All,14,SAD,1,understands,0
American Sign Language,All,15,SAD,3,produces,0
American Sign Language,All,15,SAD,3,understands,0
American Sign Language,All,16,SAD,2,produces,0
American Sign Language,All,16,SAD,2,understands,0.5
American Sign Language,All,17,SAD,5,produces,0.2
American Sign Language,All,17,SAD,5,understands,0.4
American Sign Language,All,18,SAD,11,produces,0.2727
American Sign Language,All,18,SAD,11,understands,0.5455
American Sign Language,All,19,SAD,6,produces,0.1667
American Sign Language,All,19,SAD,6,understands,0.8333
American Sign Language,All,20,SAD,3,produces,0.3333
American Sign Language,All,20,SAD,3,understands,0.6667
American Sign Language,All,21,SAD,4,produces,0.5
American Sign Language,All,21,SAD,4,understands,0.5
American Sign Language,All,22,SAD,10,produces,0.2
American Sign Language,All,22,SAD,10,understands,0.5
American Sign Language,All,23,SAD,5,produces,0.4
American Sign Language,All,23,SAD,5,understands,0.4
American Sign Language,All,24,SAD,9,produces,0
American Sign Language,All,24,SAD,9,understands,0.1111
American Sign Language,All,25,SAD,13,produces,0.3077
American Sign Language,All,25,SAD,13,understands,0.7692
American Sign Language,All,26,SAD,4,produces,0.25
American Sign Language,All,26,SAD,4,understands,0.75
American Sign Language,All,27,SAD,7,produces,0.2857
American Sign Language,All,27,SAD,7,understands,0.4286
American Sign Language,All,28,SAD,7,produces,0.7143
American Sign Language,All,28,SAD,7,understands,0.5714
American Sign Language,All,29,SAD,6,produces,0.8333
American Sign Language,All,29,SAD,6,understands,1
American Sign Language,All,30,SAD,7,produces,0.5714
American Sign Language,All,30,SAD,7,understands,0.5714
American Sign Language,All,31,SAD,9,produces,0.6667
American Sign Language,All,31,SAD,9,understands,0.5556
American Sign Language,All,32,SAD,15,produces,0.7333
American Sign Language,All,32,SAD,15,understands,0.4
American Sign Language,All,33,SAD,6,produces,0.6667
American Sign Language,All,33,SAD,6,understands,0.6667
American Sign Language,All,34,SAD,7,produces,0.8571
American Sign Language,All,34,SAD,7,understands,0.7143
American Sign Language,All,35,SAD,7,produces,0.4286
American Sign Language,All,35,SAD,7,understands,0.5714
American Sign Language,All,36,SAD,3,produces,0.3333
American Sign Language,All,36,SAD,3,understands,0.6667
Arabic (Saudi),All,8,زعلان/ حزين,19,produces,0
Arabic (Saudi),All,8,زعلان/ حزين,19,understands,0
Arabic (Saudi),All,9,زعلان/ حزين,18,produces,0
Arabic (Saudi),All,9,زعلان/ حزين,18,understands,0
Arabic (Saudi),All,10,زعلان/ حزين,25,produces,0
Arabic (Saudi),All,10,زعلان/ حزين,25,understands,0
Arabic (Saudi),All,11,زعلان/ حزين,21,produces,0.0476
Arabic (Saudi),All,11,زعلان/ حزين,21,understands,0
Arabic (Saudi),All,12,زعلان/ حزين,19,produces,0
Arabic (Saudi),All,12,زعلان/ حزين,19,understands,0
Arabic (Saudi),All,13,زعلان/ حزين,36,produces,0.1667
Arabic (Saudi),All,13,زعلان/ حزين,36,understands,0
Arabic (Saudi),All,14,زعلان/ حزين,20,produces,0
Arabic (Saudi),All,14,زعلان/ حزين,20,understands,0
Arabic (Saudi),All,15,زعلان/ حزين,19,produces,0
Arabic (Saudi),All,15,زعلان/ حزين,19,understands,0
Arabic (Saudi),All,16,زعلان/ حزين,18,produces,0
Arabic (Saudi),All,16,زعلان/ حزين,18,understands,0
British Sign Language,All,8,sad,4,produces,0
British Sign Language,All,8,sad,4,understands,0
British Sign Language,All,9,sad,4,produces,0
British Sign Language,All,9,sad,4,understands,0
British Sign Language,All,10,sad,4,produces,0
British Sign Language,All,10,sad,4,understands,0
British Sign Language,All,11,sad,6,produces,0
British Sign Language,All,11,sad,6,understands,0
British Sign Language,All,12,sad,6,produces,0
British Sign Language,All,12,sad,6,understands,0
British Sign Language,All,13,sad,6,produces,0
British Sign Language,All,13,sad,6,understands,0
British Sign Language,All,14,sad,7,produces,0
British Sign Language,All,14,sad,7,understands,0
British Sign Language,All,15,sad,6,produces,0
British Sign Language,All,15,sad,6,understands,0
British Sign Language,All,16,sad,7,produces,0.1429
British Sign Language,All,16,sad,7,understands,0.2857
British Sign Language,All,17,sad,7,produces,0
British Sign Language,All,17,sad,7,understands,0
British Sign Language,All,18,sad,8,produces,0
British Sign Language,All,18,sad,8,understands,0.125
British Sign Language,All,19,sad,8,produces,0.125
British Sign Language,All,19,sad,8,understands,0.375
British Sign Language,All,20,sad,11,produces,0.0909
British Sign Language,All,20,sad,11,understands,0.1818
British Sign Language,All,21,sad,5,produces,0
British Sign Language,All,21,sad,5,understands,0
British Sign Language,All,22,sad,6,produces,0.1667
British Sign Language,All,22,sad,6,understands,0.3333
British Sign Language,All,23,sad,7,produces,0.4286
British Sign Language,All,23,sad,7,understands,0.4286
British Sign Language,All,24,sad,5,produces,0.2
British Sign Language,All,24,sad,5,understands,0.2
British Sign Language,All,25,sad,7,produces,0.1429
British Sign Language,All,25,sad,7,understands,0.2857
British Sign Language,All,26,sad,6,produces,0.6667
British Sign Language,All,26,sad,6,understands,0.6667
British Sign Language,All,27,sad,6,produces,0.1667
British Sign Language,All,27,sad,6,understands,0.3333
British Sign Language,All,28,sad,3,produces,0
British Sign Language,All,28,sad,3,understands,0
British Sign Language,All,29,sad,7,produces,0.7143
British Sign Language,All,29,sad,7,understands,0.8571
British Sign Language,All,30,sad,5,produces,0.4
British Sign Language,All,30,sad,5,understands,1
British Sign Language,All,31,sad,2,produces,0.5
British Sign Language,All,31,sad,2,understands,0.5
British Sign Language,All,32,sad,6,produces,0.6667
British Sign Language,All,32,sad,6,understands,0.6667
British Sign Language,All,33,sad,5,produces,0.6
British Sign Language,All,33,sad,5,understands,0.8
British Sign Language,All,34,sad,2,produces,0
British Sign Language,All,34,sad,2,understands,0.5
British Sign Language,All,35,sad,2,produces,1
British Sign Language,All,35,sad,2,understands,1
British Sign Language,All,36,sad,3,produces,1
British Sign Language,All,36,sad,3,understands,1
Cantonese,All,16,傷心,46,produces,0
Cantonese,All,16,傷心,46,understands,0
Cantonese,All,17,傷心,61,produces,0
Cantonese,All,17,傷心,61,understands,0
Cantonese,All,18,傷心,68,produces,0
Cantonese,All,18,傷心,68,understands,0
Cantonese,All,19,傷心,66,produces,0
Cantonese,All,19,傷心,66,understands,0
Cantonese,All,20,傷心,140,produces,0.0214
Cantonese,All,20,傷心,140,understands,0
Cantonese,All,21,傷心,120,produces,0.075
Cantonese,All,21,傷心,120,understands,0
Cantonese,All,22,傷心,68,produces,0.0294
Cantonese,All,22,傷心,68,understands,0
Cantonese,All,23,傷心,74,produces,0.027
Cantonese,All,23,傷心,74,understands,0
Cantonese,All,24,傷心,68,produces,0.0588
Cantonese,All,24,傷心,68,understands,0
Cantonese,All,25,傷心,65,produces,0
Cantonese,All,25,傷心,65,understands,0
