language,sex,age,words,n,measure,prop
American Sign Language,All,8,SANDAL,1,produces,0
American Sign Language,All,8,SANDAL,1,understands,0
American Sign Language,All,10,SANDAL,3,produces,0
American Sign Language,All,10,SANDAL,3,understands,0
American Sign Language,All,11,SANDALS,1,produces,0
American Sign Language,All,11,SANDALS,1,understands,0
American Sign Language,All,12,SANDAL,2,produces,0
American Sign Language,All,12,SANDAL,2,understands,0
American Sign Language,All,13,"SANDALS, SANDAL",4,produces,0
American Sign Language,All,13,"SANDALS, SANDAL",4,understands,0
American Sign Language,All,14,SANDAL,1,produces,0
American Sign Language,All,14,SANDAL,1,understands,0
American Sign Language,All,15,"SANDALS, SANDAL",2,produces,0
American Sign Language,All,15,"SANDALS, SANDAL",2,understands,0
American Sign Language,All,17,SANDAL,2,produces,0
American Sign Language,All,17,SANDAL,2,understands,0
American Sign Language,All,18,SANDAL,4,produces,0
American Sign Language,All,18,SANDAL,4,understands,0
American Sign Language,All,19,SANDALS,1,produces,0
American Sign Language,All,19,SANDALS,1,understands,0
American Sign Language,All,20,SANDALS,1,produces,0
American Sign Language,All,20,SANDALS,1,understands,0
American Sign Language,All,21,"SANDAL, SANDALS",2,produces,0
American Sign Language,All,21,"SANDAL, SANDALS",2,understands,0.5
American Sign Language,All,22,SANDALS,2,produces,0
American Sign Language,All,22,SANDALS,2,understands,0
American Sign Language,All,23,"SANDALS, SANDAL",3,produces,0
American Sign Language,All,23,"SANDALS, SANDAL",3,understands,0
American Sign Language,All,24,SANDALS,3,produces,0
American Sign Language,All,24,SANDALS,3,understands,0
American Sign Language,All,25,SANDAL,2,produces,0.5
American Sign Language,All,25,SANDAL,2,understands,0
American Sign Language,All,27,"SANDALS, SANDAL",2,produces,0.5
American Sign Language,All,27,"SANDALS, SANDAL",2,understands,0
American Sign Language,All,28,"SANDAL, SANDALS",4,produces,0
American Sign Language,All,28,"SANDAL, SANDALS",4,understands,0.25
American Sign Language,All,30,"SANDALS, SANDAL",3,produces,0
American Sign Language,All,30,"SANDALS, SANDAL",3,understands,0
American Sign Language,All,31,"SANDALS, SANDAL",3,produces,0.3333
American Sign Language,All,31,"SANDALS, SANDAL",3,understands,0
American Sign Language,All,32,"SANDALS, SANDAL",8,produces,0.25
American Sign Language,All,32,"SANDALS, SANDAL",8,understands,0
American Sign Language,All,33,SANDAL,2,produces,0
American Sign Language,All,33,SANDAL,2,understands,0
American Sign Language,All,34,"SANDAL, SANDALS",2,produces,0.5
American Sign Language,All,34,"SANDAL, SANDALS",2,understands,0
American Sign Language,All,35,SANDAL,3,produces,0
American Sign Language,All,35,SANDAL,3,understands,0
Arabic (Saudi),All,8,صندل,24,produces,0
Arabic (Saudi),All,8,صندل,24,understands,0.0833
