language,age,words,n,measure,prop
Japanese,8,砂場,6,produces,0
Japanese,8,砂場,6,understands,0
Japanese,9,砂場,10,produces,0
Japanese,9,砂場,10,understands,0
Japanese,10,砂場,8,produces,0
Japanese,10,砂場,8,understands,0
Japanese,11,砂場,87,produces,0
Japanese,11,砂場,87,understands,0.0115
Japanese,12,砂場,118,produces,0
Japanese,12,砂場,118,understands,0
Japanese,13,砂場,23,produces,0
Japanese,13,砂場,23,understands,0.0435
Japanese,14,砂場,26,produces,0
Japanese,14,砂場,26,understands,0.0769
Japanese,15,砂場,72,produces,0
Japanese,15,砂場,72,understands,0.0556
Japanese,16,砂場,46,produces,0
Japanese,16,砂場,46,understands,0.1087
Japanese,17,砂場,77,produces,0.013
Japanese,17,砂場,77,understands,0.1688
Japanese,18,砂場,94,produces,0.0213
Japanese,18,砂場,94,understands,0.0957
Japanese,19,砂場,35,produces,0.0286
Japanese,19,砂場,35,understands,0
Japanese,20,砂場,59,produces,0.0678
Japanese,20,砂場,59,understands,0
Japanese,21,砂場,62,produces,0.0484
Japanese,21,砂場,62,understands,0
Japanese,22,砂場,31,produces,0.0645
Japanese,22,砂場,31,understands,0
Japanese,23,砂場,67,produces,0.1791
Japanese,23,砂場,67,understands,0
Japanese,24,砂場,33,produces,0.2727
Japanese,24,砂場,33,understands,0
Japanese,25,砂場,34,produces,0.3235
Japanese,25,砂場,34,understands,0
Japanese,26,砂場,33,produces,0.4545
Japanese,26,砂場,33,understands,0
Japanese,27,砂場,15,produces,0.3333
Japanese,27,砂場,15,understands,0
Japanese,28,砂場,18,produces,0.5
Japanese,28,砂場,18,understands,0
Japanese,29,砂場,17,produces,0.4706
Japanese,29,砂場,17,understands,0
Japanese,30,砂場,18,produces,0.6667
Japanese,30,砂場,18,understands,0
Japanese,31,砂場,18,produces,0.3889
Japanese,31,砂場,18,understands,0
Japanese,32,砂場,13,produces,0.8462
Japanese,32,砂場,13,understands,0
Japanese,33,砂場,16,produces,0.8125
Japanese,33,砂場,16,understands,0
Japanese,34,砂場,13,produces,0.7692
Japanese,34,砂場,13,understands,0
Japanese,35,砂場,31,produces,0.871
Japanese,35,砂場,31,understands,0
Japanese,36,砂場,18,produces,0.8333
Japanese,36,砂場,18,understands,0
Latvian,17,"formiņa (smilšu k.), smilšukaste",27,produces,0.0741
Latvian,17,"formiņa (smilšu k.), smilšukaste",27,understands,0
Latvian,18,"formiņa (smilšu k.), smilšukaste",21,produces,0.0238
Latvian,18,"formiņa (smilšu k.), smilšukaste",21,understands,0
Latvian,19,"formiņa (smilšu k.), smilšukaste",28,produces,0.0536
Latvian,19,"formiņa (smilšu k.), smilšukaste",28,understands,0
Latvian,20,"formiņa (smilšu k.), smilšukaste",34,produces,0.0735
Latvian,20,"formiņa (smilšu k.), smilšukaste",34,understands,0
Latvian,21,"formiņa (smilšu k.), smilšukaste",26,produces,0.1538
Latvian,21,"formiņa (smilšu k.), smilšukaste",26,understands,0
Latvian,22,"formiņa (smilšu k.), smilšukaste",32,produces,0.1406
Latvian,22,"formiņa (smilšu k.), smilšukaste",32,understands,0
Latvian,23,"formiņa (smilšu k.), smilšukaste",25,produces,0.24
Latvian,23,"formiņa (smilšu k.), smilšukaste",25,understands,0
Latvian,24,"formiņa (smilšu k.), smilšukaste",30,produces,0.2833
Latvian,24,"formiņa (smilšu k.), smilšukaste",30,understands,0
Latvian,25,"formiņa (smilšu k.), smilšukaste",29,produces,0.1379
Latvian,25,"formiņa (smilšu k.), smilšukaste",29,understands,0
Latvian,26,"formiņa (smilšu k.), smilšukaste",22,produces,0.3864
Latvian,26,"formiņa (smilšu k.), smilšukaste",22,understands,0
Latvian,27,"formiņa (smilšu k.), smilšukaste",18,produces,0.4444
Latvian,27,"formiņa (smilšu k.), smilšukaste",18,understands,0
Latvian,28,"formiņa (smilšu k.), smilšukaste",23,produces,0.3696
Latvian,28,"formiņa (smilšu k.), smilšukaste",23,understands,0
Latvian,29,"formiņa (smilšu k.), smilšukaste",24,produces,0.3542
Latvian,29,"formiņa (smilšu k.), smilšukaste",24,understands,0
Latvian,30,"formiņa (smilšu k.), smilšukaste",26,produces,0.3462
Latvian,30,"formiņa (smilšu k.), smilšukaste",26,understands,0
Latvian,31,"formiņa (smilšu k.), smilšukaste",19,produces,0.4737
Latvian,31,"formiņa (smilšu k.), smilšukaste",19,understands,0
Latvian,32,"formiņa (smilšu k.), smilšukaste",25,produces,0.54
Latvian,32,"formiņa (smilšu k.), smilšukaste",25,understands,0
Latvian,33,"formiņa (smilšu k.), smilšukaste",31,produces,0.5968
Latvian,33,"formiņa (smilšu k.), smilšukaste",31,understands,0
Latvian,34,"formiņa (smilšu k.), smilšukaste",17,produces,0.6471
Latvian,34,"formiņa (smilšu k.), smilšukaste",17,understands,0
Latvian,35,"formiņa (smilšu k.), smilšukaste",21,produces,0.5714
Latvian,35,"formiņa (smilšu k.), smilšukaste",21,understands,0
Latvian,36,"formiņa (smilšu k.), smilšukaste",22,produces,0.5
Latvian,36,"formiņa (smilšu k.), smilšukaste",22,understands,0
Norwegian,16,sandkasse,98,produces,0
Norwegian,16,sandkasse,98,understands,0
Norwegian,17,sandkasse,218,produces,0.0229
Norwegian,17,sandkasse,218,understands,0
Norwegian,18,sandkasse,271,produces,0.0406
Norwegian,18,sandkasse,271,understands,0
Norwegian,19,sandkasse,281,produces,0.0605
Norwegian,19,sandkasse,281,understands,0
Norwegian,20,sandkasse,342,produces,0.1345
Norwegian,20,sandkasse,342,understands,0
Norwegian,21,sandkasse,418,produces,0.1675
Norwegian,21,sandkasse,418,understands,0
Norwegian,22,sandkasse,596,produces,0.2265
Norwegian,22,sandkasse,596,understands,0
Norwegian,23,sandkasse,566,produces,0.3039
Norwegian,23,sandkasse,566,understands,0
Norwegian,24,sandkasse,538,produces,0.4033
Norwegian,24,sandkasse,538,understands,0
Norwegian,25,sandkasse,656,produces,0.4771
Norwegian,25,sandkasse,656,understands,0
Norwegian,26,sandkasse,644,produces,0.6118
Norwegian,26,sandkasse,644,understands,0
Norwegian,27,sandkasse,525,produces,0.6971
Norwegian,27,sandkasse,525,understands,0
Norwegian,28,sandkasse,544,produces,0.739
Norwegian,28,sandkasse,544,understands,0
Norwegian,29,sandkasse,536,produces,0.7836
Norwegian,29,sandkasse,536,understands,0
Norwegian,30,sandkasse,457,produces,0.8096
Norwegian,30,sandkasse,457,understands,0
Norwegian,31,sandkasse,479,produces,0.8434
Norwegian,31,sandkasse,479,understands,0
Norwegian,32,sandkasse,451,produces,0.8914
Norwegian,32,sandkasse,451,understands,0
Norwegian,33,sandkasse,430,produces,0.9116
Norwegian,33,sandkasse,430,understands,0
Norwegian,34,sandkasse,424,produces,0.8892
Norwegian,34,sandkasse,424,understands,0
Norwegian,35,sandkasse,422,produces,0.9408
Norwegian,35,sandkasse,422,understands,0
Norwegian,36,sandkasse,329,produces,0.9453
Norwegian,36,sandkasse,329,understands,0
Russian,18,песочница,42,produces,0.0714
Russian,18,песочница,42,understands,0
Russian,19,песочница,41,produces,0.0244
Russian,19,песочница,41,understands,0
Russian,20,песочница,45,produces,0.0667
Russian,20,песочница,45,understands,0
Russian,21,песочница,43,produces,0.2558
Russian,21,песочница,43,understands,0
Russian,22,песочница,51,produces,0.1569
Russian,22,песочница,51,understands,0
Russian,23,песочница,56,produces,0.1964
