language,age,words,n,measure,prop
Estonian,16,saun,36,produces,0.0278
Estonian,16,saun,36,understands,0
Estonian,17,saun,89,produces,0.0112
Estonian,17,saun,89,understands,0
Estonian,18,saun,103,produces,0.0388
Estonian,18,saun,103,understands,0
Estonian,19,saun,85,produces,0.0235
Estonian,19,saun,85,understands,0
Estonian,20,saun,60,produces,0.0667
Estonian,20,saun,60,understands,0
Estonian,21,saun,66,produces,0.0303
Estonian,21,saun,66,understands,0
Estonian,22,saun,76,produces,0.0526
Estonian,22,saun,76,understands,0
Estonian,23,saun,95,produces,0.0737
Estonian,23,saun,95,understands,0
Estonian,24,saun,116,produces,0.1724
Estonian,24,saun,116,understands,0
Estonian,25,saun,82,produces,0.1098
Estonian,25,saun,82,understands,0
Estonian,26,saun,84,produces,0.0952
Estonian,26,saun,84,understands,0
Estonian,27,saun,80,produces,0.15
Estonian,27,saun,80,understands,0
Estonian,28,saun,92,produces,0.1196
Estonian,28,saun,92,understands,0
Estonian,29,saun,100,produces,0.18
Estonian,29,saun,100,understands,0
Estonian,30,saun,71,produces,0.1268
Estonian,30,saun,71,understands,0
Finnish,12,sauna  ,35,produces,0
Finnish,12,sauna  ,35,understands,0
Finnish,15,sauna  ,35,produces,0.0286
Finnish,15,sauna  ,35,understands,0.0286
Finnish,18,sauna,119,produces,0.1597
Finnish,18,sauna,119,understands,0
Finnish,24,sauna,119,produces,0.6891
Finnish,24,sauna,119,understands,0
