language,age,words,n,measure,prop
Portuguese (European),16,Gaivota,144,produces,0
Portuguese (European),16,Gaivota,144,understands,0
Portuguese (European),17,Gaivota,158,produces,0.0127
Portuguese (European),17,Gaivota,158,understands,0
Portuguese (European),18,Gaivota,203,produces,0.0148
Portuguese (European),18,Gaivota,203,understands,0
Portuguese (European),19,Gaivota,196,produces,0.0153
Portuguese (European),19,Gaivota,196,understands,0
Portuguese (European),20,Gaivota,218,produces,0.0229
Portuguese (European),20,Gaivota,218,understands,0
Portuguese (European),21,Gaivota,208,produces,0.0481
Portuguese (European),21,Gaivota,208,understands,0
Portuguese (European),22,Gaivota,213,produces,0.061
Portuguese (European),22,Gaivota,213,understands,0
Portuguese (European),23,Gaivota,199,produces,0.0503
Portuguese (European),23,Gaivota,199,understands,0
Portuguese (European),24,Gaivota,215,produces,0.093
Portuguese (European),24,Gaivota,215,understands,0
Portuguese (European),25,Gaivota,213,produces,0.1315
Portuguese (European),25,Gaivota,213,understands,0
Portuguese (European),26,Gaivota,218,produces,0.1606
Portuguese (European),26,Gaivota,218,understands,0
Portuguese (European),27,Gaivota,238,produces,0.2017
Portuguese (European),27,Gaivota,238,understands,0
Portuguese (European),28,Gaivota,219,produces,0.2055
Portuguese (European),28,Gaivota,219,understands,0
Portuguese (European),29,Gaivota,207,produces,0.2512
Portuguese (European),29,Gaivota,207,understands,0
Portuguese (European),30,Gaivota,163,produces,0.2883
Portuguese (European),30,Gaivota,163,understands,0
Spanish (Peruvian),8,gaviota,9,produces,0
Spanish (Peruvian),8,gaviota,9,understands,0
Spanish (Peruvian),9,gaviota,12,produces,0
Spanish (Peruvian),9,gaviota,12,understands,0
Spanish (Peruvian),10,gaviota,7,produces,0
Spanish (Peruvian),10,gaviota,7,understands,0
Spanish (Peruvian),11,gaviota,18,produces,0
Spanish (Peruvian),11,gaviota,18,understands,0.0556
Spanish (Peruvian),12,gaviota,14,produces,0
Spanish (Peruvian),12,gaviota,14,understands,0.1429
Spanish (Peruvian),13,gaviota,9,produces,0
Spanish (Peruvian),13,gaviota,9,understands,0
Spanish (Peruvian),14,gaviota,8,produces,0
Spanish (Peruvian),14,gaviota,8,understands,0
Spanish (Peruvian),15,gaviota,10,produces,0
Spanish (Peruvian),15,gaviota,10,understands,0
Spanish (Peruvian),16,gaviota,13,produces,0.0769
Spanish (Peruvian),16,gaviota,13,understands,0
Spanish (Peruvian),17,gaviota,9,produces,0
Spanish (Peruvian),17,gaviota,9,understands,0
Spanish (Peruvian),18,gaviota,4,produces,0
Spanish (Peruvian),18,gaviota,4,understands,0
Spanish (Peruvian),19,gaviota,12,produces,0.0833
Spanish (Peruvian),19,gaviota,12,understands,0
Spanish (Peruvian),20,gaviota,1,produces,0
Spanish (Peruvian),20,gaviota,1,understands,0
Spanish (Peruvian),21,gaviota,5,produces,0.2
Spanish (Peruvian),21,gaviota,5,understands,0
Spanish (Peruvian),22,gaviota,9,produces,0
Spanish (Peruvian),22,gaviota,9,understands,0
Spanish (Peruvian),23,gaviota,1,produces,1
Spanish (Peruvian),23,gaviota,1,understands,0
Spanish (Peruvian),24,gaviota,15,produces,0.0667
Spanish (Peruvian),24,gaviota,15,understands,0
Spanish (Peruvian),25,gaviota,5,produces,0
Spanish (Peruvian),25,gaviota,5,understands,0
Spanish (Peruvian),26,gaviota,8,produces,0
Spanish (Peruvian),26,gaviota,8,understands,0
Spanish (Peruvian),27,gaviota,7,produces,0
Spanish (Peruvian),27,gaviota,7,understands,0
Spanish (Peruvian),28,gaviota,8,produces,0
Spanish (Peruvian),28,gaviota,8,understands,0
Spanish (Peruvian),29,gaviota,6,produces,0.1667
Spanish (Peruvian),29,gaviota,6,understands,0
Spanish (Peruvian),30,gaviota,2,produces,0
Spanish (Peruvian),30,gaviota,2,understands,0
English (Irish),17,seagull,2,produces,0
English (Irish),17,seagull,2,understands,0
English (Irish),18,seagull,1,produces,0
English (Irish),18,seagull,1,understands,0
English (Irish),19,seagull,2,produces,0
English (Irish),19,seagull,2,understands,0
English (Irish),20,seagull,1,produces,0
English (Irish),20,seagull,1,understands,0
English (Irish),21,seagull,3,produces,0
English (Irish),21,seagull,3,understands,0
English (Irish),22,seagull,4,produces,0
English (Irish),22,seagull,4,understands,0
English (Irish),23,seagull,4,produces,0
English (Irish),23,seagull,4,understands,0
English (Irish),24,seagull,4,produces,0
English (Irish),24,seagull,4,understands,0
English (Irish),25,seagull,6,produces,0
English (Irish),25,seagull,6,understands,0
English (Irish),26,seagull,10,produces,0
English (Irish),26,seagull,10,understands,0
English (Irish),27,seagull,5,produces,0
English (Irish),27,seagull,5,understands,0
English (Irish),28,seagull,7,produces,0
English (Irish),28,seagull,7,understands,0
English (Irish),29,seagull,4,produces,0
English (Irish),29,seagull,4,understands,0
English (Irish),30,seagull,9,produces,0.2222
English (Irish),30,seagull,9,understands,0
English (Irish),31,seagull,8,produces,0
English (Irish),31,seagull,8,understands,0
English (Irish),32,seagull,4,produces,0
English (Irish),32,seagull,4,understands,0
English (Irish),33,seagull,5,produces,0
English (Irish),33,seagull,5,understands,0
English (Irish),34,seagull,4,produces,0
English (Irish),34,seagull,4,understands,0
English (Irish),35,seagull,11,produces,0.0909
English (Irish),35,seagull,11,understands,0
English (Irish),36,seagull,5,produces,0
English (Irish),36,seagull,5,understands,0
Irish,17,faoileán,2,produces,0
Irish,17,faoileán,2,understands,0
Irish,18,faoileán,1,produces,0
Irish,18,faoileán,1,understands,0
Irish,19,faoileán,2,produces,0
Irish,19,faoileán,2,understands,0
Irish,20,faoileán,1,produces,1
Irish,20,faoileán,1,understands,0
Irish,21,faoileán,3,produces,0
Irish,21,faoileán,3,understands,0
Irish,22,faoileán,4,produces,0
Irish,22,faoileán,4,understands,0
Irish,23,faoileán,4,produces,0
Irish,23,faoileán,4,understands,0
Irish,24,faoileán,4,produces,0.5
Irish,24,faoileán,4,understands,0
Irish,25,faoileán,6,produces,0.1667
Irish,25,faoileán,6,understands,0
Irish,26,faoileán,10,produces,0.1
Irish,26,faoileán,10,understands,0
Irish,27,faoileán,5,produces,0.4
Irish,27,faoileán,5,understands,0
Irish,28,faoileán,7,produces,0.4286
Irish,28,faoileán,7,understands,0
Irish,29,faoileán,4,produces,0.25
Irish,29,faoileán,4,understands,0
Irish,30,faoileán,9,produces,0.5556
Irish,30,faoileán,9,understands,0
Irish,31,faoileán,8,produces,0.25
Irish,31,faoileán,8,understands,0
Irish,32,faoileán,4,produces,0.5
Irish,32,faoileán,4,understands,0
Irish,33,faoileán,5,produces,0.6
Irish,33,faoileán,5,understands,0
Irish,34,faoileán,4,produces,0.25
Irish,34,faoileán,4,understands,0
Irish,35,faoileán,11,produces,0.5455
Irish,35,faoileán,11,understands,0
Irish,36,faoileán,5,produces,0.2
Irish,36,faoileán,5,understands,0
