language,age,words,n,measure,prop
Japanese,8,スコップ,6,produces,0
Japanese,8,スコップ,6,understands,0
Japanese,9,スコップ,10,produces,0
Japanese,9,スコップ,10,understands,0
Japanese,10,スコップ,8,produces,0
Japanese,10,スコップ,8,understands,0
Japanese,11,スコップ,87,produces,0
Japanese,11,スコップ,87,understands,0
Japanese,12,スコップ,118,produces,0
Japanese,12,スコップ,118,understands,0
Japanese,13,スコップ,23,produces,0
Japanese,13,スコップ,23,understands,0
Japanese,14,スコップ,26,produces,0
Japanese,14,スコップ,26,understands,0
Japanese,15,スコップ,72,produces,0
Japanese,15,スコップ,72,understands,0.0139
Japanese,16,スコップ,46,produces,0
Japanese,16,スコップ,46,understands,0.0217
Japanese,17,スコップ,77,produces,0
Japanese,17,スコップ,77,understands,0.0779
Japanese,18,スコップ,94,produces,0.0213
Japanese,18,スコップ,94,understands,0.0745
Japanese,19,スコップ,35,produces,0.0571
Japanese,19,スコップ,35,understands,0
Japanese,20,スコップ,59,produces,0.0339
Japanese,20,スコップ,59,understands,0
Japanese,21,スコップ,62,produces,0.0968
Japanese,21,スコップ,62,understands,0
Japanese,22,スコップ,31,produces,0.0323
Japanese,22,スコップ,31,understands,0
Japanese,23,スコップ,67,produces,0.1194
Japanese,23,スコップ,67,understands,0
Japanese,24,スコップ,33,produces,0.2121
Japanese,24,スコップ,33,understands,0
Japanese,25,スコップ,34,produces,0.2059
Japanese,25,スコップ,34,understands,0
Japanese,26,スコップ,33,produces,0.3333
Japanese,26,スコップ,33,understands,0
Japanese,27,スコップ,15,produces,0.3333
Japanese,27,スコップ,15,understands,0
Japanese,28,スコップ,18,produces,0.3889
Japanese,28,スコップ,18,understands,0
Japanese,29,スコップ,17,produces,0.4118
Japanese,29,スコップ,17,understands,0
Japanese,30,スコップ,18,produces,0.5
Japanese,30,スコップ,18,understands,0
Japanese,31,スコップ,18,produces,0.4444
Japanese,31,スコップ,18,understands,0
Japanese,32,スコップ,13,produces,0.6154
Japanese,32,スコップ,13,understands,0
Japanese,33,スコップ,16,produces,0.5
Japanese,33,スコップ,16,understands,0
Japanese,34,スコップ,13,produces,0.5385
Japanese,34,スコップ,13,understands,0
Japanese,35,スコップ,31,produces,0.6129
Japanese,35,スコップ,31,understands,0
Japanese,36,スコップ,18,produces,0.4444
Japanese,36,スコップ,18,understands,0
Kiswahili,8,Mwiko,1,produces,0
Kiswahili,8,Mwiko,1,understands,0
Kiswahili,9,Mwiko,5,produces,0
Kiswahili,9,Mwiko,5,understands,0
Kiswahili,10,Mwiko,5,produces,0
Kiswahili,10,Mwiko,5,understands,0
Kiswahili,11,Mwiko,9,produces,0
Kiswahili,11,Mwiko,9,understands,0
Kiswahili,12,Mwiko,6,produces,0
Kiswahili,12,Mwiko,6,understands,0
Kiswahili,13,Mwiko,6,produces,0
Kiswahili,13,Mwiko,6,understands,0.3333
Kiswahili,14,Mwiko,4,produces,0
Kiswahili,14,Mwiko,4,understands,0.25
Kiswahili,15,Mwiko,5,produces,0
Kiswahili,15,Mwiko,5,understands,0.6
Kiswahili,23,Mwiko,2,produces,0
Kiswahili,23,Mwiko,2,understands,0
Kiswahili,24,Mwiko,12,produces,0.4167
Kiswahili,24,Mwiko,12,understands,0
Kiswahili,25,Mwiko,10,produces,0.3
Kiswahili,25,Mwiko,10,understands,0
Kiswahili,26,Mwiko,13,produces,0.6154
Kiswahili,26,Mwiko,13,understands,0
Kiswahili,27,Mwiko,8,produces,0.625
Kiswahili,27,Mwiko,8,understands,0
Kiswahili,28,Mwiko,6,produces,0.5
Kiswahili,28,Mwiko,6,understands,0
Kiswahili,29,Mwiko,6,produces,0.5
Kiswahili,29,Mwiko,6,understands,0
Kiswahili,30,Mwiko,5,produces,0.8
Kiswahili,30,Mwiko,5,understands,0
Latvian,8,lāpsta,16,produces,0
Latvian,8,lāpsta,16,understands,0
Latvian,9,lāpsta,18,produces,0
Latvian,9,lāpsta,18,understands,0
Latvian,10,lāpsta,26,produces,0
Latvian,10,lāpsta,26,understands,0.0769
Latvian,11,lāpsta,15,produces,0.0667
Latvian,11,lāpsta,15,understands,0.2
Latvian,12,lāpsta,16,produces,0.0625
Latvian,12,lāpsta,16,understands,0.125
Latvian,13,lāpsta,22,produces,0.0455
Latvian,13,lāpsta,22,understands,0.1818
Latvian,14,lāpsta,25,produces,0.08
Latvian,14,lāpsta,25,understands,0.36
Latvian,15,lāpsta,29,produces,0.0345
Latvian,15,lāpsta,29,understands,0.6207
Latvian,16,lāpsta,16,produces,0
Latvian,16,lāpsta,16,understands,0.5
Latvian,17,lāpsta,27,produces,0.037
Latvian,17,lāpsta,27,understands,0
Latvian,18,lāpsta,21,produces,0.1429
Latvian,18,lāpsta,21,understands,0
Latvian,19,lāpsta,28,produces,0.1786
Latvian,19,lāpsta,28,understands,0
Latvian,20,lāpsta,34,produces,0.2647
Latvian,20,lāpsta,34,understands,0
Latvian,21,lāpsta,26,produces,0.5
Latvian,21,lāpsta,26,understands,0
Latvian,22,lāpsta,32,produces,0.4375
Latvian,22,lāpsta,32,understands,0
Latvian,23,lāpsta,25,produces,0.44
Latvian,23,lāpsta,25,understands,0
Latvian,24,lāpsta,30,produces,0.6333
Latvian,24,lāpsta,30,understands,0
Latvian,25,lāpsta,29,produces,0.5862
Latvian,25,lāpsta,29,understands,0
Latvian,26,lāpsta,22,produces,0.5909
Latvian,26,lāpsta,22,understands,0
Latvian,27,lāpsta,18,produces,0.6111
Latvian,27,lāpsta,18,understands,0
Latvian,28,lāpsta,23,produces,0.7391
Latvian,28,lāpsta,23,understands,0
Latvian,29,lāpsta,24,produces,0.7083
Latvian,29,lāpsta,24,understands,0
Latvian,30,lāpsta,26,produces,0.8462
Latvian,30,lāpsta,26,understands,0
Latvian,31,lāpsta,19,produces,0.6842
Latvian,31,lāpsta,19,understands,0
Latvian,32,lāpsta,25,produces,0.72
Latvian,32,lāpsta,25,understands,0
Latvian,33,lāpsta,31,produces,0.8065
Latvian,33,lāpsta,31,understands,0
Latvian,34,lāpsta,17,produces,0.7647
Latvian,34,lāpsta,17,understands,0
Latvian,35,lāpsta,21,produces,0.9048
Latvian,35,lāpsta,21,understands,0
Latvian,36,lāpsta,22,produces,0.7273
Latvian,36,lāpsta,22,understands,0
Mandarin (Beijing),16,铲子,70,produces,0
Mandarin (Beijing),16,铲子,70,understands,0
Mandarin (Beijing),17,铲子,112,produces,0.125
Mandarin (Beijing),17,铲子,112,understands,0
Mandarin (Beijing),18,铲子,121,produces,0.1488
Mandarin (Beijing),18,铲子,121,understands,0
Mandarin (Beijing),19,铲子,120,produces,0.2333
Mandarin (Beijing),19,铲子,120,understands,0
Mandarin (Beijing),20,铲子,121,produces,0.3058
Mandarin (Beijing),20,铲子,121,understands,0
Mandarin (Beijing),21,铲子,119,produces,0.3866
Mandarin (Beijing),21,铲子,119,understands,0
Mandarin (Beijing),22,铲子,117,produces,0.4359
Mandarin (Beijing),22,铲子,117,understands,0
Mandarin (Beijing),23,铲子,120,produces,0.55
Mandarin (Beijing),23,铲子,120,understands,0
Mandarin (Beijing),24,铲子,120,produces,0.5667
Mandarin (Beijing),24,铲子,120,understands,0
Mandarin (Beijing),25,铲子,113,produces,0.646
Mandarin (Beijing),25,铲子,113,understands,0
Mandarin (Beijing),26,铲子,118,produces,0.7542
Mandarin (Beijing),26,铲子,118,understands,0
Mandarin (Beijing),27,铲子,114,produces,0.7719
Mandarin (Beijing),27,铲子,114,understands,0
Mandarin (Beijing),28,铲子,114,produces,0.8333
Mandarin (Beijing),28,铲子,114,understands,0
Mandarin (Beijing),29,铲子,119,produces,0.8235
Mandarin (Beijing),29,铲子,119,understands,0
Mandarin (Beijing),30,铲子,110,produces,0.8455
Mandarin (Beijing),30,铲子,110,understands,0
Mandarin (Taiwanese),16,鏟子,80,produces,0
Mandarin (Taiwanese),16,鏟子,80,understands,0
Mandarin (Taiwanese),17,鏟子,87,produces,0
Mandarin (Taiwanese),17,鏟子,87,understands,0
Mandarin (Taiwanese),18,鏟子,84,produces,0
Mandarin (Taiwanese),18,鏟子,84,understands,0
Mandarin (Taiwanese),19,鏟子,84,produces,0.0119
Mandarin (Taiwanese),19,鏟子,84,understands,0
Mandarin (Taiwanese),20,鏟子,84,produces,0
Mandarin (Taiwanese),20,鏟子,84,understands,0
Mandarin (Taiwanese),21,鏟子,88,produces,0.0227
Mandarin (Taiwanese),21,鏟子,88,understands,0
Mandarin (Taiwanese),22,鏟子,96,produces,0.0625
Mandarin (Taiwanese),22,鏟子,96,understands,0
Mandarin (Taiwanese),23,鏟子,105,produces,0.0762
Mandarin (Taiwanese),23,鏟子,105,understands,0
Mandarin (Taiwanese),24,鏟子,124,produces,0.0887
Mandarin (Taiwanese),24,鏟子,124,understands,0
Mandarin (Taiwanese),25,鏟子,110,produces,0.1
Mandarin (Taiwanese),25,鏟子,110,understands,0
Mandarin (Taiwanese),26,鏟子,87,produces,0.092
Mandarin (Taiwanese),26,鏟子,87,understands,0
Mandarin (Taiwanese),27,鏟子,92,produces,0.1848
Mandarin (Taiwanese),27,鏟子,92,understands,0
Mandarin (Taiwanese),28,鏟子,100,produces,0.29
Mandarin (Taiwanese),28,鏟子,100,understands,0
Mandarin (Taiwanese),29,鏟子,88,produces,0.1591
Mandarin (Taiwanese),29,鏟子,88,understands,0
Mandarin (Taiwanese),30,鏟子,94,produces,0.2553
Mandarin (Taiwanese),30,鏟子,94,understands,0
Mandarin (Taiwanese),31,鏟子,88,produces,0.3409
Mandarin (Taiwanese),31,鏟子,88,understands,0
Mandarin (Taiwanese),32,鏟子,82,produces,0.2805
Mandarin (Taiwanese),32,鏟子,82,understands,0
Mandarin (Taiwanese),33,鏟子,85,produces,0.4235
Mandarin (Taiwanese),33,鏟子,85,understands,0
Mandarin (Taiwanese),34,鏟子,77,produces,0.3636
Mandarin (Taiwanese),34,鏟子,77,understands,0
Mandarin (Taiwanese),35,鏟子,81,produces,0.4444
Mandarin (Taiwanese),35,鏟子,81,understands,0
Mandarin (Taiwanese),36,鏟子,81,produces,0.3457
Mandarin (Taiwanese),36,鏟子,81,understands,0
Norwegian,8,spade,77,produces,0.026
Norwegian,8,spade,77,understands,0.026
Norwegian,9,spade,138,produces,0
Norwegian,9,spade,138,understands,0
Norwegian,10,spade,203,produces,0
Norwegian,10,spade,203,understands,0.0049
Norwegian,11,spade,241,produces,0.0041
Norwegian,11,spade,241,understands,0.0166
Norwegian,12,spade,221,produces,0
Norwegian,12,spade,221,understands,0.0226
Norwegian,13,spade,246,produces,0
Norwegian,13,spade,246,understands,0.1382
Norwegian,14,spade,269,produces,0.0074
Norwegian,14,spade,269,understands,0.2342
Norwegian,15,spade,239,produces,0.0377
Norwegian,15,spade,239,understands,0.3096
Norwegian,16,spade,346,produces,0.0434
Norwegian,16,spade,346,understands,0.3468
Norwegian,17,spade,435,produces,0.0943
Norwegian,17,spade,435,understands,0.2805
Norwegian,18,spade,494,produces,0.1741
Norwegian,18,spade,494,understands,0.3036
Norwegian,19,spade,504,produces,0.2421
Norwegian,19,spade,504,understands,0.3194
Norwegian,20,spade,601,produces,0.3394
Norwegian,20,spade,601,understands,0.3328
Norwegian,21,spade,418,produces,0.3971
Norwegian,21,spade,418,understands,0
Norwegian,22,spade,596,produces,0.4899
Norwegian,22,spade,596,understands,0
Norwegian,23,spade,566,produces,0.5707
Norwegian,23,spade,566,understands,0
Norwegian,24,spade,538,produces,0.6227
Norwegian,24,spade,538,understands,0
Norwegian,25,spade,656,produces,0.7012
Norwegian,25,spade,656,understands,0
Norwegian,26,spade,644,produces,0.7842
Norwegian,26,spade,644,understands,0
Norwegian,27,spade,525,produces,0.8267
Norwegian,27,spade,525,understands,0
Norwegian,28,spade,544,produces,0.8346
Norwegian,28,spade,544,understands,0
Norwegian,29,spade,536,produces,0.8675
Norwegian,29,spade,536,understands,0
Norwegian,30,spade,457,produces,0.8818
Norwegian,30,spade,457,understands,0
Norwegian,31,spade,479,produces,0.929
Norwegian,31,spade,479,understands,0
Norwegian,32,spade,451,produces,0.9335
Norwegian,32,spade,451,understands,0
Norwegian,33,spade,430,produces,0.9535
Norwegian,33,spade,430,understands,0
Norwegian,34,spade,424,produces,0.9481
Norwegian,34,spade,424,understands,0
Norwegian,35,spade,422,produces,0.9573
Norwegian,35,spade,422,understands,0
Norwegian,36,spade,329,produces,0.9666
Norwegian,36,spade,329,understands,0
Russian,8,лопатка/совок,59,produces,0
Russian,8,лопатка/совок,59,understands,0
Russian,9,лопатка/совок,42,produces,0
Russian,9,лопатка/совок,42,understands,0.0238
Russian,10,лопатка/совок,63,produces,0
Russian,10,лопатка/совок,63,understands,0.1746
Russian,11,лопатка/совок,71,produces,0
Russian,11,лопатка/совок,71,understands,0.2958
Russian,12,лопатка/совок,76,produces,0
Russian,12,лопатка/совок,76,understands,0.3026
Russian,13,лопатка/совок,73,produces,0.0411
Russian,13,лопатка/совок,73,understands,0.5342
Russian,14,лопатка/совок,79,produces,0.0506
