language,sex,age,words,n,measure,prop
Catalan,All,8,germˆ/germana,39,produces,0
Catalan,All,8,germˆ/germana,39,understands,0.2564
Catalan,All,9,germˆ/germana,46,produces,0.0217
Catalan,All,9,germˆ/germana,46,understands,0.2174
Catalan,All,10,germˆ/germana,43,produces,0
Catalan,All,10,germˆ/germana,43,understands,0.2558
Catalan,All,11,germˆ/germana,43,produces,0.093
Catalan,All,11,germˆ/germana,43,understands,0.3256
Catalan,All,12,germˆ/germana,59,produces,0.0339
Catalan,All,12,germˆ/germana,59,understands,0.3051
Catalan,All,13,germˆ/germana,44,produces,0.0682
Catalan,All,13,germˆ/germana,44,understands,0.25
Catalan,All,14,germˆ/germana,60,produces,0.1833
Catalan,All,14,germˆ/germana,60,understands,0.4167
Catalan,All,15,germˆ/germana,70,produces,0.1143
Catalan,All,15,germˆ/germana,70,understands,0.4143
Catalan,All,16,germˆ/germana,49,produces,0.2041
Catalan,All,16,germˆ/germana,49,understands,0.4898
Catalan,All,17,germˆ/germana,74,produces,0.2297
Catalan,All,17,germˆ/germana,74,understands,0.4459
Catalan,All,18,germˆ/germana,51,produces,0.3137
Catalan,All,18,germˆ/germana,51,understands,0.5098
Greek (Cypriot),All,18,αδελφή/ός,45,produces,0.0667
Greek (Cypriot),All,18,αδελφή/ός,45,understands,0
Greek (Cypriot),All,21,αδελφή/ός,36,produces,0.0833
Greek (Cypriot),All,21,αδελφή/ός,36,understands,0
Greek (Cypriot),All,24,αδελφή/ός,32,produces,0.3438
Greek (Cypriot),All,24,αδελφή/ός,32,understands,0
Greek (Cypriot),All,27,αδελφή/ός,29,produces,0.5172
Greek (Cypriot),All,27,αδελφή/ός,29,understands,0
Greek (Cypriot),All,30,αδελφή/ός,34,produces,0.5588
Greek (Cypriot),All,30,αδελφή/ός,34,understands,0
Hebrew,All,25,אח/ אחות,82,produces,0.4024
Hebrew,All,25,אח/ אחות,82,understands,0
Hebrew,All,26,אח/ אחות,80,produces,0.475
Hebrew,All,26,אח/ אחות,80,understands,0
Hebrew,All,27,אח/ אחות,68,produces,0.5735
Hebrew,All,27,אח/ אחות,68,understands,0
Hebrew,All,28,אח/ אחות,57,produces,0.6842
Hebrew,All,28,אח/ אחות,57,understands,0
Hebrew,All,29,אח/ אחות,47,produces,0.8298
Hebrew,All,29,אח/ אחות,47,understands,0
Hebrew,All,30,אח/ אחות,28,produces,0.6429
Hebrew,All,30,אח/ אחות,28,understands,0
Hebrew,All,31,אח/ אחות,35,produces,0.7714
Hebrew,All,31,אח/ אחות,35,understands,0
Hebrew,All,32,אח/ אחות,36,produces,0.8056
